start_hhmmss,end_hhmmss,text
00:00:00,00:00:18,"Hey everyone, welcome to the very first episode of Little Fish."
00:00:18,00:00:22,This is the show where instead of talking about our four favorite facts from the last seven
00:00:22,00:00:28,"days, we have gone through the podcast at qi.com inbox and selected your best facts."
00:00:28,00:00:29,We're going to be doing this every Monday.
00:00:29,00:00:34,"So if you want to join and be part of this extra special Monday bonus episode, just send"
00:00:34,00:00:38,in your best facts and we'll be reading them out each week.
00:00:38,00:00:39,So let's get into it.
00:00:39,00:00:41,I'm sat here with James Harkin and Andrew Hunter Murray.
00:00:41,00:00:42,Hello.
00:00:42,00:00:44,"And in no particular order, here we go."
00:00:44,00:00:45,This is from Daveli.
00:00:45,00:00:50,It's about an executive leaving a job at McDonald's UK after 18 months in post.
00:00:50,00:00:51,Okay.
00:00:51,00:00:58,And the reason it's a great fact is because her name is Zoe Hamburger.
00:00:58,00:01:01,"In fact, she was promoted within the McDonald's trucker."
00:01:01,00:01:04,She's gone off to run McDonald's Netherlands.
00:01:04,00:01:06,She said Hamburger has been my name my entire life.
00:01:06,00:01:10,"So as you can imagine, it has always made people do a bit of a double take."
00:01:10,00:01:12,I've never heard of anyone else with that.
00:01:12,00:01:13,I know.
00:01:13,00:01:15,There's a comedian called Neil Hamburger.
00:01:15,00:01:16,Is it his real name?
00:01:16,00:01:17,No.
00:01:17,00:01:18,That feels like it's not nice.
00:01:18,00:01:21,It's not called Neil.
00:01:21,00:01:26,"I found a report on this from the Metro, which I just want to read a line from it."
00:01:26,00:01:33,"Despite her name being the beefy snack item, that is the best thing of our journalism"
00:01:33,00:01:34,isn't it?
00:01:34,00:01:35,"There's a name for it, I think."
00:01:35,00:01:36,Second mentions.
00:01:36,00:01:40,Second mentions where it's like a duck across the road.
00:01:40,00:01:41,The waddling.
00:01:41,00:01:45,The foul.
00:01:45,00:01:47,"Despite her name being the beefy snack item, she said her fate."
00:01:47,00:01:51,The favourite menu McDonald's item is the double cheeseburger.
00:01:51,00:01:52,Believe it or not.
00:01:52,00:01:53,I do believe it.
00:01:53,00:01:55,I absolutely believe it.
00:01:55,00:01:56,Anyway.
00:01:56,00:01:57,Yeah.
00:01:57,00:01:58,"Oh, that's really good."
00:01:58,00:01:59,I do.
00:01:59,00:02:02,So I guess her relatives or her ancestors came from Hamburg.
00:02:02,00:02:03,Exactly.
00:02:03,00:02:04,That's what it is.
00:02:04,00:02:05,We don't really have names like it.
00:02:05,00:02:06,Do we?
00:02:06,00:02:07,We don't have sort of like Tony Scalcer.
00:02:07,00:02:08,Do we?
00:02:08,00:02:09,"Oh, we do."
00:02:09,00:02:10,Yeah.
00:02:10,00:02:11,"No, we absolutely do."
00:02:11,00:02:12,Like Michael Bolton.
00:02:12,00:02:13,"Oh, yeah."
00:02:13,00:02:16,But that's not because his real name is Bolton.
00:02:16,00:02:17,He changed his name.
00:02:17,00:02:18,What?
00:02:18,00:02:21,Michael Bolton's real name is Michael Bolton.
00:02:21,00:02:22,That's it.
00:02:22,00:02:23,Yeah.
00:02:23,00:02:24,There's been a news Bolton.
00:02:24,00:02:25,Is that it?
00:02:25,00:02:26,Yeah.
00:02:26,00:02:27,He changed it.
00:02:27,00:02:28,He changed it.
00:02:28,00:02:31,But there are many people whose surname is the name of a town.
00:02:31,00:02:32,Yes.
00:02:32,00:02:33,Jack London.
00:02:33,00:02:34,"Sydney, Swini."
00:02:34,00:02:35,Swini's not a place.
00:02:35,00:02:36,There are the Sydney's.
00:02:36,00:02:37,And you can put in.
00:02:37,00:02:38,"Yeah, but it's a first."
00:02:38,00:02:45,But her relatives were in that 1970s cup show.
00:02:45,00:02:50,"I'm struggling to think of many UK plays of Jack London, you're absolutely right."
