start_hhmmss,end_hhmmss,text
00:00:00,00:00:19,"Hi everyone, welcome to the second episode of Little Fish."
00:00:19,00:00:25,"Little Fish is a show where we list your facts, things that you've sent in to thepodcast@qiu.com"
00:00:25,00:00:32,"inbox Andy has sifted through them and he has found the very sweetest plums, sent them"
00:00:32,00:00:36,over to the rest of us and we're going to go through them today and chat about them.
00:00:36,00:00:37,Are they true?
00:00:37,00:00:38,Are they not true?
00:00:38,00:00:40,Do we know more about the subject?
00:00:40,00:00:43,Have we never heard of any of these words before in our life?
00:00:43,00:00:45,We will see as we move on.
00:00:45,00:00:47,So who is going to do the first fight?
00:00:47,00:00:49,It can't be me because I did the intro.
00:00:49,00:00:50,It has to be one of you two.
00:00:50,00:00:56,"I'll go on, I'll throw a plum your way then, jump in, let's see how sweet you find it."
00:00:56,00:01:04,"Yum yum, plum plum, my face, sorry."
00:01:04,00:01:08,"One of these days, one of these catchphrases will pay our handy and everyone will be"
00:01:08,00:01:13,"saying yum yum plum plum, it'll be the new six seven."
00:01:13,00:01:20,You'll see James when I'm opening nightclubs around the country shouting yum yum plum plum.
00:01:20,00:01:24,"Okay, this is from the unimprovably named Nathan Gallimore Strong."
00:01:24,00:01:28,"I think friend of this parish, I think we may have heard from him before."
00:01:28,00:01:32,"But he says, ""The windiest place in the UK is the butt of Lewis."""
00:01:32,00:01:35,"That's it, thanks Nathan."
00:01:35,00:01:41,"There you go and it's basically, it's on the Isle of Lewis, Lewis and Harris, and the"
00:01:41,00:01:46,"butt is on a very, very northern tip of Lewis and during this trip he also wrote his first"
00:01:46,00:01:52,"finicular railway, so congratulations Nathan, it's a little bit contentious this fact, I"
00:01:52,00:01:53,did do some follow up.
00:01:53,00:01:58,"I always thought it was further north, so is it Cape Rath or something that's in the far"
00:01:58,00:01:59,north of Scotland?
00:01:59,00:02:01,I always thought that was the windiest place.
00:02:01,00:02:05,"Well, I think on average, Shetland is windier."
00:02:05,00:02:09,"Oh yeah, so it's been, the butt of Lewis has been named by the Guinness Book of Records"
00:02:09,00:02:12,"a few years ago, so they have their methodology."
00:02:12,00:02:18,"I still consider Shetland to be part of Denmark, because you have well controversial political"
00:02:18,00:02:23,"opinion, and if you're listening Danes, is it Denmark on Norway?"
00:02:23,00:02:30,There was one of them where we got it as maybe a dowry or something from some Scandinavian
00:02:30,00:02:35,"country, but the rules were that they were allowed to buy it back at any stage, like when"
00:02:35,00:02:40,"we first got out of it, Shetland or ARKV, they said, ""Yeah, you can have it, but as soon as"
00:02:40,00:02:44,"we can get 12 marks together, we're going to buy it back."""
00:02:44,00:02:48,"I think it's still true that, in theory, they could buy it back if they want to."
00:02:48,00:02:49,Really?
00:02:49,00:02:50,To know that.
00:02:50,00:02:51,Okay.
00:02:51,00:02:55,"Well, so if you're listening Vikings, get the money together."
00:02:55,00:02:56,How windy?
00:02:56,00:02:57,How windy is this?
00:02:57,00:02:58,It's really windy.
00:02:58,00:03:02,"The thing is, how do you measure how windy something is?"
00:03:02,00:03:05,Is it average speed over the year?
00:03:05,00:03:09,"Maybe for me now, because I live by sea side, I could judge it."
00:03:09,00:03:15,"If I saw where Margate lives on a list, then I think I could then judge it by personal experience."
00:03:15,00:03:16,"Yeah, yeah, because it's quite windy where you are."
00:03:16,00:03:17,"Oh, it's wild."
00:03:17,00:03:19,The wind in Margate is insane.
00:03:19,00:03:20,And it comes out of nowhere.
00:03:20,00:03:22,We have this amazing...
00:03:22,00:03:27,You can't see it coming.
00:03:27,00:03:28,We were sitting one time at Margate.
00:03:28,00:03:31,There's these things which are called the steps that go onto the beach and you often
00:03:31,00:03:32,skate.
00:03:32,00:03:36,"Lots of beaches out there, Dutch out of all these things called the steps."
00:03:36,00:03:40,"If you've ever been to Rome, they have a Margate tribute, which is called the Spanner Steps."
00:03:40,00:03:41,Do they?
00:03:41,00:03:42,"Oh, there you go."
00:03:42,00:03:44,"See, yeah, it's coming out Margate."
00:03:44,00:03:48,So we were sitting on what felt like a normal day and we were with our neighbours.
00:03:48,00:03:51,These seagulls get coming and eating our fish and chips.
00:03:51,00:03:56,And Chloe did this thing where she picked up the final few chips and she threw them out
00:03:56,00:03:57,to the ocean.
00:03:57,00:04:02,"And just at that moment, this giant gust of wind came, blew the chips to the left, right"
00:04:02,00:04:09,onto a couple that were kissing on the steps and about 12 seagulls just darted into them.
00:04:09,00:04:13,"She had to run after them, go, I'm sorry, I'm sorry, I'm sorry, they were literally being"
00:04:13,00:04:15,attacked by these goals.
00:04:15,00:04:16,Is that a true story?
00:04:16,00:04:17,"Yeah, yeah, yeah."
00:04:17,00:04:18,Yeah.
00:04:18,00:04:19,So one of my favourite moments.
00:04:19,00:04:20,"In fact, I have a photo."
00:04:20,00:04:21,"Well, that might..."
00:04:21,00:04:22,"Damn, that sounds very windy."
00:04:22,00:04:24,"Yeah, so that's how I'd be able to tell."
00:04:24,00:04:31,"But the strongest gust ever recorded in the UK was at Cairn Gorms Summit in 1986, which"
00:04:31,00:04:36,"was a mountain in the Highlands, which was 173 miles an hour."
00:04:36,00:04:37,Woo!
00:04:37,00:04:39,I think that's the strongest any gust.
00:04:39,00:04:44,"Any individual gust has been recorded, but I think in general, it's normally Shetland that"
00:04:44,00:04:46,is the windiest on average.
00:04:46,00:04:47,I believe.
00:04:47,00:04:48,"Yeah, imagine."
00:04:48,00:04:49,I know.
00:04:49,00:04:50,I know.
00:04:50,00:04:52,You'd be lifted off into the air when you'd be lifted off in the air.
00:04:52,00:04:53,"Oh, yeah."
00:04:53,00:04:56,Don't wear your big coat.
00:04:56,00:04:58,"Thank you, Nathan."
00:04:58,00:04:59,"Yeah, great fact."
00:04:59,00:05:00,Great fact.
00:05:00,00:05:06,"Who's a fact from Josh Glendening, who says, ""A soldier who spent too long on the toilet"
00:05:06,00:05:11,"because of an upset stomach caused the start of World War II?"""
00:05:11,00:05:12,So do we know about this incident?
00:05:12,00:05:13,No.
00:05:13,00:05:18,"Okay, this was called the Marco Polo Bridge incident, it was 1937, often considered to be the"
00:05:18,00:05:23,"start of the Second Sino-Japanese War, which then evolved into World War II."
00:05:23,00:05:30,"And so the story goes that in the 1930s, Japan had invaded and put it in a puppet government"
00:05:30,00:05:31,and named it Manchuria.
