start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hey everyone, welcome to this week's episode of Fish, Dan and Andy here."
00:00:03,00:00:04,Hello!
00:00:04,00:00:09,And we just want to quickly let you know before we launch into this week's episode about this week's guest.
00:00:09,00:00:10,Yes.
00:00:10,00:00:12,"It's our friend, and yours."
00:00:12,00:00:14,- Carried Lloyd. - Yeah.
00:00:14,00:00:16,She's brilliant. She's been on loads of times before. She's always fantastic.
00:00:16,00:00:19,Her fact this week is a really good one.
00:00:19,00:00:23,And it's brilliantly entertaining show. I've just listened to it and I've written it up for our archive.
00:00:23,00:00:25,- How do you? - So you're in for a treat. I can tell you that much.
00:00:25,00:00:27,"- Oh, well, there we go. - Yeah."
00:00:27,00:00:34,"And also, you should know that Carried is not only a comedian, not only a podcaster, she's also an author."
00:00:34,00:00:38,"That's right. Her new book is called ""Lidia Marmalade and the Christmas Wish""."
00:00:38,00:00:45,So it's the children's book. It's really funny. It's charming. It's got a little Jane Austenie flavor to it.
00:00:45,00:00:48,A little Regency Tinge. That's a terrible phrase.
00:00:48,00:00:52,But it's really funny. It's charming. It's about a girl called Lydia Marmalade.
00:00:52,00:01:00,"Obviously, there's an amazing sausage dog. It's basically everything you could want for a kind of fun, classic, Christmassy Robb."
00:01:00,00:01:02,"- Yeah. - ""Lidia Marmalade and the Christmas Wish""."
00:01:02,00:01:04,Perfect. Christmas book. It's out now.
00:01:04,00:01:11,"And if you love books generally and you like being part of Book Clubs, Sarah Pasco and Carried Lloyd have a podcast."
00:01:11,00:01:14,"It's brilliant. It's called ""Sara and Carried's Weirdos Book Club""."
00:01:14,00:01:15,Weirdos. Good name for podcasts.
00:01:15,00:01:18,- Yep. Show me something news before. - Yeah.
00:01:18,00:01:25,"And there's plenty of episodes. One of your favourite authors, Mick Heron Andy, was a guest recently talking about his slow horses series."
00:01:25,00:01:30,It's great. Check it out. But get Carried's book and one final bit of business before we start.
00:01:30,00:01:36,You can get ad-free episodes of this show. No such thing as a fish. You can get bonus material.
00:01:36,00:01:42,You can get extra mad crazy fun stuff like shoutouts on the show and video things and longer versions of the main show.
00:01:42,00:01:47,All of that is available at our secret super fantastic members club Club Fish.
00:01:47,00:01:50,You can join it by going to patreon.com/nosuchthingasaffish.
00:01:50,00:01:55,It's been so much fun. We've been making so much extra stuff for it over the last month.
00:01:55,00:02:00,"It's been great and we're really enjoying it. And if you would like to support the show, it is a fantastic way of doing so."
00:02:00,00:02:03,That's right. So just head to patreon.com/nosuchthingasaffish.
00:02:03,00:02:08,"You can find all the details there. But for now, on with the show. On with the show."
00:02:08,00:02:18,*Music*
00:02:18,00:02:25,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:02:25,00:02:30,"from the QI offices in Hobern. My name is Dan Schreiber. I am sitting here with James Harkin,"
00:02:30,00:02:35,"Andrew Hunter Murray, and Carrie Adloyd. And once again, we have gathered around the microphones"
00:02:35,00:02:41,"with our four favorite facts from the last seven days. And in a particular order, here we go."
00:02:41,00:02:46,"Starting with fact number one, and that is Carrie Adloyd. My fact is that Joseph Baseljet,"
00:02:46,00:02:52,"the famous engineer who designed London Surers, who was inspired by the great stink."
00:02:52,00:02:58,His great great grandson was the league guitarist of the band The Vapers.
00:02:58,00:03:03,Who are most famous for their single turning Japanese?
00:03:03,00:03:08,Yes. Brilliant. Now this is a very famous song. A lot of people might know it. We just discovered
00:03:08,00:03:14,"someone in the QI office does not know it, who's in their late 20s. I think it's an age thing,"
00:03:14,00:03:17,"because I recently was telling people this fact, and a lot of people were like, ""What song?"""
00:03:17,00:03:22,"And I was like, ""Come on, turn it up, and they just stare at you."" Really?"
00:03:22,00:03:26,"Yeah, I do think it's an age thing. Because it came out in 1980, so it's an oldie."
00:03:26,00:03:31,It's an oldie. But a goodie. It's a thing classic. It's a brilliant song.
00:03:31,00:03:34,The reason I know this is I know Ed Baseljet.
00:03:34,00:03:41,"No. Yes, Clang. Clang, because he is now, he left The Vapers, and became a TV director,"
00:03:41,00:03:45,"and he is directed Doctor Who, loads of different things, and I work with him very recently,"
00:03:45,00:03:50,"on excellent Channel 5 Police drama, Ellis, starring Sharon D. Clark and Andrew Gao."
00:03:50,00:03:55,"Wow, cool. At what stage in your relationship did the great great-great-grandfather come out?"
00:03:55,00:04:02,"So, I am of a mind like yourself. I managed to keep it together for five days filming in Belfast,"
00:04:02,00:04:05,"but the whole time I was like, ""Oh, Baseljet. Must be a Baseljet. Must be related."""
00:04:05,00:04:09,"That's such an unusual surname, can't be. And then we went for a drink in Belfast,"
00:04:09,00:04:13,"beautiful, beautiful Belfast, after we finished our episode, and I think"
00:04:13,00:04:18,"he was probably two points at Guinness Down. I was probably one rum and ginger, and I was like,"
00:04:18,00:04:23,"""So are you related to the Baseljets?"" And he was like, ""Oh, yeah."" And then some young actors,"
00:04:23,00:04:28,"namely, we're like, ""Who? Didn't know?"" ""Didn't know."" And they're classic sewers."
00:04:28,00:04:33,"They're probably the 1860s, but I think anyone should know them. It's like the song ""Turning Japanese."""
00:04:33,00:04:39,"You just think, ""Imagine being Baseljet, and you don't know my song. You don't know my family sewers."""
00:04:39,00:04:44,"Yeah, so I just know a very successful television director, and yeah, so then he said,"
00:04:44,00:04:49,"""Oh, yes, I am related to that Baseljet."" And then someone else must, he must,"
00:04:49,00:04:52,"""Oh, maybe he just came out with it. I can't remember now because we were in a"
00:04:52,00:04:57,"pub in Belfast."" Just said, ""Oh, yeah."" And I was in the band ""The Vapers."" And I initially didn't"
00:04:57,00:05:02,"recognize the name until he said ""Turning Japanese."" I was like, ""Oh my god."" And it's curious,"
00:05:02,00:05:07,"as well as ""The Vapers,"" the name, you would think might have been Ed's suggestion, but it's not."
00:05:07,00:05:14,"They all smoked e-cigarettes. That's exactly right. It was, yeah, before it's time. I think the head"
00:05:14,00:05:19,"of the game. Yeah. Because Ed was the guitarist, and the main songwriter was someone else,"
00:05:19,00:05:23,"wasn't that a thing? Well, that makes sense. That makes sense when he felt it. Yeah. If it had been"
00:05:23,00:05:27,"Ed Baseljet who came up with the name, he probably would have come up with the cholera epidemics."
00:05:27,00:05:31,"Yes, of the 1850s. Yeah, I still going. She said, ""You know, this, the Vapers are still,"
00:05:31,00:05:36,"they reformed."" There he is. Ed was in it for a bit, and now he's gone off to TV directing."
00:05:36,00:05:42,"How often do you think they play the song ""Turning Japanese"" in an average set? I think it's quite a lot."
00:05:42,00:05:48,"Yeah, I think it's quite a lot. I went to watch Junior Senior just after their song"
00:05:48,00:05:52,"""Move Your Feet"" had come out and been a big hit. Oh, yeah. And they played it four times."
00:05:52,00:05:56,"Right. That's, yeah. They could have played it five, and I would have loved it."
00:05:56,00:06:00,"Yeah. And it is a bit being your own tribute act, isn't it? Yeah."
00:06:00,00:06:04,"""Turning Japanese"" was like a global hit as well. It was huge. And it was, it was their biggest hit."
00:06:04,00:06:09,"I like that they knew it at the time as well. So they had it ready, and they went, we should hold"
00:06:09,00:06:13,"this back. Yeah. This is going to be a big song. And so they released it as a second single,"
00:06:13,00:06:16,as opposed to a first single from their album. Because they didn't want to be one hit wonders.
00:06:16,00:06:21,"Yeah. But then, yeah, sort of. They are. And that's no bad thing."
00:06:21,00:06:23,"Sorry, yeah, there's no bad thing. That's no bad thing."
00:06:23,00:06:27,"That's everything. And the former drummer, Howard Smith, was recently elected Mayor of Guildford."
00:06:27,00:06:30,No. That's pretty cool. I thought I wanted a flang.
00:06:30,00:06:34,"Oh, he let the Mayor go. No, he haven't. I haven't met Mayor Guildford. Sorry, bye, sir."
00:06:34,00:06:39,"The one other thing about Ed Baseljet is, as you say, it was a TV director, but one of the things"
00:06:39,00:06:46,he directed on his IMDB is Seven Wonders of the Industrial World in 2003 where Robert Lindsay
00:06:46,00:06:52,looked at London's Suez. What kind of having combination. That's great.
00:06:52,00:06:55,"When do you think he thought, did you think he went to production company with it? Or do you"
00:06:55,00:07:02,"think they said, I think, because you know what, there are like eight episodes in that series,"
00:07:02,00:07:06,"and he only directed one of them, and it was about the Suez. They thought let's get in there."
00:07:06,00:07:10,"We'd like you to do one about the phone network, please. No, I'm sure."
00:07:10,00:07:15,"And that's good, because Robert Lindsay, as a star of my family, has been in a lot of old shit."
00:07:15,00:07:20,"And then, wow, I love my family. I just couldn't resist. I saw the opening."
00:07:20,00:07:24,I'm sorry. Sometimes you're going to throw your heroes under the bus for the show.
00:07:24,00:07:27,"It's really interesting, because it's lovely, Dan, who says, I love my family."
00:07:27,00:07:32,I love my family in such a wife guy. Brilliant. Let's go into Suez.
00:07:32,00:07:37,"Yes. I kind of thought that you guys would have Suez sewn up,"
00:07:37,00:07:41,so I thought I'd leave with more vapors stuff. I thought that somebody...
00:07:41,00:07:45,"I'm sorry, I'm sorry. I'm sorry. I'm sorry. Excited to talk about Baseljep."
