start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:04,"- Hi everyone, welcome to this week's episode"
00:00:04,00:00:06,"of No Six Things, a fish where we decided"
00:00:06,00:00:10,that we would help a new up and coming comedian
00:00:10,00:00:13,"who is our guest today, Andy, can you remember their name?"
00:00:13,00:00:14,I can't quite recall.
00:00:14,00:00:16,- This is called Michael Paulin.
00:00:16,00:00:17,- Michael Paulin.
00:00:17,00:00:18,"- Yeah, that's what I'm reading here."
00:00:18,00:00:20,"Oh, I'm sorry, it's always Michael Paulin."
00:00:20,00:00:22,It's Michael Paulin.
00:00:22,00:00:24,- It's only bloody Michael Paulin.
00:00:24,00:00:27,"- From everything, from Monty Python onwards."
00:00:27,00:00:29,We are so excited to have Michael on the show.
00:00:29,00:00:31,We hope you'll enjoy this one.
00:00:31,00:00:33,"We certainly did recording, as you're about to hear."
00:00:33,00:00:35,"He's amazing, it was such fun episode."
00:00:35,00:00:37,- He has a new book out.
00:00:37,00:00:40,A lot of the facts that you hear at the start of this podcast
00:00:40,00:00:42,"will be recounted in that book,"
00:00:42,00:00:44,"but there is so much more besides,"
00:00:44,00:00:47,"and that book is called, simply."
00:00:47,00:00:48,- Michael Paulin in Venezuela.
00:00:48,00:00:51,- Michael Paulin in Venezuela does exactly what it says
00:00:51,00:00:53,"on the ten, it's a brilliant book."
00:00:53,00:00:56,Dan has read it from cover to cover multiple times.
00:00:56,00:00:58,"And he tells us that it's an incredible book,"
00:00:58,00:01:00,so you should definitely go out and get that.
00:01:00,00:01:03,"And if you wanna know anything more about Michael,"
00:01:03,00:01:07,"then go to his website, it's MichaelPalin.com."
00:01:07,00:01:09,And there's so much on there.
00:01:09,00:01:11,"Like you just can't, you'll be on there for weeks."
00:01:11,00:01:12,- Absolutely.
00:01:12,00:01:14,"And we have Club Fish,"
00:01:14,00:01:18,"which is our super secret, private, exclusive, extraordinary,"
00:01:18,00:01:19,members club.
00:01:19,00:01:21,You can get ad free episodes of Fish.
00:01:21,00:01:23,You can get bonus bits of Fish.
00:01:23,00:01:25,There is a longer version of the episode
00:01:25,00:01:26,"with Michael Palin, as with every other one."
00:01:26,00:01:28,You can get FishXL.
00:01:28,00:01:30,There's so much other stuff and goodies on there.
00:01:30,00:01:31,Go and check it out.
00:01:31,00:01:35,It's at patreon.com/nosuchthingasaffish.
00:01:35,00:01:37,"- But in the meantime, please do enjoy this episode"
00:01:37,00:01:40,"of ""No Six Things Affish"" with Michael Palin."
00:01:40,00:01:42,And why not check out some of the other stuff he's done?
00:01:42,00:01:43,I've heard it's quite good.
