start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,[Music]
00:00:04,00:00:09,"Hi everyone, Merry Christmas and welcome to this episode of No Such Thing as a Fish."
00:00:09,00:00:14,"We have something very special for you today. It is our Christmas special. Well, it's kind of a"
00:00:14,00:00:20,20-25 special. We've looked at this entire year and we found our favorite news stories. Do you
00:00:20,00:00:25,"remember when we used to do our own TV show called No Such Things and News? Well, this is a kind of"
00:00:25,00:00:29,version of that where we don't have to do makeup. I don't have to sit in front of the camera.
00:00:29,00:00:32,I really hope you enjoy it. I really hope you had a great Christmas. I know not everyone
00:00:32,00:00:37,"has a great time this time of year, but if you didn't, I hope you can kind of just turn off"
00:00:37,00:00:42,for the next hour and listen to us. Be really silly. If you'd like some more fish in your life perhaps
00:00:42,00:00:48,"to help that time between Christmas and New Year go very, very quickly, then the place to go is"
00:00:48,00:00:54,definitely Patreon. It's patreon.com/no Such Thing as a Fish and there you can find everything about
00:00:54,00:01:00,"club fish, all of that extra content that you can get with all of our different tiers. Not only will"
00:01:00,00:01:06,"you get lots of extra stuff, but you will be helping to support the podcast. So do go there. If you fancy"
00:01:06,00:01:11,"it, if not, then please stay here and listen to the podcast, which is free and which will always"
00:01:11,00:01:30,"be free. Okay, I'll be the podcast."
00:01:30,00:01:37,"Hello and welcome to another episode of No Such Thing as a Fish, a very special Boxing Day edition."
00:01:37,00:01:41,I hope you had a great Christmas. I hope you got all the presents you wanted and here's an extra
00:01:41,00:01:46,"present for you, a sort of different No Such Thing as a Fish today because we are going to be going"
00:01:46,00:01:50,"through not our favorite facts from the last seven days, but our favorite bits of news from the last"
00:01:50,00:01:58,"365 days. We are now presenting the podcast of the year in sort of tribute to our books,"
00:01:58,00:02:03,The Book of the Year and our TV show No Such Thing as the News. So this is the podcast of the book
00:02:03,00:02:09,of the TV show of the podcast of the podcast of the TV show because it came from QI.
00:02:09,00:02:15,Yeah. So this is the podcast of the book of the TV show of the podcast of the TV show and in no
00:02:15,00:02:22,"particular order, here we go. It's like the Blade Runner of podcasts. Yeah. So we're actually doing"
00:02:22,00:02:26,"something different today because as well as finding our favorite news stories, we have actually"
00:02:26,00:02:31,tracked down characters from the news to tell us their story. And so I'm going to go first. I'm going
00:02:31,00:02:37,"to play a little bit of audio now and James and Andy, let's see if you can work out who this is"
00:02:37,00:02:41,from the news this year. Okay. I know such thing as a fish. This is Maryl Burnett from the department
00:02:41,00:02:46,"of psychological and brain sciences at the University of Massachusetts and most. This year,"
00:02:46,00:02:51,"along with my co-writer Paul Silvia, I published a scientific paper that set out to answer a very"
00:02:51,00:02:57,"important question. So what do you think that question was? Oh, okay, quite vague. Quite vague."
00:02:57,00:03:05,"University of Massachusetts, so Boston, perhaps. Yep. Some to do with the tea party. Oh,"
00:03:05,00:03:09,so do the New England Patriots for the team? How many sugars were there in the Boston
00:03:09,00:03:17,"tea party? How many sandwiches? Yeah. No, we're nowhere near close. And yes, it is so vague that"
00:03:17,00:03:21,"it's going to be virtually impossible to get. Well, no, Dan's interests. Yeah, via to the"
00:03:21,00:03:28,"cryptid. His wife. There's no way of talking about vanilla. Sorry, I didn't hear what you said"
00:03:28,00:03:35,"initially. The cryptid. Oh, sorry, yeah. Harry, mythical and terrifying beast. Vanilla is much"
00:03:35,00:03:41,"loved by everyone. That's such thing as fish. I think God, she doesn't listen to our show."
00:03:41,00:03:47,"So is it they've discovered why people believe for this rubbish? No, it's not to do with, it's not"
00:03:47,00:03:53,"to do with that sort of weird world. Psychologist, did she say? Yeah. So it's something to do with the way"
00:03:53,00:04:01,that people act. Maybe why we cry? Why we cry in public? Why I cry in public? Why we kiss? That's been
00:04:01,00:04:06,"the study this year. That has been a study. Well, because it's good for podcast team unity. It's"
00:04:06,00:04:13,just stops you crying. I think it's relevant to what ends up happening a lot on this show when we
00:04:13,00:04:19,"tedious arguments about minor points of information. But now jokes. Oh, now we're getting into"
00:04:19,00:04:24,the zone. Bad jokes. It's not bad jokes. Let me give you the answer. Here's the answer from
00:04:24,00:04:30,"Maryl Burnett. The question we asked was what's brown and sticky? And the answer, of course, is a stick."
00:04:30,00:04:34,"Actually, that was just the title of the paper. The thing we really wanted to know is who finds"
00:04:34,00:04:39,"dad jokes funny. And after collecting over 32,000 jokes and putting them to a group of volunteers,"
00:04:39,00:04:45,we found our answer. And so my fact for your podcast of the year is this. The people who find
00:04:45,00:04:52,"dad jokes the funniest are, in fact, dads. Oh, well, I beg to differ. My daughter fives by jokes hilarious."
00:04:52,00:05:00,"I agree with you. If our kids were involved in this, now this is Maryl Burnett. And she wrote a paper"
00:05:00,00:05:05,"this year called What's Brown and Sticky peering into the electable comedic mystery of dad humor,"
00:05:05,00:05:10,"with a handful of machine learning models, hundreds of humans, and tens of thousands of dad jokes."
00:05:10,00:05:16,"And so they collected 32,000 different dad jokes, which can all now be found on one PDF online,"
00:05:16,00:05:21,"by the way, if anyone wants to get their hands on that. So they came out with multiple different"
00:05:21,00:05:27,"conclusions, but the main one being that dads definitely found the dad jokes the funniest of any group."
00:05:27,00:05:30,I think that makes sense because you wouldn't tell the joke if you didn't think it was funny.
00:05:30,00:05:34,Yes. So you automatically think it's funny when you say it.
00:05:34,00:05:40,"I'm not sure I always do. I'm just trying to get a laugh. And I'm pretty dead behind the eyes,"
00:05:40,00:05:43,"you know, what I'm telling any joke, actually. Are we talking about, yeah, we're not talking about"
00:05:43,00:05:48,"dad jokes here, are we? We're talking about your stand-up set. Just anything I do. Yeah. I'm trying"
00:05:48,00:05:53,"to get a laugh, but that's the only calculation I make is for the audience laugh. Okay, fair enough."
00:05:53,00:05:58,"And they often don't. Interesting, because I'm so self-centred, all I care about is whether I find it"
00:05:58,00:06:04,"funny or not. But this says a lot about us. Yeah, yeah. What about Dan? You just do long"
00:06:04,00:06:11,"stuatly style monobugs to your kids, don't you? They don't usually hear the end of the punchline"
00:06:11,00:06:15,"because they're gone to school by that time. Surely, there is no punchline. That's where means"
00:06:15,00:06:22,"to it slightly, right? I try to swing a punchline in about the 25-minute mark. Yeah, it's an interesting"
00:06:22,00:06:27,"study. I asked her actually, by the way, about what her least favorite dad joke was because, you know,"
00:06:27,00:06:32,she must have her favorites and her the ones she doesn't like. She said these are the two. It's a tie.
00:06:32,00:06:39,"Why is a fish my best friend? Because he's with me single swim. Oh, really good. It's really nice."
00:06:39,00:06:45,"Yeah, I don't know. He always keeps it real with me. Now, she hates that because she says,"
00:06:45,00:06:51,"real is obviously a fishing term and real sounds like real, which would make it keep it real,"
00:06:51,00:06:56,"a proper sentence, but keeps it real makes no sense. She just hates the logic that that doesn't apply."
00:06:56,00:07:01,Is it real? What does that mean? Keeps a real. Keeps it real. Keeps itself on the end of the real.
00:07:01,00:07:06,"Yeah, yeah. I see what you mean. Doesn't work. So she hates it for the lack of logic. She says,"
00:07:06,00:07:12,"contrast this with justice is a dish best served cold. If it were served warm, it would be called"
00:07:12,00:07:18,"just water. Because it's just ice. Yeah, certainly. That works better in the Boston accent."
00:07:18,00:07:22,"And it works as well, I think, as a sentence, rather than as a spoken out thing. I actually think the"
00:07:22,00:07:27,"first one isn't a dad joke. To me, a dad joke is something you say repeatedly whenever something"
00:07:27,00:07:32,"happens. Yes. Like if your kid says, I'm thirsty, you say, hello, first day, I'm Friday. Yes."
