start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hi everyone, welcome to this week's episode of No Such Things A Fish, where we were"
00:00:03,00:00:09,joined by the absolutely brilliant Lou Sanders. Now you'll remember Lou because
00:00:09,00:00:13,"she's been on fish a couple of times I think, she's been on QI many many times,"
00:00:13,00:00:18,"she's an absolute favourite of ours, she's so so funny, so so brilliant. There's"
00:00:18,00:00:23,"loads of things I could tell you about her, she's written books, she's on tour next"
00:00:23,00:00:27,"year, but really the best place to find out everything about her is to go to"
00:00:27,00:00:33,Lou Sanders that's l-o-u-s-a-n-d-e-r-s dot com and all of the information about
00:00:33,00:00:38,"her is there if you want to learn more, which I bet you will because she is a real"
00:00:38,00:00:42,tour de force and she definitely shows that off in this episode today and of
00:00:42,00:00:48,course it would be remiss of me not to mention club fish go to patreon.com/nosuchthingsafish
00:00:48,00:00:53,and find out everything there is to get there there is merch there's bonus stuff
00:00:53,00:00:59,others all sorts you know where to go patreon.com/nosuchthingsafish and find out more
00:00:59,00:01:04,not much more to say apart from on with the podcast
00:01:04,00:01:22,hello and welcome to another episode of no such thing as a fish a weekly podcast
00:01:22,00:01:27,coming to you from the QI offices in Hobern. My name is Dan Shriver I am sitting
00:01:27,00:01:31,"here with Andrew Hunter Murray, James Harkin and Lou Sanders and once again we"
00:01:31,00:01:34,have gathered around the microphones with our four favorite facts from the
00:01:34,00:01:39,last seven days and in a particular order here we go starting with fact number
00:01:39,00:01:44,one and that is Lou. Well you're more likely to get your way if you ask
00:01:44,00:01:49,one for a favor in the right ear and not the left ear it's called right ear
00:01:49,00:01:54,dominance okay so yeah interesting where we're sat you're speaking into
00:01:54,00:02:01,and these right ear yeah and into our left ears can I get more money for the polka yes
00:02:01,00:02:08,it wouldn't work if I asked Dan that no no um right to write a dominance is this
00:02:08,00:02:12,like being like left or right handed or left or right footage is to do with the
00:02:12,00:02:17,hemispheres of the brain and now I'll consult my phone
00:02:17,00:02:22,you got the baby that's right without looking at I was quite impressed myself actually
00:02:22,00:02:26,yeah so it's called right ear advantage I said that didn't I for verbal
00:02:26,00:02:32,commands and persuasion can you imagine sort of like looping round and going
00:02:32,00:02:36,through the other way to sort of ask yeah you've got to do it subtly yes you've
00:02:36,00:02:43,got to make your way over getting out of the bed going round to her side yeah it
