start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,[music]
00:00:03,00:00:06,"Hi everyone, welcome to this week's episode of No Such Things A Fish,"
00:00:06,00:00:10,where we were joined by the brilliant Maddie Motte.
00:00:10,00:00:14,"Now, if you have children of a certain age,"
00:00:14,00:00:16,then you will know exactly who Maddie is.
00:00:16,00:00:20,"She is often seen on the BBC doing various kid shows,"
00:00:20,00:00:23,especially once related to science communication.
00:00:23,00:00:27,"But if you want to know more about her having heard her today on this show,"
00:00:27,00:00:30,"and I'm absolutely certain you will, then the best thing to do"
00:00:30,00:00:32,is to go to her YouTube channel.
00:00:32,00:00:36,So Maddie's YouTube channel is all about curiosity.
00:00:36,00:00:39,"It's all about animals, about plants, about travel,"
00:00:39,00:00:41,about technology.
00:00:41,00:00:43,She is really right up her street.
00:00:43,00:00:45,"She loves everything about knowledge,"
00:00:45,00:00:47,and her videos are absolutely fantastic.
00:00:47,00:00:48,"And if you want to find them,"
00:00:48,00:00:50,"then go to youtube.com/maddiemote,"
00:00:50,00:00:54,"that's M-A-A-D-I-E-M-O-A-T-E,"
00:00:54,00:00:56,or just search for Maddie's name on the internet.
00:00:56,00:00:59,"If you'd like to learn more about us,"
00:00:59,00:01:01,"and what we're up to at the moment and in the future,"
00:01:01,00:01:04,then the best place probably at the moment is to go to Patreon.
00:01:04,00:01:08,"So if you go to patreon.com/nosuchthingsoffish,"
00:01:08,00:01:09,you can sign up there.
00:01:09,00:01:11,You don't have to pay anything if you sign up.
00:01:11,00:01:14,It is a place to get little free bits of pieces here and there
00:01:14,00:01:16,and learn about what's going on.
00:01:16,00:01:17,"And then, of course, on top of that,"
00:01:17,00:01:19,we do have our various tiers.
00:01:19,00:01:22,"If you want to support the podcast financially,"
00:01:22,00:01:23,"and in return for doing so,"
00:01:23,00:01:26,you will get all sorts of amazing things.
00:01:26,00:01:28,"From ad free episodes on our lowest tier,"
00:01:28,00:01:31,"all the way up to live, internet quizzes,"
00:01:31,00:01:33,and merch and a very top tier.
00:01:33,00:01:35,"Anyway, there's loads to see there,"
00:01:35,00:01:37,so just go to patreon.com/nosuchthingsoffish
00:01:37,00:01:39,to find out more.
00:01:39,00:01:40,"But in the meantime,"
00:01:40,00:01:42,"really hope you enjoyed this show,"
00:01:42,00:01:44,with the Fantastic Maddie Mote.
00:01:44,00:01:45,On with the podcast.
00:01:45,00:02:02,[Music]
00:02:02,00:02:06,Hello and welcome to another episode
00:02:06,00:02:07,"of No Such Thing as a Fish,"
00:02:07,00:02:09,a weekly podcast coming to you
00:02:09,00:02:11,from the QI offices in Hobern.
00:02:11,00:02:12,My name is Dan Schreiber.
00:02:12,00:02:14,"I'm sitting here with Andrew Hunter Murray,"
00:02:14,00:02:16,"James Harkin, and Maddie Mote."
00:02:16,00:02:18,"And once again, we have gathered around the microphones"
00:02:18,00:02:21,with our four favorite facts from the last seven days.
00:02:21,00:02:24,"And in a particular order, here we go."
00:02:24,00:02:27,"Starting with fact number one, and that is Maddie."
00:02:27,00:02:31,"Okay, so I thought I could pose this fact as a question,"
00:02:31,00:02:33,sort of a bit of a guessing game.
00:02:33,00:02:36,"So the fact is, in 1988,"
00:02:36,00:02:42,one particular company had to recall 30 million flutes.
00:02:43,00:02:46,That is obviously important.
00:02:46,00:02:47,It's a lot of instruments.
00:02:47,00:02:48,"Yeah, yeah."
00:02:48,00:02:49,"So the question is,"
00:02:49,00:02:50,who is this company?
00:02:50,00:02:51,- Flute makers. - Flute makers.
00:02:51,00:02:53,- Flute makers. - Obviously.
00:02:53,00:02:54,- Yeah. - Flute makers.
00:02:54,00:02:56,- And they didn't put all the holes in.
00:02:56,00:02:58,"- They didn't, okay. - Oh, good call."
00:02:58,00:02:59,It's all those flutes.
00:02:59,00:03:01,"It's just a stick, really, that they say now."
00:03:01,00:03:02,- I was thinking too many holes.
00:03:02,00:03:04,"- Oh, okay. - Can you have too many holes"
00:03:04,00:03:06,"in a flute, definitely."
00:03:06,00:03:07,- Yeah. - Can you?
00:03:07,00:03:08,- Absolutely. - I think so.
00:03:08,00:03:10,I think it becomes a different instrument.
00:03:10,00:03:12,- It's only a better flute up to a point.
00:03:12,00:03:14,"- Yeah, yeah. - I think so."
00:03:14,00:03:16,"- I mean, you need your hands over the holes, don't you?"
00:03:16,00:03:18,"- Yeah, yeah, yeah. - So you'd run out of fingers."
00:03:18,00:03:20,"- Oh, but if you had a spare set of hands,"
00:03:20,00:03:21,"like a pantomine flute, you know,"
00:03:21,00:03:24,there's someone running the lower bit of the flute.
00:03:24,00:03:25,- A double flute.
00:03:25,00:03:28,Is that not a flute that go in both directions?
00:03:28,00:03:30,- Like Darth Maul's lightsaber.
00:03:30,00:03:32,- Yeah. (laughing)
00:03:32,00:03:34,- I feel we've stepped away for another question.
00:03:34,00:03:35,"- To help you out, these flutes"
00:03:35,00:03:38,were actually branded cool flutes.
00:03:38,00:03:40,So I don't know if that has anything to do with helmets.
00:03:40,00:03:43,"For kids, yeah, yeah, well for younger people."
00:03:43,00:03:46,"And actually, it wasn't just flutes that were recalled,"
00:03:46,00:03:48,but also binoculars that were a little cardboard boxes
00:03:48,00:03:49,with plastic lenses.
00:03:49,00:03:51,They were recalled at the same time.
00:03:51,00:03:52,"- Okay, McDonald's."
00:03:52,00:03:53,"- Yeah, I think you're on the mat track."
00:03:53,00:03:55,"- Okay, Burger King."
00:03:55,00:03:57,(laughing)
00:03:57,00:03:58,"- So I could take, I'll go on out."
00:03:58,00:04:00,- Used to get toys in cereal.
00:04:00,00:04:02,"- Absolutely, so there you go, bingo."
00:04:02,00:04:04,"So these cool flutes, they were actually found"
00:04:04,00:04:06,in boxes of corn pops.
00:04:06,00:04:10,"And they were recalled by Kellogg's, Kellogg cereal."
00:04:10,00:04:12,"So it turns out these cool flutes,"
00:04:12,00:04:14,they were made up of two little tubes
00:04:14,00:04:16,that sort of went into a mouthpiece.
00:04:16,00:04:18,"And these tubes, they could fall out"
00:04:18,00:04:20,and they were a choking hazard.
00:04:20,00:04:21,So they had to recall 30--
00:04:21,00:04:23,"- You know what, they could have done with those flutes."
00:04:23,00:04:24,Mar holes.
00:04:24,00:04:25,(laughing)
00:04:25,00:04:27,- So the reason I was looking at this in the first place
00:04:27,00:04:30,"is because I've been, I guess, fairly interested"
00:04:30,00:04:32,in just this whole world of collectible toys recently
00:04:32,00:04:34,"because it feels like we're getting a bit of a resurgence,"
00:04:34,00:04:38,"the idea of blind boxes, toy collectibles is coming back."
00:04:38,00:04:39,"- Oh, yeah."
00:04:39,00:04:40,"- I was thinking, it was so, you know,"
00:04:40,00:04:42,what was my equivalent when I was younger
00:04:42,00:04:44,in that for me was cereal box toys.
00:04:44,00:04:46,But then I sort of just started looking
00:04:46,00:04:48,at the history of cereal box toys
00:04:48,00:04:50,and the toys were kind of fascinating.
00:04:50,00:04:54,"Like, do you remember any particular toys?"
00:04:54,00:04:56,- I think maybe my earliest ever memory
00:04:56,00:04:59,is getting some Ghostbusters stickers
00:04:59,00:05:02,from out of the cereal when the film came out.
00:05:02,00:05:04,"- Wow. - So that was like early 80s, right?"
00:05:04,00:05:05,- Yeah.
00:05:05,00:05:08,I don't think I was allowed to get the kind of cereals
00:05:08,00:05:09,which came with toys in them.
00:05:09,00:05:12,"- Oh, no, they didn't have them in all branded day."
00:05:12,00:05:14,(laughing)
00:05:14,00:05:16,- They just give you a little leaflet about your mortgage.
00:05:16,00:05:18,And that's the fun for you to read and find out.
00:05:18,00:05:20,- It's time for that me to fix this.
00:05:20,00:05:21,"- What about you, Daniel?"
00:05:21,00:05:22,Did you ever get any?
00:05:22,00:05:25,- I remember the whole enjoyment and excitement
00:05:25,00:05:26,of getting them.
00:05:26,00:05:28,Right now I'm drawing a blank on the exact toys.
00:05:28,00:05:30,"But I do remember, like, quite often"
00:05:30,00:05:32,they were within the pack itself.
00:05:32,00:05:33,You had to open up the plastic
00:05:33,00:05:35,and you had to go through the fruit loops
00:05:35,00:05:37,and a lot of families had a policy
00:05:37,00:05:40,that you had to wait till it fell out during a war.
00:05:40,00:05:42,As opposed to just getting right in and grabbing it.
00:05:42,00:05:44,"- Totally, it was whoever poured it into their bowl."
00:05:44,00:05:47,So that was the unwritten rule in our society.
00:05:47,00:05:48,"- And you're an only child, aren't you?"
00:05:48,00:05:50,So you wouldn't have had this issue.
00:05:50,00:05:52,"But obviously, if you've got three or four kids"
00:05:52,00:05:54,and you've only got one tie in a pack.
00:05:54,00:05:55,- Yeah. - Yeah.
00:05:55,00:05:56,"- Yeah, that's a big deal."
00:05:56,00:05:57,"- Yeah, but I think that's fair enough"
00:05:57,00:05:58,the pouring out thing.
00:05:58,00:05:59,"Like, you don't allow to plunge your hand"
00:05:59,00:06:00,into the Christmas pudding
00:06:00,00:06:01,to allow the sick to sleep in.
00:06:01,00:06:02,That's not allowed.
00:06:02,00:06:04,(laughing)
00:06:04,00:06:06,- I think I'd more incited to add these childhood.
00:06:06,00:06:08,(laughing)
00:06:08,00:06:09,"Like, one really interesting thing is"
00:06:09,00:06:13,the people who made them had to make them a certain weight.
00:06:13,00:06:14,And that is because of something
00:06:14,00:06:17,called the Brazil Nut Effect.
00:06:17,00:06:18,That if you get lots of things
00:06:18,00:06:19,that are different sizes and different weights
00:06:19,00:06:21,"and you jiggle them around,"
00:06:21,00:06:24,eventually the bigger things will end up at the top
00:06:24,00:06:26,and the smaller things will end up at the bottom.
00:06:26,00:06:28,"And this is something that's,"
00:06:28,00:06:29,"you see this in all sorts of places,"
00:06:29,00:06:31,"even like in avalanches,"
00:06:31,00:06:32,like the big bits of snow
00:06:32,00:06:34,will be at the top and the small bits of the bottom.
00:06:34,00:06:37,But they had this specific size and weight of these toys
00:06:37,00:06:39,so that they knew that if they were jiggled around
00:06:39,00:06:42,"in transport, the toy would always be kind of in the middle."
00:06:42,00:06:43,"- Ah, that was nice."
00:06:43,00:06:45,"- Ah, I didn't know that."
00:06:45,00:06:46,"- Yes, what was yours?"
00:06:46,00:06:47,You haven't given us your idea.
00:06:47,00:06:50,"- Well, so I remember the color changing spoon"
00:06:50,00:06:51,that I got in cocoa pops.
00:06:51,00:06:52,- It's you. - Thank you.
00:06:52,00:06:54,"- Yeah, so when it would go into the cold milk,"
00:06:54,00:06:55,it would change color.
00:06:55,00:06:56,- Oh my god.
00:06:56,00:06:57,"- But actually, one of those looking"
00:06:57,00:07:00,"at the various toys they have been over the years,"
00:07:00,00:07:03,it very much started out as China cereal bowls
00:07:03,00:07:05,that you would have to send off by collecting tokens
00:07:05,00:07:06,on the back of boxes.
00:07:06,00:07:10,Then Kellogg sort of saw that they were doing
00:07:10,00:07:12,"this with quaker oats and Kellogg's were like,"
00:07:12,00:07:13,we can get on the back of this.
00:07:13,00:07:15,So they started making these farm yard story books
00:07:15,00:07:17,with various flaps that you could make
00:07:17,00:07:19,funny animals out of.
00:07:19,00:07:21,"And then that sort of like started the spiral of,"
00:07:21,00:07:22,"okay, well, what else,"
00:07:22,00:07:25,what toys can we put inside the packets?
00:07:25,00:07:27,"And actually, this was sort of,"
00:07:27,00:07:29,I guess it became extremely popular
00:07:29,00:07:30,after the Second World War.
00:07:30,00:07:32,So it's sort of looking at the atomic age.
00:07:32,00:07:36,"So a lot of early cereal box toys are quite,"
00:07:36,00:07:37,literally yes.
00:07:37,00:07:39,"- No, no, no."
00:07:39,00:07:39,- What?
00:07:39,00:07:41,- It's genuinely.
00:07:41,00:07:42,- Oh my god.
00:07:42,00:07:43,- But genuinely radioactive toys
00:07:43,00:07:45,were placed inside cereal boxes.
00:07:45,00:07:47,"- Well, then you know where it is in the packet"
00:07:47,00:07:48,'cause you can see the glow.
00:07:48,00:07:49,- Yeah.
00:07:49,00:07:51,"- When I was a kid that was at first,"
00:07:51,00:07:52,"if you were at ReadyBrat,"
00:07:52,00:07:54,you would always have a glow around your whole body.
00:07:54,00:07:55,I didn't realize it was a ReadyBrat.
00:07:55,00:07:56,- Please.
00:07:56,00:07:57,(laughing)
00:07:57,00:07:59,"- I remember if you had too much sunny delight,"
00:07:59,00:08:01,"you sort of glowed orange,"
00:08:01,00:08:02,but I was a complete thing.
00:08:02,00:08:03,- You were all showing that right here.
00:08:03,00:08:04,"- Yeah, yeah, totally."
00:08:04,00:08:08,But this toy was called the Lone Ranger Atomic Bomb Ring.
00:08:08,00:08:09,- genuinely.
