start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone, welcome to this week's episode of No Such Things A Fish, where we were"
00:00:04,00:00:10,"joined by our good friend, the New Zealand comedian Ray O'Leary. Now we've known Ray"
00:00:10,00:00:15,for a long time now. He is such a good friend. It's so good to get him on the main
00:00:15,00:00:19,podcast. You might remember he did the Edinburgh Showcase that we did as was
00:00:19,00:00:24,"the end of last year, but he is on the full show today and I'm absolutely"
00:00:24,00:00:27,certain you're gonna love it because oh my gosh we have such a good time doing
00:00:27,00:00:31,this show. Once you have finished listening to it then I reckon you're gonna
00:00:31,00:00:36,want to go and buy tickets to see his show. His stand-up is really where he
00:00:36,00:00:40,absolutely thrives. He's got a brilliant delivery and his jokes are so funny.
00:00:40,00:00:44,"Of all the people I went to see last year, definitely he's my favourite. And so"
00:00:44,00:00:48,"if you are listening to this, when the show goes out and you are in Edinburgh,"
00:00:48,00:00:51,"Newcastle Glasgow, Norwich, Southampton, Edinburgh,"
00:00:51,00:00:57,"Leeds Liverpool Birmingham, London, Bristol or Sheffield, then go to the internet"
00:00:57,00:01:02,and search for Ray O'Leary. If you go to his Instagram then you will find details
00:01:02,00:01:06,for tickets in his bio. Oh you could just search Google for Ray O'Leary tickets and
00:01:06,00:01:10,you'll find them there and I highly recommend it. If you'd like to listen to the
00:01:10,00:01:15,Excel version of this show where we find out what Dan has in common with
00:01:15,00:01:19,Jean-Jacques Russo and believe me you didn't want it in the normal version but
00:01:19,00:01:25,big fans of Dan are going to want to hear it and go to patreon.com/nosythingsaffish
00:01:25,00:01:29,"and there is all sorts of stuff there, not just Excel shows but merch and"
00:01:29,00:01:34,all sorts of bonus material or just a place to sign up and learn more about fish.
00:01:34,00:01:39,"Anyway, let's get on with it. This week's show with Ray O'Leary on with the podcast."
00:01:39,00:01:59,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming to you"
00:01:59,00:02:05,"from the QI offices in Hobern. My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray,"
00:02:05,00:02:10,James Harkin and Ray O'Leary and once again we have gathered around the microphones with our
00:02:10,00:02:16,four favorite facts from the last seven days and in no particular order here we go. Starting with
00:02:16,00:02:25,fact number one and that is Ray. My fact this week is that a 30-second lullaby written in 1963 has made
00:02:25,00:02:32,more than $70 million in royalties. That lullaby is killing in the name of my rage.
00:02:32,00:02:40,Some that l always go to bed and that lullaby.
00:02:40,00:02:47,"Okay, that's a lot of royalties. The reason it's made so much money is because it's become"
00:02:47,00:02:53,a theme song for a TV show. It's become a theme song for the American quiz show Gipady
00:02:53,00:02:59,because the song was written by the creator of the show who I guess needed a theme song.
00:02:59,00:03:05,It got himself to do it and now paid himself $70 million. He got paid every time it was on.
00:03:05,00:03:11,"Yes, every time it was on and the show is like 230 episodes a year or something and he gets paid"
00:03:11,00:03:16,every time. syndicated globally as well and there's all the different UK and other countries.
00:03:16,00:03:22,Stephen Fry hosts the UK and Australian ones. The thing is about this lullaby is as far as I'm
00:03:22,00:03:27,concerned it's exactly the same as another lullaby which is I'm a little teapot.
00:03:27,00:03:34,"Oh really? So one that goes tip me over, pull me out."
00:03:34,00:03:39,"To me, I've always heard it and I honestly always thought they must have just used"
00:03:39,00:03:44,I'm a little teapot because it was out of copyright. But actually he claimed to have written it.
00:03:44,00:03:48,"Well, I would say that I'm a little teapot is not a lullaby. I certainly wouldn't think"
00:03:48,00:03:52,that to a child I was trying to get to sleep. I think that's more of a high-pup fight song
00:03:52,00:03:58,that kind of thing. What does it? It was the eight-mile of its day.
00:03:58,00:04:02,"But actually, I mean, there were movements involved when you want a child to sleep."
00:04:02,00:04:07,You don't want them doing movement. Yeah. But that was written by a couple of school teachers.
00:04:07,00:04:12,"Really? I think it was in like the 30s or 40s. So in theory, it would have been in copyright"
00:04:12,00:04:16,"when he and this guy who was called, what was he called? Merv Griffin."
00:04:16,00:04:20,Merv Griffin. When Merv Griffin wrote his in theory they could have sued him but I think
00:04:20,00:04:24,"because they were just school teachers, they weren't like, you know. I didn't know that."
00:04:24,00:04:30,"Was it Merv Griffin? He not only created Jeopardy, he created Willa Fortune. He was also the host"
00:04:30,00:04:35,of a lot of TV shows. He was in movies. He was a sort of business empire onto himself.
00:04:35,00:04:42,"And he was like the rich at Usman of America. Yeah, he was. But I do have a bone to pick with old Merv."
00:04:42,00:04:48,"Oh, yeah. Of course. Yeah, he says creator of Jeopardy. He absolutely was not. It was his wife."
00:04:48,00:04:54,"Oh, yeah. His wife, Julian Wright. She was sitting on an airplane and this is in interviews with"
00:04:54,00:04:58,"Merv Griffin where he says, and this will explain the format of Jeopardy in case anyone's not really"
00:04:58,00:05:03,seeing it. His wife was mulling over a game show ideas and said there's not enough successful question
00:05:03,00:05:08,"and answer shows. Those used to be big. They weren't really on TV. And then she said, what happens"
00:05:08,00:05:14,if you swap the answer in question in the format? So what if you were given the answer and you had
00:05:14,00:05:19,"to come up with the question. So the question is, how does it work, right? You're a fan, right? Yeah,"
00:05:19,00:05:24,"yeah. So what you get given is I think it's called sometimes the clue, but it's meant to be in the"
00:05:24,00:05:31,phrase of an answer. So it'll be this city is the biggest in the UK and home to 9 million people
00:05:31,00:05:39,"or something like that. And then you would say, what is Western Superman? I do not know enough about"
00:05:39,00:05:49,"British geography. What is London? The examples she gave on the plane was she said 5,280. The question"
00:05:49,00:05:55,"was, how many feet are in a mile? She also said 79 Whistful Vista. The answer was, is that where"
00:05:55,00:06:00,"Fibre and Molly McGee live? And that was just friends of theirs. Oh, that's a tricky one. There doesn't"
00:06:00,00:06:05,talk about that. I think the thing is though with Jeopardy is like those kind of things wouldn't
00:06:05,00:06:10,"quite work. Because if you say the number of feet in a mile, there's a number of different questions"
00:06:10,00:06:17,"that could be in that answer. Whereas if it's a clue rather than an answer. So it has to be, you can't"
00:06:17,00:06:22,"say these are weird sea things. And I say, what are oysters? Because there are loads of weird"
00:06:22,00:06:26,things. It could be a colour hug. Exactly. Okay. Okay. Because I've always found it incredibly
00:06:26,00:06:30,confusing. I've never seen an episode. I've always found the idea quite baffling. And also if you don't
00:06:30,00:06:36,"say what is or who is or whatever, you don't get the point. Give me a break. Give me a break."
00:06:36,00:06:40,It's got to be real. What is the slogan for Kit Kat?
00:06:40,00:06:49,Close enough. Yeah. Okay. Okay. Do they have this show in New Zealand?
00:06:49,00:06:54,"No, I illegally watch it on YouTube every day. Don't tell anyone. My profession is, but yeah,"
00:06:54,00:06:59,I find it fascinating. And also you'll write about what move Griffin said about how he came up with
00:06:59,00:07:04,"the show. Well, I was just sitting there, my wife had a nightmare. The shame of being single,"
00:07:04,00:07:12,"I'm half as efficient, you know. Well, he was like a big deal. And he was an actor. And I think he"
00:07:12,00:07:18,"was friends with Doris Day, who might have discovered him. I think he was working in a nightclub"
00:07:18,00:07:23,"and Doris Day walked past and said, why do you should do a screen test for Warner Brothers for who"
00:07:23,00:07:30,I'm working. And he did that and he got put in a couple of movies. And I think he probably thought he
00:07:30,00:07:36,"was going to be Doris Day's leading man because they were such good friends, but he was very short."
00:07:36,00:07:41,"He could have been like her love interest who eventually loses the girl, but he was never going"
00:07:41,00:07:46,"to be a leading man really. So he thought he was going into either the hot met, but he was assigned"
00:07:46,00:07:56,with like a hunchback number two. He was a poor bearer at Ronald Reagan's funeral. Maybe through
00:07:56,00:08:01,"acting connections, I don't know, or maybe after he became a very big deal. No, you're right."
00:08:01,00:08:07,"Unless they all were. Yeah, I don't know. And he's the man behind the soul. I've got a lovely bunch"
00:08:07,00:08:13,of coconut. He was the original singer of the one who made it the big song that it became.
00:08:13,00:08:17,"Yeah, that's crazy. Yeah, so not behind it. Sorry, the one of the the singers who made it big."
00:08:17,00:08:22,"And the other thing about him, just last thing on him personally that I found fascinating was"
00:08:22,00:08:28,"he also created, as you said, I think James wheel of fortune to another incredibly big game show."
00:08:28,00:08:34,"And of course, we know that the theme tune for that show was written by Alan Thickey,"
00:08:34,00:08:38,father of Robin Thickey. I've read the podcast. I've read the podcast. I've got that. Yes.
00:08:39,00:08:46,"Do you know Robin Thickey? I know Robin Thickey. Oh, yes, it's no common miscurses."
00:08:46,00:08:52,"On this podcast, he will always be Robin Thickey. He gets furious people mispronounce his name."
00:08:52,00:08:58,"Robin, because it makes him sound thick if you call him Robin Thickey. He's very clever, man."
00:08:58,00:09:05,"He also had a chat show, very famously, Murf. He interviewed an estimated 25,000 people."
00:09:05,00:09:10,"And he said that his best interview was with Austin Wells, because Austin Wells was very guided"
00:09:10,00:09:16,"individual. He didn't really say anything about his personal life. But just before the show,"
00:09:16,00:09:20,"Austin Wells said, you know, these wonderful gossipy things that you've always wanted to ask about"
00:09:20,00:09:26,"my past. And Murf says, yeah, yeah, but I'm not allowed to ask those. Am I? And Austin Wells says,"
00:09:26,00:09:31,"well, tonight you are, I'm feeling very expansive. And he did the interview and he asked him all these"
00:09:31,00:09:36,questions that he wouldn't answer in the past. And Austin Wells went home and died two hours later.
00:09:36,00:09:43,"So his like, this is my last chance to get it out. Wow. Holy moly. But he did, yeah, he died of natural"
00:09:43,00:09:55,causes as a person. Murf and Murf. We mentioned Wheeler Fortune earlier. There is a person
00:09:55,00:10:01,"on that show called Vanna White, who has a Guinness World Record. Okay. Can you guess what it is?"
00:10:01,00:10:09,"Vanna White. What was Vanna White? Vanna White was a, she was quite a glamorous lady, glamorous"
00:10:09,00:10:16,"assistant. Oh, it was something like most air was on TV. Okay. So she is the person who turns the"
00:10:16,00:10:22,"answers around because Wheeler Fortune is like Hangman, right? So you've got a word there and you say,"
