start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:08,"- Hey everyone, welcome to another episode of Fish."
00:00:08,00:00:10,"Dan here, hope you're doing well."
00:00:10,00:00:12,Just wanna let you know before we get into the show
00:00:12,00:00:14,about our guest joining us today.
00:00:14,00:00:15,It's one of our favorites.
00:00:15,00:00:16,Someone who's joined us a number of times
00:00:16,00:00:20,"over the last few years, it is New Zealand comedian,"
00:00:20,00:00:21,Melanie Bracewell.
00:00:21,00:00:23,"So Mel, if you haven't heard her on the show before,"
00:00:23,00:00:26,is someone whose work you may have seen in other places.
00:00:26,00:00:29,Her stand-up clips are always popping up online
00:00:29,00:00:30,for any doom scrollers out there.
00:00:30,00:00:32,"If you're an Aussie, you'll know her"
00:00:32,00:00:35,from the TV show She Co hosts called The Cheap Seats.
00:00:35,00:00:37,If you're a fan of Taskmaster
00:00:37,00:00:39,"and have consumed all the international formats,"
00:00:39,00:00:41,you will have seen Mel on series four
00:00:41,00:00:43,of the New Zealand Taskmaster.
00:00:43,00:00:45,"And if you're a general connoisseur of comedy,"
00:00:45,00:00:47,it's good to know that she has had a hand
00:00:47,00:00:51,in the writing of such shows as the rebooted time bandits
00:00:51,00:00:54,and also the absolutely brilliant Wellington Paranormal
00:00:54,00:00:57,of which she starred in two episodes as well.
00:00:57,00:00:59,But this is all stuff that's on the screen
00:00:59,00:01:01,over on the other side of the planet.
00:01:01,00:01:02,What about us in the UK?
00:01:02,00:01:03,"Well, good news."
00:01:03,00:01:07,"Mel is in the country right now on a stand-up tour,"
00:01:07,00:01:09,literally happening as I speak.
00:01:09,00:01:12,So the good news is you can see her in person
00:01:12,00:01:13,"doing the thing she does best,"
00:01:13,00:01:16,which is stand-up with her new show called A Little Treat.
00:01:16,00:01:18,"And if you wanna find all the details for that,"
00:01:18,00:01:20,go to her Instagram.
00:01:20,00:01:22,It's @MelanieBracewell or just Google her name
00:01:22,00:01:24,and A Little Treat UK tour.
00:01:24,00:01:25,"It'll all come up,"
00:01:25,00:01:28,"but basically as of March 1st, she's gonna be in Dorwich,"
00:01:28,00:01:31,"then she's gonna be going to Brighton, Liverpool, Manchester,"
00:01:31,00:01:34,"Edinburgh, Newcastle, Glasgow, Leeds and Cardiff."
00:01:34,00:01:37,"So it's a limited run, but the tickets are selling fast,"
00:01:37,00:01:40,"so quickly get in now before she heads back over to Oz,"
00:01:40,00:01:42,"where just a heads up for the Aussies and New Zealanders,"
00:01:42,00:01:45,she's gonna be on tour with this show from May.
00:01:45,00:01:50,"All the details are online, but for now, enjoy her here,"
00:01:50,00:01:52,"dorking out with me, Andy and James,"
00:01:52,00:01:54,"on no such thing as a fish, on with the show."
00:01:54,00:01:57,(upbeat music)
00:01:57,00:02:02,(bell ringing)
00:02:02,00:02:05,(speaking in foreign language)
00:02:05,00:02:08,(speaking in foreign language)
00:02:08,00:02:11,(upbeat music)
00:02:11,00:02:15,"- Hello, and welcome to another episode"
00:02:15,00:02:17,"of no such thing as a fish, a weekly podcast"
00:02:17,00:02:20,coming to you from the QI offices in Hobern.
00:02:20,00:02:21,My name is Dan Schreiber.
00:02:21,00:02:24,"I'm sitting here with James Harkin, Andrew Hunter Murray,"
00:02:24,00:02:26,"and Mel Bracewell, and once again,"
00:02:26,00:02:27,we have gathered around the microphones
00:02:27,00:02:30,"with our four favorite facts from the last seven days,"
00:02:30,00:02:33,"and in a particular order, here we go."
00:02:33,00:02:37,"Starting with fact number one, and that is Mel."
00:02:37,00:02:40,- My fact this week is that the New Zealand government
00:02:40,00:02:44,is stopping invasive species by using
00:02:44,00:02:47,Selina Gomez Oreos.
00:02:47,00:02:48,- That's huge.
