start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,Do you know what it would have worked as this?
00:00:07,00:00:13,Do you know what it would have worked as this?
00:00:13,00:00:16,Hello and welcome to another episode of Little Fish.
00:00:16,00:00:22,This is the show where you send us a load of amazing facts and then we marvel at how great
00:00:22,00:00:23,they are.
00:00:23,00:00:26,We give a little bit of extra material and then we do a little bit of extra stuff at the
00:00:26,00:00:30,end where we give away custodian ship of some of our old facts.
00:00:30,00:00:34,There's so much to get through that I think we should just get going.
00:00:34,00:00:37,"Andrew Hunter Murray, Dan Schreiber, which of you will go first."
00:00:37,00:00:39,I'll go first.
00:00:39,00:00:45,This is a fact that is sent into us by James Udell and it is the artist behind the famous
00:00:45,00:00:48,dogs playing poker paintings.
00:00:48,00:00:53,Also once wrote a comic opera about an anthropomorphic giant mosquito.
00:00:53,00:00:54,Wow.
00:00:54,00:01:00,I wish I could remember his name Cassius Marcellis Coolidge.
00:01:00,00:01:02,It's Cassius Marcellis something.
00:01:02,00:01:05,I can't remember a surname.
00:01:05,00:01:11,"I know it's the same as a president, it'll come to me, it'll come to me."
00:01:11,00:01:13,He's a fascinating guy.
00:01:13,00:01:15,I can't remember if we've spoken about him on the show before.
00:01:15,00:01:18,"No, I don't think we've ever discussed the dogs playing poker pictures."
00:01:18,00:01:21,They're probably parodied more than you see the originals.
00:01:21,00:01:22,Would you reckon?
00:01:22,00:01:23,"Yeah, that's true."
00:01:23,00:01:25,Something tells me of this guy.
00:01:25,00:01:30,Did he invent those sort of cardboard cutouts that you get at the fairground that you put
00:01:30,00:01:31,your head through?
00:01:31,00:01:32,I feel like he's--
00:01:32,00:01:33,This is what's amazing.
00:01:33,00:01:34,Yes.
00:01:34,00:01:39,He is certainly the person that is credited with popularising it to the point where it became
00:01:39,00:01:41,a big thing.
00:01:41,00:01:45,"If you go to the seaside and it's missing its head and you stand behind it, that's the"
00:01:45,00:01:47,man behind the dog poker playing.
00:01:47,00:01:48,I love those things.
00:01:48,00:01:49,Yeah.
00:01:49,00:01:50,"James, that is stunning knowledge."
00:01:50,00:01:51,I've got to say.
00:01:51,00:01:55,That's really impressive.
00:01:55,00:01:56,Isn't that extraordinary?
00:01:56,00:02:01,"Two seminal things that we sort of don't know the names of, but we all know."
00:02:01,00:02:02,Yeah.
00:02:02,00:02:05,I just think it's like there being someone who invented benches.
00:02:05,00:02:10,You just think there's no way that a technology like bits that the beach where you put your head
00:02:10,00:02:12,through the hole would get someone to take a funny fit.
00:02:12,00:02:14,There's no way that has a named inventor.
00:02:14,00:02:15,I can imagine.
00:02:15,00:02:20,You would go to the Lasco caves in southern France and you would walk into the cave and
00:02:20,00:02:23,"there would be a little bit of a hole and if you put your head through it, then it looks"
00:02:23,00:02:25,like you're spearing some buffaloes.
00:02:25,00:02:26,Yes.
00:02:26,00:02:28,"You feel like it must be as old as that, right?"
00:02:28,00:02:29,Exactly.
00:02:29,00:02:30,Exactly.
00:02:30,00:02:32,Can we get one of those for the office?
00:02:32,00:02:34,"Well, what do you mean?"
00:02:34,00:02:35,What do you mean?
00:02:35,00:02:39,It will be our bodies that other people can put their heads in or are we going to get
00:02:39,00:02:43,some bodies of other famous podcastes that we put our heads in or something?
00:02:43,00:02:44,Okay.
00:02:44,00:02:48,"I was thinking it's our bodies and we put our heads through, but we put them to the"
00:02:48,00:02:53,"way, wait, we put them through the wrong heads and that's a funny image for a tour post"
00:02:53,00:02:54,or something.
00:02:54,00:02:55,Okay.
00:02:55,00:02:56,Yeah.
00:02:56,00:03:00,"Unfortunately, I would say that our bodies are not distinguishable enough."
00:03:00,00:03:01,Yes.
00:03:01,00:03:05,"You know, it's not like one of us is a farmer and one of us is a motorbike or one of us is"
00:03:05,00:03:06,a builder.
00:03:06,00:03:07,Exactly.
00:03:07,00:03:08,One of us is a woman.
00:03:08,00:03:09,Yeah.
00:03:09,00:03:13,"So that one would work, but then the others, I see just three middle aged men with like bodies"
00:03:13,00:03:14,that are feasible.
00:03:14,00:03:19,"Yeah, and we can't have one where three of us have put our head through the Anna head"
00:03:19,00:03:25,hole and Anna's put her head through the three holes of the feasible middle aged men bodies.
00:03:25,00:03:26,Wow.
00:03:26,00:03:27,Middle aged.
00:03:27,00:03:28,That's the first time anyone's caught me in middle age.
00:03:28,00:03:29,Really?
00:03:29,00:03:30,Come on.
00:03:30,00:03:31,"Yes, really?"
00:03:31,00:03:34,You've had the brain of a middle aged man for at least 20 years.
