start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everyone, well, for this week's episode of No Six Thing as a Fish, where we were joined by our good friend"
00:00:05,00:00:09,"and erstwhile colleague, Amila."
00:00:09,00:00:17,"That's right. And Miller, not just a QIL these days, not just a brilliant producer, but a children's author."
00:00:17,00:00:23,"Yes, she has a new book out. It is called The Monster Diaries. What's it about Andy?"
00:00:23,00:00:28,"It's about the Cyclops and the worst party ever. It's a telling of the Cyclops myth from the Cyclops's point of view,"
00:00:28,00:00:32,which is a very funny and good idea. Turns out Odysseus is a complete prat.
00:00:32,00:00:38,"And the Cyclops is the one who should be the hero of the story, but has been mistreated by history,"
00:00:38,00:00:43,so Anne is setting the record straight. I gotta say it's an amazing book. My daughter has been swimming
00:00:43,00:00:49,in it for the last week. She can't help but sit down as she's been asking for it to be read to her
00:00:49,00:00:54,"every bedtime. I know other kids will love it too. And it's a part of a trilogy, so there's two more"
00:00:54,00:01:00,"on the way. If you want to subtly get brilliant bits of history and mythology into your child's brain,"
00:01:00,00:01:05,"this is the way to do it. Yes, that's right. And if you have a very big brain yourself,"
00:01:05,00:01:10,"and you would like to show people how big your brain is, then guess what? You have a chance to do so"
00:01:10,00:01:15,"this coming week because we have our next No, since things are fish. Quiz night."
00:01:15,00:01:21,"Yes, if you're a member of Club Fish, or the friend of the podcast here, you can come to our"
00:01:22,00:01:28,"online quizzes. The three of us have been beavering away, writing questions. I am getting a costume"
00:01:28,00:01:34,for my round. I haven't told you guys this yet. It's ordered. Is it a beaver costume? It's not a beaver
00:01:34,00:01:39,"costume. It's so much worse than that. But basically, it's an enormously fun night. You can join as"
00:01:39,00:01:43,"a team with friends or family, and it's all done over Zoom, so we will send you a link and you can"
00:01:43,00:01:50,"just join. It's going to be on. Is it the 14th of April? That's right. 2026. Yep, this year."
00:01:50,00:02:00,"And it's at 7 p.m. UK time. So go to patreon.com/clubfish. Look for that friend of the podcast here,"
00:02:00,00:02:05,and then you will be able to join us and see if you can pit your wits against other fish fans.
00:02:05,00:02:08,"Okay, on with the podcast. On with the show."
00:02:08,00:02:28,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:02:28,00:02:33,"from the QI offices in Hobern. My name is Dan Schreiber. I am sitting here with James Harkin,"
00:02:33,00:02:38,"Andrew Hunter Murray and Ann Miller. And once again, we have gathered around the microphones with our"
00:02:38,00:02:44,"four favorite facts from the last seven days. And in a particular order, here we go. Starting with"
00:02:44,00:02:52,"fact number one, that is Andy. My fact is, the author of Ben Her dedicated the book to his wife,"
00:02:52,00:02:58,"but he accidentally made it sound like she died. And when he tried to fix it, made it sound even more"
00:02:58,00:03:07,"like she died. So this is Lou Wallace, who wrote Ben Her, which was one of the biggest books of the"
00:03:07,00:03:13,"world in, it was out in about 1880. I think it was the biggest selling novel of the 19th century."
00:03:13,00:03:19,"Until gone with the wind, I think. And it's a Roman epic that also takes in the birth of Jesus,"
00:03:19,00:03:25,"of the life of Jesus. It's a bit like the life of Brian, but it's serious. It's huge though. For"
00:03:25,00:03:30,"many people, it was the first fiction they'd ever read. It was, it just sold so many millions of copies."
00:03:30,00:03:37,"It's like the modern version of the Davinci code, 50 shades of grey, Ann Miller's New Park. Yes,"
00:03:37,00:03:42,"it's all of that. It's all of that. Do you have, um, let us see in your zone? No,"
00:03:42,00:03:51,"always adds 50% to say anyway, I should say this was sent in by Amber O'Rand, so thank you very"
00:03:51,00:03:56,"much, Amber. It's a terrific fact. Basically, Wallace was married to his wife Susan and he said,"
00:03:56,00:04:01,"""I'm going to dedicate the book to you. What would you like?"" And she chose the wording to the wife"
00:04:01,00:04:09,"of my youth. Only my youth. A lot of people read that as, oh, that's so sad. She passed away,"
00:04:09,00:04:14,"you know, some years ago, out of the wife of my youth. And he wrote, ""I began to receive letters of"
00:04:14,00:04:19,"sympathy and inquiries as to when and of what poor Mrs. Wallace died. She was alive and well."""
00:04:20,00:04:24,"And he got so many, I think he started getting marriage proposals by people saying, he's single."
00:04:24,00:04:31,"You're right, so go book. Yeah. And he had to go back and he asked his wife to help him fix it."
00:04:31,00:04:36,"So later copies read, ""To the wife of my youth who still abides with me."" Oh my god,"
00:04:36,00:04:40,"he had things that he was like, as she lives on in my heart. Not like the world's most famous"
00:04:40,00:04:47,"funeral song as well. But yes, just to my wife. To my wife, to my wife, who's here right now,"
00:04:47,00:04:52,she's looking great. She's never looked better. Here's the problem. It's a great novel. He's written
00:04:52,00:04:58,this great novel. His wife is only doing one little bit. His wife has done the dedication both times
00:04:58,00:05:03,"and she's messed it up twice. Yeah. Yeah, yeah. She had a long job. But she's played a long game in"
00:05:03,00:05:09,terms of PR because now she's on those things of fish. Oh yeah. Susan Wallace. Susan Wallace.
00:05:09,00:05:14,"She's still alive. Well, she outlived him by a couple of years. She was a writer as well and I read"
00:05:14,00:05:20,"that she came up with a phrase, ""The Pastor of Little Feet"" in her poem. Oh, that's huge. That's huge."
00:05:20,00:05:25,"And people will know that more than Ben Hurr. So it's pretty snappier, isn't it? Yeah, yeah, yeah."
00:05:25,00:05:30,"It's quicker. It was a big book. I mean, there's no doubt that this was a huge, huge moment in"
00:05:30,00:05:37,literature. It supposedly was blessed by Pope Leo the 13th. That's a story that goes around.
00:05:37,00:05:42,It was one of the first books that was turned into a braille book. That's a big book. Oh wow.
00:05:42,00:05:48,"That's a big braille. Yeah, yeah. Yeah. You get tired fingers. Yeah, and it was, it was what?"
00:05:48,00:05:53,"You would get tired fingers, yeah. And tired eyeballs for meeting it because it is a monster book."
00:05:53,00:06:00,"Tired is, if you listen to the audio. Did you see it as one of the first big merch"
