start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[music]
00:00:13,00:00:16,"Hi everybody, welcome to another episode of Little Fish."
00:00:16,00:00:23,"My name is Andrew Hunter Murray, I'm here with Dan Shriver and James Harkin and we have gathered to give you your best facts."
00:00:23,00:00:27,You've been sending them into podcast@ky.com and we're here to tell you all about them.
00:00:27,00:00:35,And then at the end we're going to do some more fact custodian ships for people who joined Club Fish at the friend of the podcast tier.
00:00:35,00:00:37,"So let's get into it, who's got a fact?"
00:00:37,00:00:39,That was depressingly good Andy.
00:00:39,00:00:40,Oh yes!
00:00:40,00:00:47,James has been telling me that I make a hallix of this intro every time and was grinning at me throughout that just waiting for me to do so.
00:00:47,00:00:49,I was trying to put you off and it didn't work at all.
00:00:49,00:00:50,"No, no, no, no."
00:00:50,00:00:52,"I got a fact, shall I jump into it?"
00:00:52,00:01:01,"Dan Connelly sends this. He says a few months after co-starring as Papa in the video for Madonna's Papa Don't Preach,"
00:01:01,00:01:08,Danny ILO who is an actor that you will know from movies such as The Godfather Part 2.
00:01:08,00:01:12,"He's Leon the professional, he's got a very, very familiar face in those movies."
00:01:12,00:01:14,So he was Papa in Papa Don't Preach.
00:01:14,00:01:23,"So not long after that was released, he released an answer song to it, Papa wants the best for you."
00:01:23,00:01:27,His own version to reply to Madonna for what she was saying.
00:01:27,00:01:29,Is he preaching throughout it?
00:01:29,00:01:37,"He's sort of, I watched the video and the song sounds very much like a 1990s or a 1980s sitcom."
00:01:37,00:01:46,"Yeah, like you know, like the intro where it's like everyone's turning their heads and smiling at camera, picture what songs underneath that, it's got that vibe about it."
00:01:46,00:01:52,"But he seems really distraught, he's incredibly specific, but it's honestly the same tone."
00:01:52,00:01:53,We understand it though.
00:01:53,00:01:54,"Yeah, then it was."
00:01:54,00:02:02,"Yeah, so he did this reply song, you know, and he did occasional songs, he released a few albums, but he wasn't a big singer."
00:02:02,00:02:05,"So Papa Don't Preach is Madonna saying, don't tell me what to do."
00:02:05,00:02:13,"Yeah, I think I think it had something to do with her having a baby and a baby in abortion."
