start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone! Welcome to this week's episode of No Stitch Things The Fish, where we were"
00:00:04,00:00:11,"joined by the incredibly funny and the absolutely charming Zoe Lyons. If you watch QI,"
00:00:11,00:00:15,"which I bet you do if you listen to this, then you will know all about Zoe. She's always"
00:00:15,00:00:19,fantastic when she comes on our show. She's also brilliant on all the other things she
00:00:19,00:00:24,"does. Mock The Week is probably what I mostly associate her with, but yeah, she's a brilliant"
00:00:24,00:00:29,"comedian. She's so funny, she's so nice and so quick. I mean, all these comedians are,"
00:00:29,00:00:35,"but Zoe, honestly, she is so quick off the blocks. It's unbelievable. And actually, what a"
00:00:35,00:00:41,"nice segue. She has a podcast out, all about running. Her podcast is called The Running"
00:00:41,00:00:46,"Joke. It's with her and Esther Minito, and they just talk all about running. Yeah, you"
00:00:46,00:00:50,"don't have to be a fast runner to enjoy it. It's for everyone, really, even if you just"
00:00:50,00:00:55,"applaud along at your own pace. It's for you. It's extremely accessible. It's extremely funny,"
00:00:55,00:01:00,as you would expect everything to be that involves Zoe and highly recommend you get that.
00:01:00,00:01:04,"It's called The Running Joke, and you get it wherever you get your podcasts. While I'm"
00:01:04,00:01:10,"here, like always, I should remind you about clubfish. Go to patreon.com/clubfish. If you"
00:01:10,00:01:13,"would like to get involved there, just sign up. You don't need to give us any money and"
00:01:13,00:01:18,you will get extra little bits every now and then. Like a newsletter that we're currently
00:01:18,00:01:22,"doing, which has lots of behind the scenes stuff. Or you could give us a little bit of money"
00:01:22,00:01:27,"every month, help support the podcast. And you can get ad free episodes. You can get bonus"
00:01:27,00:01:32,"content. You can get merch. You can even get a shout out on our other show, Little Fish."
00:01:32,00:01:38,There's all sorts there for everyone. Go to patreon.com/clubfish to learn more about that.
00:01:38,00:01:42,"But in the meantime, please enjoy this show, which I'm absolutely certain you will with"
00:01:42,00:01:57,"the incredible Zoe Lyons. Ok, up with the podcast."
00:01:57,00:02:09,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:02:09,00:02:14,to you from the QI offices in Hobern. My name is Dan Shriver. I'm sitting here with James
00:02:14,00:02:19,"Harkin, Andrew Hunter Murray, and Zoe Lyons. And once again, we have gathered around the microphones"
00:02:19,00:02:24,"with our four favorite facts from the last seven days. And in a particular order, here"
00:02:24,00:02:28,"we go. Starting with fact number one, and that is Zoe."
00:02:28,00:02:33,"Thank you very much, and I've brought a lovely little fact along for this week. Apparently"
00:02:33,00:02:41,researchers have discovered that humans may have evolved to run long distances as a result
00:02:41,00:02:50,of their endurance pursuit hunting skills. So the idea being that humans would pursue
00:02:50,00:02:57,"its prey for long, long periods of time to exhaust it, their user technique of sort of"
00:02:57,00:03:04,"running in the heat predominantly, so that the animal would become completely exhausted"
00:03:04,00:03:09,"and suffer from heat exhaustion, eventually tire. We don't know how long it would take"
00:03:09,00:03:13,"to tire, but I'm guessing quite a while, if you'd dare."
00:03:13,00:03:18,"Over one mile, almost every animal in the world beats us. Yeah, or at least any mammal,"
00:03:18,00:03:25,"not insects out, but a house cat would absolutely batter us over a mile. But the further"
00:03:25,00:03:30,"we get, the closer we get to them, and eventually over a couple of days, we beat everyone."
00:03:30,00:03:37,"And is that because we've got things like energy buzz and supportive, it's largely"
00:03:37,00:03:40,Gatorade that has helped us become the dominant species of climate.
00:03:40,00:03:43,"Because we've got a good audio book going on and we don't want to stop. Yeah, yeah."
00:03:43,00:03:48,"Whereas cats, silly things, don't listen to things like that. There are loads of different"
00:03:48,00:03:52,"reasons, but it's all due to our anatomy, right? Yes, yes. So we've got longer legs."
00:03:52,00:03:58,"We've got a longer leg, but also we've got, I'm going to say cracking buttocks."
00:03:58,00:04:02,"Do we? Yeah, we've got really good buttocks that help you. Thank you for noticing. Thank you"
00:04:02,00:04:06,"for noticing. You're the first guest we've ever had who noticed that. Yeah, cracking buttocks."
00:04:06,00:04:11,It's the only reason why the podcast is a sit-around for the selection of absolutely cracking
00:04:11,00:04:17,"buttocks. Cracking buttocks is a great name for a podcast. It is, isn't it. But we've got"
00:04:17,00:04:24,cracking buttocks. We've got long tendons and we've also got an incredible ability to sweat
00:04:24,00:04:32,"profusely. That has been mentioned there. Yes, yes, it has been cracking a window in a minute."
00:04:32,00:04:38,"So it means that whereas a deer or another man might suffer with the heat over long, long"
00:04:38,00:04:44,"endurance runs, we are able to literally sweat it out. We can just get radios and chuck it"
00:04:44,00:04:46,away and that's really good. I also read that the upright thing is
00:04:46,00:04:52,"really interesting because us being upright means that when we're running, we can separate"
00:04:52,00:04:57,"breathing in and out and our strides, right? If you're a quadruped and you're running"
00:04:57,00:05:03,"with your legs going in and out, you're sort of moving like an accordion. So you're"
00:05:03,00:05:08,"sort of having to time your breathing, you get exqueased at various points. And of course"
00:05:08,00:05:13,"is why horses and dogs are famously bad runners. I tell you what, when I do running, I sound"
00:05:13,00:05:20,"a bit like an accordion. That wheezing sound. But we can breathe independently of our stride,"
00:05:20,00:05:24,"which is helpful when you're running around. Although, sorry, you run a lot, right?"
00:05:24,00:05:30,"Yeah, I've gone through phases of running a lot. I am now getting back into it and I really,"
00:05:30,00:05:34,"really, it really took off me during the pandemic when we could do nothing else. So I started running"
00:05:34,00:05:40,"and didn't really stop. But for example, yes, so without fear. And it culminated in my brother"
00:05:40,00:05:46,"and I running from London to Brighton. So we did, yeah, what is that? How long is that?"
00:05:46,00:05:50,"At 100 kilometres. Wow. Which sounds, it's 60 miles, but I always say 100 kilometres, because"
00:05:50,00:05:54,"I think that sounds more impressive. Triple figs in it. Yes, they're a big old hill right"
00:05:54,00:06:02,"near the end. Right, right at the end. Very, very close to the end. It's just, it is ditchly"
00:06:02,00:06:07,"and beacon. It's an absolute bastard. And why is it a bit a nightmare for you? Well, I cycle"
00:06:07,00:06:11,"London. Oh, yeah, everybody complains about that when they cycle it, yeah, it's a real pain."
00:06:11,00:06:16,"And it's quite a thing right at the end. Right. We hit it, you know, it was like two o'clock"
00:06:16,00:06:19,in the morning by the time we hit that. So did you do it in one go? We did it in one go.
00:06:19,00:06:25,"Oh, yeah. It took a very, very, very, very long time. The reason I asked you that so is, because"
00:06:25,00:06:31,"when I was running, you tend to, you do breathe on your steps, don't you? It's like a rhythm,"
00:06:31,00:06:35,"you try and breathe when you're stepping. Yeah. Is that right? Well, I, now that I'm getting"
00:06:35,00:06:39,back into my running and I just did a half marathon a couple of weeks ago. I have a sort of
00:06:39,00:06:44,"meditative thing in my head where I asked a long distance runner once, he used to run hundreds"
00:06:44,00:06:50,"of miles. I said, what do you think about? And he said, I just go one, two, three, one, two, three."
00:06:50,00:06:56,"And I went really? Psychopath. Yeah. Sorry, because he wants it. He's just one, two, three. Yeah."
00:06:56,00:07:02,"Skip ball change, skip ball change. One, two, three. And shuffle, shuffle, shuffle, shuffle. Yeah."
00:07:02,00:07:07,"I mean, he did pretty well, but it's partnered and it backwards. Yeah, yeah, yeah, yeah, exactly."
00:07:07,00:07:11,"When they came to the lifts, it all fell apart. But I do that now when I run it. I've got,"
00:07:11,00:07:15,"but I don't, I don't supple three. I go to eight. And it really helps with the breathing. It's"
00:07:15,00:07:21,"one, two, three, four, five, six, seven, eight. And it becomes so meditative. It becomes so"
00:07:21,00:07:26,meditative. And it sort of tunes into your way of thinking and the sort of flow of your brain and
00:07:26,00:07:30,the flow of your breath. Do you know what might have happened to you during that one run between
00:07:30,00:07:35,"London and Brighton? At the end of it, you would have been shorter. Yes. You would have been about"
00:07:35,00:07:40,half an inch shorter. Yes. Because your spine gets so compressed as you're running that you
00:07:40,00:07:45,literally lose height. So that would have recovered about 20 to 48 hours afterwards. But because of the
00:07:45,00:07:50,"length that you ran, not only might you have been shorter, but your brain might have been six percent"
00:07:50,00:07:56,"smaller. Wow. Or up to six percent smaller. Really? Yeah. Well, I mean, I did question every"
00:07:56,00:08:02,"moment of it after like there wasn't a bit where I was going, why on earth are we doing this?"
00:08:02,00:08:08,"Well, this is it's more Ultramarathon runners experience. And it's basically when your body has run"
00:08:08,00:08:12,"out of things to burn or is running out of things to burn, there's a fatty substance in your brain"
00:08:12,00:08:17,"that coats around nerve cells called myelin. And your brain just starts eating itself. Oh, my goodness."
00:08:17,00:08:22,Yeah. And that takes like six months to recover from. Are you serious? So you might have been
00:08:22,00:08:26,half an inch shorter and six percent less intelligent. Absolutely delirious by the end. Right.
00:08:26,00:08:31,I was completely delirious by the end. It does awful things to your body. I hadn't trained running
00:08:31,00:08:37,"and eating. And I told my brother this as we set off and he went, oh, my God. Really? I said,"
00:08:37,00:08:42,"yeah, I'll be fine. He went, you mean, you've never run and eaten at the same time. I mean, no,"
00:08:42,00:08:48,"I'm sure it'd be absolutely fine. Anyway, stop. Well, I mean, yes, but it's, but it's your body can't"
00:08:48,00:08:55,"quite digest it. Let me just say it was quite catastrophic. Oh, yeah, yeah, it was. I finished the race,"
00:08:55,00:09:04,"but not in the shorts I started in. Yeah, yeah, yeah, yeah. As a cracking butt."
00:09:04,00:09:14,I was reading about this. So ultra-marathons can induce consequences of all sorts through the world.
00:09:14,00:09:19,"Where are adults here? What do you mean? Okay, this is a piece on, I think it was running world."
00:09:19,00:09:26,"If you've ever seen post-race urine samples, you will know that things can be bad. I have seen a few"
00:09:26,00:09:31,"p-cups after hot, grueling ultra-marathons and they could serve as the set location for my next"
00:09:31,00:09:38,"big game show, Coca-Cola, tomato soup, or urine. Wow. Yeah. It can be brown. It can have pulp."
00:09:39,00:09:46,"Apparently, who's just gonna have bits? You don't want to know what that is apparently. I mean, it"
00:09:46,00:09:52,"gets. Oh, gosh. But yeah, I guess if it, like, I've had friends who've done like the marathon"
00:09:52,00:09:59,"disarble in the Sahara and that, you know, that is intense. Absolutely. And the level of dehydration"
00:09:59,00:10:05,"must be just, yeah, yeah, yeah. You'd be weeing out all sorts and it will dust I would imagine by the"
00:10:05,00:10:14,end of that. Yeah. So the idea that we've evolved to run is also the idea behind maybe barefoot
00:10:14,00:10:19,running. Yes. Some people think it's healthier to run without shoes than it is to run with shoes.
00:10:19,00:10:25,And I think the studies look at it and probably say that it's better to be barefoot than to just get
00:10:25,00:10:30,"a pair of trainers off the shelf. Yeah. But if you get really specialist trainers, they're probably"
00:10:30,00:10:35,"better still. They're so bouncy these days. Honestly, I'm wearing basically two mattresses."
00:10:35,00:10:43,"It's, I've got a new pair of shoes and they are bouncy. Yeah, yeah, yeah, they do help with the"
00:10:43,00:10:47,"knees and everything. Because I'm getting older as well. So it's, you've got to be careful of the"
00:10:47,00:10:52,"joints and everything. So yeah, two big bouncy pairs of shoes. Speaking of bouncy, some people think"
00:10:52,00:10:58,"that the obvious next step from barefoot running is completely naked running. Oh, I'm going to"
00:10:58,00:11:05,disagree with that. Just say chaffing. Chaffing is bad. I was thinking there would be less chaffing
00:11:05,00:11:10,if there was less clothing. No skin on skin is not good. It's not good. Yeah. But there are some
00:11:10,00:11:16,"manufacturers that make something called naked shorts. We're about as naked as you can get with,"
00:11:16,00:11:21,"but they're still shorts. They still preserve your modesty. Right. But they're like, you can hardly"
