start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone, welcome to this week's episode of No Such Things A Fish, where we were joined"
00:00:04,00:00:09,"by our very good friend, who we've known for many many years, Cariad Lloyd."
00:00:09,00:00:15,"Now before I remind you about Cariad, I want to tell you that she has a potty potty mouth."
00:00:15,00:00:19,"We have bleeped out some things in this show, but if you want to hear everything that was"
00:00:19,00:00:22,"said, it's a bit of a joke, I'll tell you that."
00:00:22,00:00:28,"Then you have to go to patreon.com/clubfish and join our plenty more fish here, where you"
00:00:28,00:00:36,"get an xl episode of every single show, and in this one it is the full, unbleaped, unedited"
00:00:36,00:00:37,version.
00:00:37,00:00:39,So I really hope you enjoy that.
00:00:39,00:00:43,"But either way, Cariad Lloyd, what can I say about her?"
00:00:43,00:00:46,She is in the improv group ostentatious.
00:00:46,00:00:51,"She has got her own podcast, she's got the Weirdos Book Club with friend of the podcast"
00:00:51,00:00:52,Sarah Pasco.
00:00:52,00:00:58,"She also has the grief cast, and she has written lots of books, including her most recent"
00:00:58,00:00:59,kids book.
00:00:59,00:01:02,It is called Where Did She Go?
00:01:02,00:01:05,"Now this is a book, very important."
00:01:05,00:01:12,"This will teach your kids about death in a nice way, in a friendly way, in a story book way,"
00:01:12,00:01:13,but it's absolutely brilliant.
00:01:13,00:01:14,It's such a clever book.
00:01:14,00:01:15,It's so well done.
00:01:15,00:01:17,It works brilliantly as a story.
00:01:17,00:01:20,"It works brilliantly as a kids book, but it has a message behind it."
00:01:20,00:01:23,Highly recommend if you have children that you get that.
00:01:23,00:01:24,We all have a copy.
00:01:24,00:01:28,"Cariad brought some in for us, so we're very, very blessed to have got those."
00:01:28,00:01:30,"But yeah, Cariad is an absolutely brilliant performer."
00:01:30,00:01:34,You will have seen her on absolutely everything in the UK.
00:01:34,00:01:36,And no wonder because she is amazing.
00:01:36,00:01:38,Really hope you enjoyed this week's show.
00:01:38,00:01:41,No more to say apart from on with the podcast.
00:01:41,00:02:01,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:02:01,00:02:04,to you from the QI offices in Hobern.
00:02:04,00:02:05,My name is Dan Schreiber.
00:02:05,00:02:10,"I am sitting here with James Harkin, Andrew Hunter Murray, and Cariad Lloyd."
00:02:10,00:02:13,"And once again, we have gathered around the microphones with our four favorite facts"
00:02:13,00:02:18,"from the last seven days, and in no particular order, here we go."
00:02:18,00:02:21,"Starting with fact number one, and that is my fact."
00:02:21,00:02:26,My fact this week is that the idea to bleep and censor words during live TV and radio
00:02:26,00:02:32,"broadcasts began over a hundred years ago, and was all because of one woman and her nursery"
00:02:32,00:02:34,rhymes.
00:02:34,00:02:35,Yeah.
00:02:35,00:02:37,So this is Olga Petrova.
00:02:37,00:02:42,"This was an actor who has a very interesting story, but why don't we talk about the censorship"
00:02:42,00:02:43,thing first?
00:02:43,00:02:45,Because that's a real hot topic these days.
00:02:45,00:02:49,"It's been in the news very recently, the BAFTAs, when there was..."
00:02:49,00:02:50,What happened?
00:02:50,00:02:52,"You know, it had a guy with Tourette's."
00:02:52,00:02:53,I don't know.
00:02:53,00:02:54,He said so.
00:02:54,00:02:55,Yes.
00:02:55,00:02:59,"John Davidson, who a movie was made on him, well, things weren't bleep because I understand"
00:02:59,00:03:00,it.
00:03:00,00:03:01,Are they bleeped?
00:03:01,00:03:02,Are they bleeped?
00:03:02,00:03:03,Are they bleeped?
00:03:03,00:03:04,Are they left that word in and was the...
00:03:04,00:03:05,"Oh, Lordy Lord."
00:03:05,00:03:06,Controversy that bleeped.
00:03:06,00:03:07,Yeah.
00:03:07,00:03:08,"Oh, it's stunning."
00:03:08,00:03:09,It's so good.
00:03:09,00:03:10,It's really heart-wrenching.
00:03:10,00:03:11,Yeah.
00:03:11,00:03:12,Really?
00:03:12,00:03:16,"And it was a complicated moment at the BAFTAs, but it shows that this is a thing that's"
00:03:16,00:03:19,"constantly in the news because on live TV, how do you stop that?"
00:03:19,00:03:23,"So when this woman read out these nursery rhymes in 1921, what was the word that was bleeped"
00:03:23,00:03:24,out?
00:03:24,00:03:25,Was it...
00:03:25,00:03:26,Was it...
00:03:26,00:03:27,Or was it...
00:03:27,00:03:28,"And then Jane's, I'm happy."
00:03:28,00:03:29,I'm happy with that.
00:03:29,00:03:31,I can't...
00:03:31,00:03:32,I don't want people hearing it.
00:03:32,00:03:33,I've said those words on it.
00:03:33,00:03:34,I think it was worse.
00:03:34,00:03:35,I think it was...
00:03:35,00:03:36,No.
00:03:36,00:03:37,No.
00:03:37,00:03:38,1921.
00:03:38,00:03:39,No.
00:03:39,00:03:40,It was a fine word back then.
00:03:40,00:03:41,I know you say...
00:03:41,00:03:42,Yeah.
00:03:42,00:03:43,But we're not allowed to say...
00:03:43,00:03:44,You say...
00:03:44,00:03:45,Not anymore.
00:03:45,00:03:46,You say...
00:03:46,00:03:47,You say...
00:03:47,00:03:48,Oh.
00:03:48,00:03:49,That's a shocker.
00:03:49,00:03:50,That's interesting.
00:03:50,00:03:54,"Anyway, so this was 1921."
00:03:54,00:04:00,"It was on Newark radio station and Olga Petrova, who come on to read this nursery rhyme."
00:04:00,00:04:02,And the rhyme went something like this.
00:04:02,00:04:04,There was an old lady who lived in a shoe.
00:04:04,00:04:06,She had so many children because she didn't know what to do.
00:04:06,00:04:09,Now this was a very sneaky reference to birth control.
00:04:09,00:04:13,"She was very good friends with Margaret Sanger, who was the founder of the American birth control"
00:04:13,00:04:14,league.
00:04:14,00:04:17,And they all freaked out when she said this because it was a sort of blink and you miss
00:04:17,00:04:19,"it moment, but they certainly got it."
00:04:19,00:04:21,So the normal rhyme is...
