start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[MUSIC]
00:00:13,00:00:16,Hi everyone and welcome to this week's Little Fish.
00:00:16,00:00:19,This is the show where you send us some unbelievable facts.
00:00:19,00:00:22,We say whether we believe them or not.
00:00:22,00:00:26,And then we say whether you should believe them or not because we've done some extra research on them.
00:00:26,00:00:29,And then at the end we will do some extra other stuff.
00:00:29,00:00:32,"But in the meantime I am joined by Andrew Hunter Murray,"
00:00:32,00:00:34,"Dan Schreiber, my name is James Harkin,"
00:00:34,00:00:37,and who is going to give us the first fact?
00:00:37,00:00:41,"All right, this is a fact from Simoneeda Popov."
00:00:41,00:00:43,So thank you Simoneeda for writing in.
00:00:43,00:00:47,"Terrific fact is that there is an area in Los Angeles,"
00:00:47,00:00:49,"which is known as Silver Lake, right?"
00:00:49,00:00:52,And it's named after the Silver Lake Reservoir nearby.
00:00:52,00:00:56,"And it is named not after the Silver cover of its water,"
00:00:56,00:00:58,but after Herman Silver.
00:00:58,00:01:00,[MUSIC]
00:01:00,00:01:03,The LA Water Commissioner at the time the reservoir was built.
00:01:03,00:01:07,That's quite early to get into the things that are named after people.
00:01:07,00:01:13,"But you think that it's going to be things that their names are similar to, they're not."
00:01:13,00:01:15,I thought the element of surprise is so important.
00:01:15,00:01:18,"The longer I leave it in the episode, the more likely you guys would think,"
00:01:18,00:01:20,"""I end, he's going to do his blooming book I did now."""
00:01:20,00:01:22,But how much of a surprise is it to Little Fish listeners?
00:01:22,00:01:24,Because we talk about it a lot on drop us a line.
00:01:24,00:01:26,I know we do it a lot in Little Fish as well.
00:01:26,00:01:27,"Yeah, we do."
00:01:27,00:01:29,"We do it in real life as well, Lister."
00:01:29,00:01:33,"But the terrible thing is, in the inbox of drop us a line, they're flooding in."
00:01:33,00:01:34,Right.
00:01:34,00:01:37,I'm now being bounced into doing this book by the sheer number.
00:01:37,00:01:39,"Well, it sounds like it's more normal than we realize."
00:01:39,00:01:43,"So actually, what I might write is the book of things that are named,"
