start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hey everyone, just like to let you know that we are joined today by the wonderful Amy"
00:00:07,00:00:08,Glad Hill.
00:00:08,00:00:13,"Now even if you're a fairly new listener to know such things afish, you will know Amy"
00:00:13,00:00:16,because it's not that long ago since she came on.
00:00:16,00:00:21,But we don't have many more weeks before Anna comes back and we thought who do we want
00:00:21,00:00:22,back?
00:00:22,00:00:23,Who do we want back on the show?
00:00:23,00:00:27,Who do we enjoy the show so much with that we just can't wait to get them back on and
00:00:27,00:00:31,"with all the people who fit that bill, Amy was the one who we wanted most."
00:00:31,00:00:36,"So we messaged her, she's very busy at the moment but she said yes."
00:00:36,00:00:37,Why is she so busy?
00:00:37,00:00:42,"Well, she has just been on last one laughing UK, the second series of that."
00:00:42,00:00:48,"It is so funny, it's one of the best TV moments of the year so far and Amy is in that."
00:00:48,00:00:53,"She is also in the new series of Taskmaster, I know loads of you who listen to this show"
00:00:53,00:00:59,Love Taskmaster so you will see Amy on that show but she also has her own podcast.
00:00:59,00:01:05,She does a podcast called Northern News with former fish alumnus Ian Smith and she also
00:01:05,00:01:10,does another podcast called Single Ladies in Your Area.
00:01:10,00:01:11,Both of these podcasts are absolutely amazing.
00:01:11,00:01:16,"I have been on the Northern News one, it's such fun, those two are so funny, oh my goodness"
00:01:16,00:01:17,they are so funny.
00:01:17,00:01:20,Definitely go and check those out wherever you get your podcasts.
00:01:20,00:01:24,"And they're also on Patreon, just like another podcast you might have heard of, called No"
00:01:24,00:01:25,"Six Things, a fish."
00:01:25,00:01:30,"Yes, we are on Patreon, now it's just trying to find a new different way of announcing"
00:01:30,00:01:31,that.
00:01:31,00:01:36,"If you go to patreon.com/clubfish, then you can sign up there."
00:01:36,00:01:40,"When you sign up you'll get loads of free stuff, there's plenty of stuff there for anyone"
00:01:40,00:01:44,who doesn't want to pay but if you would like to give us a few pounds each month then there
00:01:44,00:01:48,are various different tiers where you can get various different things.
00:01:48,00:01:53,The first one is plenty more fish where you get droppers aligned which is our audience
00:01:53,00:01:57,feedback show and so much fun and also you get ad free episodes which I know for a lot
00:01:57,00:02:03,of you is a big old poll so please do that but mostly if you do that you are supporting
00:02:03,00:02:04,the podcast.
00:02:04,00:02:07,But actually you're supporting the podcast by being here and listening to this show with
00:02:07,00:02:12,"the incredible, amazing, infectiously funny Amy Clevd Hill, up with the podcast."
00:02:12,00:02:36,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:02:36,00:02:38,to you from the QI offices in Hobern.
00:02:38,00:02:43,"My name is Dan Schreiber, I am sitting here with James Harkin, Andrew Huntson Murray and"
00:02:43,00:02:47,Amy Clevd Hill and once again we have gathered around the microphones with our four favourite
00:02:47,00:02:52,facts from the last seven days and in a particular order here we go.
00:02:52,00:02:55,Starting with fact number one and that is Amy.
00:02:55,00:03:02,Okay so my fact this week is according to science one of the best ways to avoid laughing
00:03:02,00:03:05,is to think about wallpaper.
00:03:05,00:03:13,"This fact comes to me slightly too late, I wish I'd have discovered this fact, what a year"
00:03:13,00:03:14,ago really.
00:03:14,00:03:20,"Okay so for context you recently started on last one laughing, the TV show where you have"
00:03:20,00:03:25,to try and survive the entire process of the show by not laughing and you were on with
00:03:25,00:03:33,"people like David Mitchell and Sam Campbell, so questions to you, if this is a scientific"
00:03:33,00:03:35,"method, would you have your own method?"
00:03:35,00:03:41,"I did actually, less scientific, there was lots of snacks in the room and I thought if my"
00:03:41,00:03:48,"mouth was always full of flumps, marshmallows, you can't laugh, but that isn't science it turns"
00:03:48,00:03:55,"out, but I think it did help, if you've got a mouth full of something you're less inclined"
00:03:55,00:03:56,to.
00:03:56,00:04:00,"I don't think I showed you having flumps, flumps are a funny food as well, they're quite"
00:04:00,00:04:06,"a risky food, that's quite a kind editor I think, who doesn't know, they weren't imaginary"
00:04:06,00:04:15,"flumps, they were real flumps, no you give y'all kids an Easter, imaginary Easter eggs are"
00:04:15,00:04:20,"in garden, oh look at that, I said one, no I thought because part of the wallpaper idea"
00:04:20,00:04:25,"is a distraction tool, so whatever you imagine, you're imagining wallpaper, exactly, no you're"
00:04:25,00:04:29,"really looking at wallpaper but it's a distraction tool, therefore if you were imagining flumps"
00:04:29,00:04:34,"in your mouth and fitting, ooh I could fit more, more in, you might distract yourself,"
00:04:34,00:04:38,"feels very fun, yeah, well, it feels like, not to criticize your technique Amy but I don't"
00:04:38,00:04:43,"know how helpful it would be, are you stopping laughs getting in, no you're stopping them"
00:04:43,00:04:48,"getting out, oh yeah, so laughter comes from within, oh that's true, so maybe once you swallowed"
00:04:48,00:04:53,"the flump then the laughter is going to come out, well just, it doesn't cork it is what"
00:04:53,00:04:59,"you're saying, yeah I guess I just can't quite, yeah, so I read this study and it is distractions"
00:04:59,00:05:04,"one of the things, right, another one is kind of controlling, trying to control your facial"
00:05:04,00:05:11,"muscles, which we did see on the show, yeah, male, poor old male, she liked to do that, did"
00:05:11,00:05:21,"she, she was gurning, like it was the 90s, yeah, so she had this like, like lower jaw protrusion"
00:05:21,00:05:27,"I get, like an under bite, she'd give herself an under bite but it was so effective, so she"
00:05:27,00:05:32,"was really like pulling their muscles in her jaw but then it turns out and she, she has"
00:05:32,00:05:39,"said this in the brush, she's had to go and see a specialist for a jaw injury, that's funny,"
00:05:39,00:05:42,"is gurning, is that a drug thing?"
00:05:42,00:05:50,"Yes, so I'm told, that's another question, and then one other thing that they said is good"
00:05:50,00:05:56,"for it is to re-appraise the jokes in a non-funny manner, which I think is a kind of David"
00:05:56,00:05:57,"Mitchley thing, isn't it?"
00:05:57,00:06:02,"Yeah, but I think that's quite difficult because I think to re-appraise a joke, you have to"
00:06:02,00:06:06,"understand why it's funny, so then you think, ""Oh, that's funny for these reasons, how"
00:06:06,00:06:08,"do we make it less funny?"""
00:06:08,00:06:10,And I think that's a risky strategy.
00:06:10,00:06:14,"And there are, like, surprise jokes of the most dangerous of all, if you're trying not"
00:06:14,00:06:15,to laugh.
00:06:15,00:06:16,Yes.
00:06:16,00:06:18,"As in, there is a moment in, for international listeners, last but not least, you can't"
00:06:18,00:06:22,"go and see it, it's terrific, there's a moment where Alan Carr gets out a sausage"
00:06:22,00:06:27,"machine and it starts firing out a high-speed sausage, and there's almost no way to immediately"
00:06:27,00:06:32,"re-appraise that as a serious malfunction of a sausage machine, oh dear, I hope they haven't"
00:06:32,00:06:33,greased that properly.
00:06:33,00:06:34,That's really hard.
00:06:34,00:06:38,"On the other hand, you can think, ""Oh no, he's going to lose all that sausage."""
00:06:38,00:06:39,Yeah.
00:06:39,00:06:40,"Like, that's how you re-appraise it, right?"
00:06:40,00:06:41,I think very fast.
00:06:41,00:06:45,"You've got to re-appraise it on the opening before it gets to the punch, right?"
00:06:45,00:06:46,Okay.
00:06:46,00:06:50,"Englishman Irishman and Scottishman walk into a bar, you think, ""Oh, what's the likelihood"
00:06:50,00:06:51,"that those three work?"""
00:06:51,00:06:52,"You don't even listen to them, right?"
00:06:52,00:06:54,You just interact yourself with it.
00:06:54,00:06:55,You think this guy doesn't make sausages?
00:06:55,00:06:58,"Hell, hell, there's Alan Carr, you know what it's about to do."
