start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hello Clubfish members, do I have an exciting message for you, especially if you like live"
00:00:07,00:00:08,shows?
00:00:08,00:00:13,"Because that's right, we are doing some live shows this summer, and they will be at"
00:00:13,00:00:18,"the Royal Institution in London, and we're playing in the very venerable lecture"
00:00:18,00:00:22,"theatre, it's where they do the Royal Institution Christmas lectures."
00:00:22,00:00:26,"We went there once before last year, and for some reason they're letting us come back."
00:00:26,00:00:31,"So if you would like to come to these shows, they will be on the 21st of July, the 22nd,"
00:00:31,00:00:39,"the 23rd and 25th of July, and pre-sale for you lovely Clubfish members starts today,"
00:00:39,00:00:44,"and runs until Friday the 5th of June, so quick, before those non-clubfish members get"
00:00:44,00:00:52,"in there, go to nosysthingsaffish.com/ri-summer, and that is where you can get your exclusive"
00:00:52,00:00:54,pre-sale ticket.
00:00:54,00:00:59,"One more thing to say is that if you are not in the UK on the 21st of July, there will"
00:00:59,00:01:03,"be live stream tickets available, so you can watch the show from the comfort of your own"
00:01:03,00:01:04,home.
00:01:04,00:01:10,"But yeah, go to nosysthingsaffish.com/ri-summer to get your tickets now."
00:01:10,00:01:14,"Now before we go on to the actual show, we have another bit of news, in fact, Dan and"
00:01:14,00:01:20,Anna wanted to tell you something very exciting that has been happening at QI Headquarters.
00:01:20,00:01:25,"That's right, so QI has created self-guided walking tours of London, not just any walking tours,"
00:01:25,00:01:31,"walking tours full of amazing, weird QI facts, and narrated by none other than an up-and-coming"
00:01:31,00:01:34,"talent, Stephen Fry."
00:01:34,00:01:38,"That's right, Stephen will be taking on a tour around Westminster, and that tour begins"
00:01:38,00:01:39,at Big Ben.
00:01:39,00:01:43,"There's the tour of the city and bank side, which starts at St. Paul's Cathedral, and it"
00:01:43,00:01:49,is just rampacked with the kind of facts that QI is the best and only place really to go
00:01:49,00:01:50,to for.
00:01:50,00:01:51,That's right.
00:01:51,00:01:55,"So if you want to find out why Londoners used to take baths with geese, or how John Cleese"
00:01:55,00:02:00,"pranked Michael Palin at the Glove Theatre, then look up Voice Map on the App Store."
00:02:00,00:02:05,It's a GPS-activated app that lets you explore at your own pace and accompanies you with these
00:02:05,00:02:06,facts.
00:02:06,00:02:07,That's right.
00:02:07,00:02:08,"And also, it will take in your phone's location."
00:02:08,00:02:12,"So if you happen to be in a spot that's relevant to the tour, Stephen will just start"
00:02:12,00:02:14,talking to you from your phone.
00:02:14,00:02:15,It's absolutely brilliant.
00:02:15,00:02:17,Who doesn't want that?
00:02:17,00:02:19,Who does a fry into your daily life?
00:02:19,00:02:20,Get it now.
00:02:20,00:02:26,"As Anna says, it's on the App Store, or go to voicemap.me/QI."
00:02:26,00:02:27,Okay.
00:02:27,00:02:33,"Oh, with a show."
00:02:33,00:02:46,"Hello, and welcome to another episode of No Such Thing as a Fish, a Weekly Podcast."
00:02:46,00:02:50,Coming to you from the QI offices in Hobern.
00:02:50,00:02:51,My name is Dan Schreiber.
00:02:51,00:02:55,"I am sitting here with Anna Toshinsky, Andrew Hunter Murray, and James Harkin."
00:02:55,00:02:59,"And once again, we have gathered around the microphones with our four favorite facts from"
00:02:59,00:03:00,the last seven days.
00:03:00,00:03:03,"And in no particular order, here we go."
00:03:03,00:03:07,"Starting with fact number one, and that is Anna."
00:03:07,00:03:11,My fact this week is that the reason chefs started wearing hennets around food was to
00:03:11,00:03:14,keep the hennet industry going.
00:03:14,00:03:18,It's amazing.
00:03:18,00:03:20,I don't think of it as being an industry even.
00:03:20,00:03:21,I suppose it must be.
00:03:21,00:03:22,I suppose someone has to make them.
00:03:22,00:03:23,Exactly.
00:03:23,00:03:24,Yeah.
00:03:24,00:03:25,Exactly.
00:03:25,00:03:26,Someone's going to make them.
00:03:26,00:03:27,I just never thought about that.
00:03:27,00:03:28,"You never think about the hennet makers, do you?"
00:03:28,00:03:32,"I imagine it would be like a cottage industry, some kind of village in the north of England"
00:03:32,00:03:34,where they're all made.
00:03:34,00:03:35,Yeah.
00:03:35,00:03:36,"Maybe in the 1500s, perhaps."
00:03:36,00:03:42,"But I think now, like everything else, some giant city in China."
00:03:42,00:03:46,"So, hennets, nothing to do with hygiene, it turns out."
00:03:46,00:03:53,"This is because Bob's happened in the 19, 15s, 1920s, that is, women had had long hair."
00:03:53,00:03:58,"Suddenly, the Bob became fashionable, short hair, and they didn't need hennets anymore."
00:03:58,00:04:02,"So for hundreds of years, women had worn hennets to sort of keep their hair tidy."
00:04:02,00:04:05,They lie in hennets to stop messing up on their pillows.
00:04:05,00:04:07,They have it so that it keeps the curlers in.
00:04:07,00:04:09,The Bob meant none of that's necessary.
00:04:09,00:04:14,"The hennet industry plummets, and the hennet maker, Vanita, the biggest hennet maker"
00:04:14,00:04:20,"around in the US, hired marketing bloke, Edward Bernays, half of them."
00:04:20,00:04:21,We've talked about before.
00:04:21,00:04:23,I think we have mentioned him before.
00:04:23,00:04:26,"I think he invented, did he invent egg and chips or something?"
00:04:26,00:04:27,"It was, he..."
00:04:27,00:04:28,Bacon and eggs.
00:04:28,00:04:29,Bacon and eggs.
00:04:29,00:04:30,He made that the American breakfast.
00:04:30,00:04:32,"He was the one, he was that PR spin master."
00:04:32,00:04:37,"He's the one who made it so that women became a massive market for the cigarette industry,"
00:04:37,00:04:40,six of joy and liberty.
00:04:40,00:04:41,"Yeah, yeah."
00:04:41,00:04:46,"So he was hired by the hennet makers and he, because he was a PR genius, he did two main things."
00:04:46,00:04:49,"He got in touch with loads of celebs and said, hey, start talking about how great long"
00:04:49,00:04:52,hair is because we need to get hennets going again.
00:04:52,00:04:57,"And then B, he thought, I'm going to sort of spread this rumor that it's really unhygienic"
00:04:57,00:04:59,to have hair fall into your food.
00:04:59,00:05:02,"So in restaurants and stuff, if hair gets in the food, that's very bad."
00:05:02,00:05:06,"So he spread this rumor that, you know, you'll get all sorts of diseases from that."
00:05:06,00:05:11,"And within a couple of years, it was state law throughout the US to have hennets in restaurants"
00:05:11,00:05:12,if you were working around you.
00:05:12,00:05:15,So people didn't use to care if you got hair in the food.
00:05:15,00:05:16,They liked it.
00:05:16,00:05:17,It was actively sorted.
