start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[Theme music]
00:00:13,00:00:16,Hello and welcome to another episode of Little Fish.
00:00:16,00:00:24,My name is Andrew Hunter very unjoined by James Harkin and Anna Tijenski to present a selection of your best facts.
00:00:24,00:00:28,"You the audience, you've been emailing podcast@kyoid.com"
00:00:28,00:00:32,by gum you have been and we've got some facts that we're going to be telling you now.
00:00:32,00:00:35,Who's got a fact? Please someone stop this introduction.
00:00:35,00:00:38,I'll stop it. I've got a fact.
00:00:38,00:00:43,"It's from a Manuel funk or funk maybe, but there's not a little couple of dots."
00:00:43,00:00:44,A num loud.
00:00:44,00:00:46,"Huge fat, thank you, a num loud."
00:00:46,00:00:49,Could be a diaresis depending on the word.
00:00:49,00:00:51,"But diaresis is a more embarrassing word to say, isn't it?"
00:00:51,00:00:54,"Yeah, yeah. I've got diaresis, yeah, yeah."
00:00:54,00:00:57,"I'm a huge fan of the show. Thank you, Manuel."
00:00:57,00:01:00,"And he's got a fact that sounds like it was scripted by a lazy novelist, he said."
00:01:00,00:01:02,But apparently we mentioned German.
00:01:02,00:01:04,"Why did you not give yourself this one, Andy?"
00:01:04,00:01:05,"Okay, that's rude."
00:01:05,00:01:10,And his new book is out soon.
00:01:10,00:01:15,"The recently dismissed coach or fortuna Dusseldorf is named Marcus Anfang,"
00:01:15,00:01:22,which translates to beginning and he's been replaced by Alexander Ender.
00:01:22,00:01:25,"And Andy, you speak German, do you know what Ender is?"
00:01:25,00:01:28,"I think I do, yeah. End."
00:01:28,00:01:31,"It's End, beginning and so there we go."
00:01:31,00:01:35,"And then he said, as an added fun facts, Marcus Anfang is no stranger to strange headlines"
00:01:35,00:01:38,"in 2021, he was fired because he'd faked his COVID vaccine."
00:01:38,00:01:40,"That's so cool, that fun."
00:01:40,00:01:41,Faked vaccine?
00:01:41,00:01:45,"Yeah, well, in the United, I've just had the little piece of paper that says you've had it"
00:01:45,00:01:46,and then written it down and stuff.
