start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone, welcome to this week's episode of No Such Things The Fish, where we were"
00:00:04,00:00:12,"joined by the legendary, by the superstar, by the all-round top guy who is Nish Kumar."
00:00:12,00:00:17,"And now anyone in the UK will know all about Nish, he is very often seen on our televisions"
00:00:17,00:00:20,and now he is on our podcast.
00:00:20,00:00:23,"If you are not from the UK and you're not familiar with Nish's work, then after listening"
00:00:23,00:00:26,"to this episode, you will surely want to go to YouTube."
00:00:26,00:00:31,"If you search for Nish Kumar, you will find a full recording of one of his shows and"
00:00:31,00:00:36,it's definitely worth checking out his stand-up because it is brilliant.
00:00:36,00:00:40,"If you are in the UK or in Ireland, then maybe what's going to see Nish live?"
00:00:40,00:00:46,You can go to nishkuma.co.uk and you will find all the dates of his tour there.
00:00:46,00:00:50,He is doing a work in progress at the Edinburgh Festival and then he is going on the road
00:00:50,00:00:55,in September and he is very likely to be at a town near you.
00:00:55,00:00:59,"If you would like to know more about us, then go to patreon.com/clubfish."
00:00:59,00:01:00,It's a place to go.
00:01:00,00:01:04,You can sign up there for free and get lots of little bits and pieces.
00:01:04,00:01:08,Or you can sign up to one of our tears and get even more.
00:01:08,00:01:13,"In fact, if you go to the plenty more fish tier this week, you will get an extra long episode"
00:01:13,00:01:14,of this show.
00:01:14,00:01:18,"In fact, you always get one of those, but this show is about 20 minutes longer than the"
00:01:18,00:01:19,actual episode.
00:01:19,00:01:24,"And that is because Nish Kumar is so knowledgeable about so many different things, especially the"
00:01:24,00:01:26,subjects we talked about today.
00:01:26,00:01:31,"And so there are so many extra bits, extra facts, extra jokes, extra anecdotes, and it is"
00:01:31,00:01:32,all in there.
00:01:32,00:01:35,"But if you don't want to do that, don't worry, just sit down and listen to this week's"
00:01:35,00:01:42,episode with Nish Kumar on with the podcast.
00:01:42,00:01:59,"Hello and welcome to another episode of No Such Things A Fish, a weekly podcast coming"
00:01:59,00:02:02,to you from the QI offices in Hobern.
00:02:02,00:02:07,"My name is Anna Dishinsky and I'm sitting here with James Harkin, Andrew Antamurri and Nish"
00:02:07,00:02:13,Kumar and we have gathered here today with our four favourite facts from the last seven days.
00:02:13,00:02:17,"In no particular order here we go, starting with you, Nish."
00:02:17,00:02:21,"My favourite fact that I've gathered in the last seven days is, after James Cameron was"
00:02:21,00:02:25,"fired from the film Piranha 2, he broke into the studios multiple times in the dead of"
00:02:25,00:02:27,night to improve the edit.
00:02:27,00:02:29,What a hero.
00:02:29,00:02:33,"Yeah, he cares that much about the craft."
00:02:33,00:02:38,So it's so funny to think of the word craft associated with the film Piranha 2.
00:02:38,00:02:45,"Yeah, it's not Bong Joon Ho saying to me, this is cinema, it doesn't quite feel like"
00:02:45,00:02:46,that.
00:02:46,00:02:52,"To give him his due, I think that is part of the reason why he is, I think he occupies,"
00:02:52,00:02:59,"I think about maybe four or five of the 20 most profitable films or maybe not profitable,"
00:02:59,00:03:04,"the most financially successful films, because the sort of common thread of all of his movies"
00:03:04,00:03:12,is this sort of almost operatic grandeur being applied to very sort of mainstream conventional
00:03:12,00:03:13,films.
00:03:13,00:03:16,They get elevated by his sociopathic commitment.
00:03:16,00:03:20,"So hang on, is Piranha 2 in the top 20 grossing films in the world?"
00:03:20,00:03:24,"Because I haven't seen it, it's one of the Cameron Irving that I haven't seen."
00:03:24,00:03:25,"Yeah, right."
00:03:25,00:03:28,I don't think it's in the top two of the Piranha films.
00:03:28,00:03:33,I think all of the avatars are floating around in there.
00:03:33,00:03:34,"Oh, yeah, yeah."
00:03:34,00:03:40,"I think it's cheating when your sequel is count, which people do it with avatar, they count"
00:03:40,00:03:44,"avatars and it's like, love them together, because yeah, if you know this one's grossed a lot,"
00:03:44,00:03:45,then the next one's probably...
00:03:45,00:03:49,"Well, then it will just be Avatar Marvel and then I think like, it'll have to be like,"
00:03:49,00:03:50,police academy.
00:03:50,00:03:51,Police academy.
00:03:51,00:03:52,"Yeah, I think that's it."
