start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,"- Hello, and welcome to Little Fish."
00:00:16,00:00:18,This is the bonus Monday episode
00:00:18,00:00:20,where we put down our facts from the last seven days
00:00:20,00:00:22,"and we get to chill out, sit back,"
00:00:22,00:00:26,and really enjoy the facts that you've been sending us in.
00:00:26,00:00:27,My name is Dan Schreiber.
00:00:27,00:00:29,I'm sitting here with Andrew Hunter Murray
00:00:29,00:00:31,"and Anna Toshinsky and Andy,"
00:00:31,00:00:33,"you've been going through the inbox,"
00:00:33,00:00:36,collecting the best gem sent into us this week.
00:00:36,00:00:37,So let's begin.
00:00:37,00:00:38,- Let's have a gem.
00:00:38,00:00:40,This one goes out too.
00:00:40,00:00:40,I want to say it goes out too.
00:00:40,00:00:42,"I mean, it comes in from."
00:00:42,00:00:43,- Good.
00:00:43,00:00:44,- Oh dear.
00:00:44,00:00:45,(laughing)
00:00:45,00:00:46,It's from Leah McCoy.
00:00:46,00:00:47,- Okay.
00:00:47,00:00:50,"- So, Leah's fact, we've just sent a couple of facts, actually,"
00:00:50,00:00:53,and they're slightly themed.
00:00:53,00:00:56,"Fact number one, women who pay for their coffee or meal"
00:00:56,00:00:59,on a first date tend to display more interest
00:00:59,00:01:03,"in matrimony and then she adds a secondary fact to that,"
00:01:03,00:01:07,which is that leap day is no longer the only day
00:01:07,00:01:09,that a woman can ask a man to marry her.
00:01:09,00:01:14,"And by the way, Ryan, Leah has something to ask you right now."
00:01:14,00:01:15,- This is huge.
00:01:15,00:01:17,- I think this is the first fish proposal.
00:01:17,00:01:18,- Are we meant to leave a blank space now
00:01:18,00:01:19,for her to--
00:01:19,00:01:22,- I hope Leah's paused the podcast at that moment.
00:01:22,00:01:23,"- Oh wait, are we not asking?"
00:01:23,00:01:25,- I think Leah should be the one to ask.
00:01:25,00:01:27,"I mean, they'll have turned it back on by now and we'll know."
00:01:27,00:01:30,"- Well, we don't know now what's happened as a result of this,"
00:01:30,00:01:32,but that's from Leah McCoy.
00:01:32,00:01:32,- Wow.
00:01:32,00:01:33,- Amazing.
00:01:33,00:01:36,"- Wow, congratulations or commiserations."
00:01:36,00:01:36,"- Oh, wow."
00:01:36,00:01:37,"- Oh, yes."
00:01:37,00:01:38,"- This is exciting, isn't it?"
00:01:38,00:01:40,- I really hope that they've listened to this
00:01:40,00:01:43,in like a good moment of their day.
00:01:43,00:01:43,- Yeah.
00:01:43,00:01:44,"- You can have bad moments, can't you?"
00:01:44,00:01:46,It's couples where you sit down and put a podcast on.
00:01:46,00:01:47,- What a stupid idea.
00:01:47,00:01:49,(laughing)
00:01:49,00:01:51,- I don't think you'd choose to put this podcast on
00:01:51,00:01:53,in the middle of a huge argument knowing what was gonna be on it
00:01:53,00:01:55,or do they not know when we're gonna sneak it in?
00:01:55,00:01:57,- I don't know if Leah knows when we're gonna put this out.
00:01:57,00:01:59,- You absolutely have to tell her.
00:01:59,00:02:00,- I should probably watch that.
00:02:00,00:02:01,- That is insane.
00:02:01,00:02:02,"- Okay, okay, I'll warn her."
00:02:02,00:02:04,"Oh my God, God."
00:02:04,00:02:06,- She's waiting 10 years.
00:02:06,00:02:07,She just missed one episode.
00:02:07,00:02:08,She forgot about it.
00:02:08,00:02:10,I can't believe there's any other way.
00:02:10,00:02:12,"- Well, look, I hope that we can say congratulations"
00:02:12,00:02:13,"to you, Leah and Ryan."
00:02:13,00:02:14,- Yes.
00:02:14,00:02:16,- Please do email in podcast@QI.com
00:02:16,00:02:17,and actually any other big life moments.
00:02:17,00:02:20,- Maybe conception.
00:02:20,00:02:21,- We're happy to.
00:02:21,00:02:23,- The moment of or yeah.
00:02:23,00:02:24,- Yeah.
00:02:24,00:02:25,- We're happy to soundtrack that with a fact.
00:02:25,00:02:28,"- A bit like when Tudor, Kings and Queens first had sex,"
00:02:28,00:02:30,they had like a group of people around them monitoring it.
00:02:30,00:02:31,We could be like that.
00:02:31,00:02:34,"- Oh, you're suggesting we record an episode while they're doing it."
00:02:34,00:02:35,- Yeah.
00:02:35,00:02:36,- In the same room.
00:02:36,00:02:37,- Do you reckon?
00:02:37,00:02:38,- That's interesting.
00:02:38,00:02:39,"It certainly is interesting, Andy."
00:02:39,00:02:42,"All right, well, let's get another fact."
00:02:42,00:02:43,"Anna, be gone."
00:02:43,00:02:46,"- Well, this is gonna be a bit of a damp squid."
00:02:46,00:02:49,- I know you've really saved the best for first.
00:02:49,00:02:51,- And yet is this the best for second?
00:02:51,00:02:52,It's from Izzy Turner.
00:02:52,00:02:53,Here's a fact for you.
00:02:53,00:02:56,"In 1703, the high sheriff of County Cork and Ireland"
00:02:56,00:02:59,"was split between two men, the high sheriff hood."
00:02:59,00:03:00,"I guess split between two men,"
00:03:00,00:03:03,named Dick Cox and Willie Supple.
00:03:03,00:03:05,That's just to get us back into down the line.
00:03:05,00:03:06,- Yes.
00:03:06,00:03:07,- It's absolutely beautiful.
00:03:07,00:03:10,- Potential names for any newborn children
00:03:10,00:03:11,"coming your way, Lea."
00:03:11,00:03:13,Willie Supple.
00:03:13,00:03:16,"- Mmm, is that what you want in a Willie?"
00:03:16,00:03:17,- It can't hurt.
00:03:17,00:03:19,(laughing)
00:03:19,00:03:19,It's very good.
00:03:19,00:03:21,"- Yeah, something to prevent the tender profile."
00:03:21,00:03:22,- That's really good.
00:03:22,00:03:23,- Very nice.
00:03:23,00:03:26,- A fact here that's been sent in by PJ Neal.
00:03:26,00:03:30,"And the fact is Berilla, the pastor company, Berilla,"
00:03:30,00:03:33,has a Spotify account with 10 different playlists.
00:03:33,00:03:36,Each of their playlists is named after a specific type of
00:03:36,00:03:38,"pastor, spaghetti, you know, linguine."
00:03:38,00:03:41,And the length of the playlist is the exact length
00:03:41,00:03:43,of the time you need to cook that pastor.
00:03:43,00:03:45,- Yes.
00:03:45,00:03:48,"- So if you're doing pen-a, you would fire up the 11 minute"
00:03:48,00:03:51,pleasant melancholy pen-a playlist.
00:03:51,00:03:53,And I've got them all here.
00:03:53,00:03:57,"There's absolute carbonara, mixed tapes, spaghetti,"
00:03:57,00:04:01,"boom-bap, for silly, you know, it's all good."
00:04:01,00:04:02,- Brilliant.
00:04:02,00:04:03,- That's really good.
00:04:03,00:04:04,Shall I give you another one?
00:04:04,00:04:04,"- Yeah, give it to us."
00:04:04,00:04:08,- This one comes in from Dick Berg from the Netherlands.
00:04:08,00:04:09,No relation we presume to.
00:04:09,00:04:10,What was it?
00:04:10,00:04:11,Hugh Penis said.
00:04:11,00:04:13,(laughing)
00:04:13,00:04:14,- Willie Boobies.
00:04:14,00:04:15,Willie Supple.
00:04:15,00:04:17,"- I'm sorry, I was in Willie Supple."
00:04:17,00:04:18,- Dick Berg from the Netherlands.
00:04:18,00:04:21,"- Right, this is about the name of the little supermarket."
00:04:21,00:04:22,- Okay.
00:04:22,00:04:24,"- It's not one of my name things, it's just a great fact."
00:04:24,00:04:27,"The name of little comes from a guy called Ludwig Lidl,"
00:04:27,00:04:31,who was a retired school teacher and painter
00:04:31,00:04:36,who I think was friends with a parent of the founder
00:04:36,00:04:36,"of Lidl, right?"
00:04:36,00:04:39,So Dieter Schwarz was the founder of Lidl.
00:04:39,00:04:42,"And in 1973, he was setting up this supermarket,"
00:04:42,00:04:45,"but he didn't want to call it Schwarz Marked,"
00:04:45,00:04:46,"which he should have done who was calling it,"
00:04:46,00:04:47,"you know, his shop."
00:04:47,00:04:48,- Yeah.
00:04:48,00:04:51,"- And because that means black market, Schwarz Marked."
00:04:51,00:04:54,"So instead, he just thought Lidl is a good, short,"
00:04:54,00:04:57,"powerful word, and I got to buy for 1,000 marks"
00:04:57,00:04:59,the name from Ludwig Lidl.
00:04:59,00:05:00,- Wow.
00:05:00,00:05:02,"- So that's the guy who, yeah."
00:05:02,00:05:03,- Wow.
00:05:03,00:05:04,"- Yeah, yeah."
00:05:04,00:05:05,- And what's Ludwig's surname now?
00:05:05,00:05:08,"- I think he got to keep it, I believe."
00:05:08,00:05:08,(laughing)
00:05:08,00:05:09,- He doesn't have to give it up.
00:05:09,00:05:11,"- No, no, no."
00:05:11,00:05:13,"And the company, in fact, was founded in the 1930s"
00:05:13,00:05:15,before they renamed it as the supermarket.
00:05:15,00:05:16,- Yeah.
00:05:16,00:05:19,- The local company was called Schwarz Leibin's
00:05:19,00:05:22,Middle Sortiment Gross Handelung.
00:05:22,00:05:24,"- I think that is his new surname, isn't it?"
00:05:24,00:05:25,(laughing)
00:05:25,00:05:26,It was a swap.
00:05:26,00:05:28,"Yeah, that's very good."
00:05:28,00:05:30,"Anna, let's get one for you."
00:05:30,00:05:33,"- Yes, I think is one of my favorite facts I've ever had."
00:05:33,00:05:34,It is bang up my street.
00:05:34,00:05:39,"This is from Tom Ween, or Tom Ween, W-I-N."
00:05:39,00:05:41,"And he says, ""If you're ever in an argument"
00:05:41,00:05:43,"""with Senegalese footballer, El Hadji Duf,"
00:05:43,00:05:45,"""you can diffuse the tension immediately"
00:05:45,00:05:47,"""by calling him brainless."""
00:05:47,00:05:50,"Now, this is part of a West African tradition,"
00:05:50,00:05:51,"which I'm definitely looking into,"
00:05:51,00:05:54,"keep an eye on further podcasts for facts about this,"
00:05:54,00:05:55,'cause it's part of a West African tradition
00:05:55,00:05:58,"of joking kinship, in which particular ethnic groups"
00:05:58,00:06:01,have standard gags they make about other groups.
00:06:01,00:06:03,"So it's a socially approved thing,"
00:06:03,00:06:04,and you're not allowed to get annoyed.
00:06:04,00:06:06,So there'll be one group of people in Senegal
00:06:06,00:06:09,"who are allowed to say, ""You're a wanker."""
00:06:09,00:06:11,"And you're not allowed to get pissed off,"
00:06:11,00:06:12,"because it just shows how close you are,"
00:06:12,00:06:13,and it's used to get people to calm down.
00:06:13,00:06:15,"So if you're having a fight,"
00:06:15,00:06:17,"weirdly, the way you can diffuse the tension is to say,"
00:06:17,00:06:18,"""You tosser."""
00:06:18,00:06:21,"And they have to say, ""Oh, the joking kinship thing."""
00:06:21,00:06:23,- You win. - That's really good.
00:06:23,00:06:25,- It's so amazing. - You twat.
00:06:25,00:06:26,Yeah. - Did I get it right?
00:06:26,00:06:28,"- I've just got to take it, you know what I'm saying?"
00:06:28,00:06:29,"Yeah, that's our joking kinship."
00:06:29,00:06:30,- More on twat.
00:06:30,00:06:32,"- No, no, you don't have more on offended now."
00:06:32,00:06:35,"- Selfish, you don't agree to eat."
00:06:35,00:06:36,"- No, no, it's not understanding."
00:06:36,00:06:37,It's not just your choice.
00:06:37,00:06:39,- It's not everywhere to you.
00:06:39,00:06:42,"My dad calls me dickhead, and that's with affection."
00:06:42,00:06:43,- Is it? - Yeah.
00:06:43,00:06:46,"- I'd need a double check, but it doesn't say anyone else that."
00:06:46,00:06:47,- Or is it just for you?
00:06:47,00:06:49,"- Oh, all the arsels in our local area"
00:06:49,00:06:51,will dickhead by him as well.
00:06:51,00:06:52,"So I don't know why he's grouped me with them,"
00:06:52,00:06:54,"but yeah, it's a..."
00:06:54,00:06:55,- Wow. - Are you dickhead?
00:06:55,00:06:56,"- Yeah, I mean, that's fair."
00:06:56,00:06:58,"Yeah, you did some dickheading in our family."
00:06:58,00:06:59,- Yeah. - But it's so cool
00:06:59,00:07:02,"that this is like written into law, L-O-R-E."
00:07:02,00:07:04,"And he does say that in at least one recorded case,"
00:07:04,00:07:07,they persuaded a rebel group to release hostages
00:07:07,00:07:09,just because people told the right jokes.
00:07:09,00:07:11,"And as he says, ""Dufors"" from the Sireg group,"
00:07:11,00:07:14,which means the pale people are allowed to call him brainless.
00:07:14,00:07:16,"- Wow, lovely. - Sorry."
00:07:16,00:07:17,- Amazing. - Yeah.
00:07:17,00:07:18,"- Yeah, love it. - Love it."
00:07:18,00:07:19,- Very cool. - Really good.
00:07:19,00:07:21,- We seem to be on a little name theme going on here.
00:07:21,00:07:25,"So I'll read this one here, which is Sophie Williams writes"
00:07:25,00:07:30,"in high-fish NHL player, so national hockey league player,"
00:07:30,00:07:34,Steve Hines plays with the sweater number 57.
00:07:34,00:07:35,- Very good.
00:07:35,00:07:36,- 'Cause there are 57 for rights.
00:07:36,00:07:39,"- Exactly, is that known in the NHL?"
00:07:39,00:07:41,"- I'm not sure. - It's a Canada, right?"
00:07:41,00:07:42,"- It's probably in America as well,"
00:07:42,00:07:44,but I know it more as a Canadian thing.
00:07:44,00:07:46,"Yeah, so that's a thing."
00:07:46,00:07:48,"He was 57, and I don't think he was granted the number"
00:07:48,00:07:49,to begin with 57.
00:07:49,00:07:52,"He asked for it in the first team he played for said no,"
00:07:52,00:07:54,and then he eventually got it.
00:07:54,00:07:55,"- Oh, wait, hold on."
00:07:55,00:07:56,So he was asking specifically
00:07:56,00:07:57,because of the Hines connection.
00:07:57,00:07:59,- Yeah. - That's actually even funnier.
00:07:59,00:08:01,I thought it was just coincidence.
00:08:01,00:08:02,"- No, no, he asked for it specifically."
00:08:02,00:08:04,- But he's not connected to the family.
00:08:04,00:08:05,"- No, 'cause they were."
00:08:05,00:08:07,"I mean, there were millionaires."
00:08:07,00:08:09,"I think the millionaires actually, the Hines airs."
00:08:09,00:08:10,- That makes sense.
00:08:10,00:08:12,- Billions of beans have been sold.
00:08:12,00:08:13,- Yeah. - Yes.
00:08:13,00:08:14,- Doesn't make sense.
00:08:14,00:08:15,- Doesn't make sense.
00:08:15,00:08:16,- And they do other things too.
00:08:16,00:08:18,"- There's another player who plays for the NHL,"
00:08:18,00:08:22,"who wears the number 22, and that's Jordan Tutu."
00:08:22,00:08:24,- Really good.
00:08:24,00:08:26,"- And again, I feel like he's had other numbers,"
00:08:26,00:08:27,and that's the one that he's chased.
00:08:27,00:08:30,I like it when teams let their players do that.
00:08:30,00:08:32,"Remember, we did a fact years ago about how Ray Crock"
00:08:32,00:08:35,"bought a baseball team, the Padres,"
00:08:35,00:08:37,"and one of his first signings, even though the person"
00:08:37,00:08:40,"was sort of past their peak as a player,"
00:08:40,00:08:42,"was a guy whose nickname was Big Mac,"
00:08:42,00:08:43,and he brought them into the team.
00:08:43,00:08:44,- Yes. - Stuff like that.
00:08:44,00:08:45,- Yeah.
00:08:45,00:08:46,- Lost a whole lot of money for the investors.
00:08:46,00:08:49,"- He really did, 'cause he's nice at the end of the joke."
00:08:49,00:08:53,"- Yeah, in jokes, they're worth more than actual wins,"
00:08:53,00:08:54,I would say. - Yeah.
00:08:54,00:08:55,- Yeah.
00:08:55,00:08:56,"- Good one, dickhead."
00:08:56,00:08:57,- Okay.
00:08:57,00:08:59,"Okay, that's my dad can call me, sorry."
00:08:59,00:09:01,- Sorry. - Sorry.
00:09:01,00:09:04,"- Here's one from Shan Valvis, from Cao Paolo."
00:09:04,00:09:08,The first personality quiz was devised
00:09:08,00:09:11,by Marcel Proust.
00:09:11,00:09:13,"- Interesting, so I looked into this one."
00:09:13,00:09:16,"He actually didn't come up with it, he did answer it."
00:09:16,00:09:20,He's the most famous early recipient of this quiz
00:09:20,00:09:22,or partaker in it.
00:09:22,00:09:23,"'Cause the Victorians, they had this hobby"
00:09:23,00:09:26,of writing a confession album.
00:09:26,00:09:28,"- Okay, sounds fun. - A diary."
00:09:28,00:09:31,"- No, it sounds a lot more fun than it is."
00:09:31,00:09:36,"- Basically, you have to answer a list of questions,"
00:09:36,00:09:39,"which is your chief characteristic, your main fault,"
00:09:39,00:09:42,"your favorite occupation, your idea of happiness."
00:09:42,00:09:44,"All of these, and it gets quite philosophical."
00:09:44,00:09:48,It starts off with what's your favorite color.
00:09:48,00:09:49,"- You wouldn't even answer that one, would you?"
00:09:49,00:09:50,- Hello.
00:09:50,00:09:51,- You're just tearing it off.
00:09:51,00:09:53,"- No, it's your part of your business."
00:09:53,00:09:56,- I prefer not to say.
00:09:56,00:09:59,"So this album that he answered belonged to his friend,"
00:09:59,00:10:00,it was good Antoinette for it.
00:10:00,00:10:02,"And basically, he lists a whole load of his,"
00:10:02,00:10:04,"you know, most intimate and deep secrets"
00:10:04,00:10:05,in his questionnaire.
00:10:05,00:10:08,So that was the first kind of popular
00:10:08,00:10:09,parlor game version of a personality quiz.
00:10:09,00:10:10,- That's interesting.
00:10:10,00:10:12,"- 'Cause there's a thing that's done,"
00:10:12,00:10:14,"I think it's in Vanity Fair at the back,"
00:10:14,00:10:15,which is the Proust questionnaire.
00:10:15,00:10:18,"- Oh, that'll be this. - Yeah, that is this."
00:10:18,00:10:19,"- I think it's largely asking about books,"
00:10:19,00:10:20,or at least that's my memory.
00:10:20,00:10:21,Maybe it's not though.
00:10:21,00:10:23,"Maybe it's all about your favorite, everything."
00:10:23,00:10:24,"Yeah, so that must be connected."
00:10:24,00:10:25,"- Yeah, yeah, yeah."
00:10:25,00:10:26,It will absolutely be that.
00:10:26,00:10:28,It's known as the Proust questionnaire these days.
00:10:28,00:10:30,"And this is basically kind of instead of a board game,"
00:10:30,00:10:32,you play a game where you answer these questions
00:10:32,00:10:33,and then you talk about them.
00:10:33,00:10:34,Interesting.
00:10:34,00:10:35,"- And all your friends have written,"
00:10:35,00:10:37,"I think in your confession album,"
00:10:37,00:10:39,all of their answers to the quiz.
00:10:39,00:10:41,"- Oh, so fun. - Yeah, which is quite cool."
00:10:41,00:10:44,"- You, not to throw too much of personal life in here, Anna,"
00:10:44,00:10:45,but you play a similar game to that
00:10:45,00:10:46,that you got me to do.
00:10:46,00:10:48,"- Oh, Wheel of Life. - Yeah."
00:10:48,00:10:49,"- God, shall I share the Wheel of Life?"
00:10:49,00:10:51,"- Yeah, tell people. - Oh."
00:10:51,00:10:54,"- This is, me and my friend compiled this about 20 years ago."
00:10:54,00:10:57,And it's basically to work out how well your life is going.
00:10:57,00:11:02,"There are seven categories, and they are relationship,"
00:11:02,00:11:06,"friends, house, job, self-improvement, health."
00:11:06,00:11:10,So that covers your diet and your exercise and another one.
00:11:10,00:11:11,But you can even make that one up yourself.
00:11:11,00:11:13,And you go through them and you grade them out of seven.
00:11:13,00:11:15,And then you look at your total score
00:11:15,00:11:17,"and you think, well, here's where I'm in trouble."
00:11:17,00:11:18,I don't have a house.
00:11:18,00:11:20,I hadn't realised before that was why I was unhappy.
00:11:20,00:11:22,Or something like that.
00:11:22,00:11:24,"- Yeah, it's great. - And you and I have played it, Anna."
00:11:24,00:11:25,I didn't think I gave you anything.
00:11:25,00:11:27,"And I, as it lasted about half a minute."
00:11:27,00:11:29,(laughing)
00:11:29,00:11:31,"Okay, I've got another one here."
00:11:31,00:11:32,This is from Anders Nissen.
00:11:32,00:11:35,And this is that sharks can bite you in their sleep.
00:11:35,00:11:37,And this does seem to be one particular case
00:11:37,00:11:42,"in 2005 in New Mexico, which recorded it's only so far,"
00:11:42,00:11:45,"shark attack incident, 'cause it's landlocked,"
00:11:45,00:11:47,but it took place at the Biopark Aquarium.
00:11:47,00:11:49,"And there's a diver called Ken Pits,"
00:11:49,00:11:50,who needed six stitches.
00:11:50,00:11:52,"The email says, ""Sustain minor injuries"
00:11:52,00:11:54,"that required six stitches."""
00:11:54,00:11:56,"Well, I actually would say that's moderate injuries."
