start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:15,"- Hello everybody, and welcome to another episode"
00:00:15,00:00:16,of Little Fish.
00:00:16,00:00:17,"My name's Andrew Hunter Murray,"
00:00:17,00:00:20,and joining me at The Fact Table
00:00:20,00:00:21,to dish out some of your brilliant facts
00:00:21,00:00:23,that you've been sending in.
00:00:23,00:00:25,"Uh, uh, James Harkin and Dan Treiber."
00:00:25,00:00:26,- Hey Andy.
00:00:26,00:00:28,- Hello Andy.
00:00:28,00:00:30,"You've come for, I'm just painting a picture"
00:00:30,00:00:32,for those who are listening and not watching.
00:00:32,00:00:34,You've come sort of dressed as each other today.
00:00:34,00:00:35,- We've got black t-shirt.
00:00:35,00:00:36,"Oh, I've got a black shirt on."
00:00:36,00:00:37,You've got a black polo.
00:00:37,00:00:38,- Yep.
00:00:38,00:00:39,- And have you got shorts on?
00:00:39,00:00:42,- I got blue trousers on and James has a beige shorts.
00:00:42,00:00:44,- But in fairness Andy is just imagining
00:00:44,00:00:45,what's happening under the table.
00:00:45,00:00:46,- I certainly am.
00:00:46,00:00:47,- Don't look under there.
00:00:47,00:00:48,- Stop what it wants.
00:00:48,00:00:49,We've got to show you a record.
00:00:49,00:00:52,"Right, um, has anyone got a fact?"
00:00:52,00:00:55,- This comes in from Eric Nosborn.
00:00:55,00:00:57,"Eric Nosborn says, ""Hi."
00:00:57,00:01:00,"Since you're going to my hometown of Lund,"
00:01:00,00:01:02,I thought I'd send in one of my favorite Lund facts.
00:01:02,00:01:04,We are going to Lund very soon.
00:01:04,00:01:05,We're going to be--
00:01:05,00:01:08,"Since Sweden, we are playing the festival there"
00:01:08,00:01:10,and we're going to be doing a live podcast recording.
00:01:10,00:01:13,"So, uh, come along if you're in the area."
00:01:13,00:01:14,This is the fact that Eric has sent.
00:01:14,00:01:15,- I think it sold out.
00:01:15,00:01:17,"- Wow, come stand outside the doors."
00:01:17,00:01:19,"- Kind of cool viral marketing,"
00:01:19,00:01:20,but with no purpose.
00:01:20,00:01:21,Now it's sold out.
00:01:21,00:01:22,"Clevverly done, but no point."
00:01:22,00:01:24,- To no point.
00:01:24,00:01:25,They might move us into a bigger room.
00:01:25,00:01:26,- That'd be good.
00:01:26,00:01:27,- That'd be great.
00:01:27,00:01:29,- Right in for a bigger room.
00:01:29,00:01:30,"Uh, here we go."
00:01:30,00:01:31,Can I get to the email?
00:01:31,00:01:32,(laughs)
00:01:32,00:01:33,This is from Eric.
00:01:33,00:01:35,"He says, ""The discovery that humans"
00:01:35,00:01:39,"have 46 chromosomes was made at Lund University."""
00:01:39,00:01:40,- Ooh.
00:01:40,00:01:42,"- ""Before that, for over three decades,"
00:01:42,00:01:44,"we thought humans had 48 chromosomes,"
00:01:44,00:01:47,"and I guess no one bothered to double-check."""
00:01:47,00:01:48,They add in brackets.
00:01:48,00:01:50,It's a bit more complicated than no one bothered
00:01:50,00:01:53,"to double-check, but that sounds funnier."
00:01:53,00:01:54,So--
00:01:54,00:01:56,"- Well, we knew that chromosomes existed."
00:01:56,00:01:57,- Yep.
00:01:57,00:01:59,- And then it turned out that two of them didn't count.
00:01:59,00:02:00,- Exactly.
