start_hhmmss,end_hhmmss,text
00:00:00,00:00:18,"""Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:00:18,00:00:21,coming to you from the QI offices in Hobern.
00:00:21,00:00:25,"My name is Dan Schreiber, I am sitting here with Anatochensky, Andrew Hunter Murray, and"
00:00:25,00:00:29,"James Harkin, and once again, we have gathered around the microphones with our four favorite"
00:00:29,00:00:35,"facts from the last seven days, and in a particular order, here we go, starting with"
00:00:35,00:00:37,"fact number one, and that is James."""
00:00:37,00:00:43,"""Okay, my fact this week is that in 1965, you could try to quit smoking by swapping normal"
00:00:43,00:00:46,"cigarettes for ones made of lettuce."""
00:00:46,00:00:48,"""Did you look as cool?"""
00:00:48,00:00:52,"""You're also wearing a whole lettuce, I'm guessing."""
00:00:52,00:00:54,"""Yeah, that would look cool."""
00:00:54,00:00:58,"""I think they look more or less like cigarettes, so this is the fact I read on the blog"
00:00:58,00:01:04,"of Boeing, Boeing, it's a lovely vlog, which sort of collects fun things off the internet,"
00:01:04,00:01:10,"they found it from Atlas Obscura, and it is all about a guy called Pusont Torigian, who's"
00:01:10,00:01:16,"from Hackensack, New Jersey, and he created a brand of cigarettes called Bravo."
00:01:16,00:01:20,"Bravo cigarettes contain nothing but lettuce, which was dried and cured and made me to look"
00:01:20,00:01:27,"like tobacco, and they were marketed as tasting, well, pretty close, like a cigarette, but"
00:01:27,00:01:32,"they didn't have any of the nicotine or tobacco tar in, and this guy Torigian, he thought"
00:01:32,00:01:37,"that they were going to be the next big thing, and for a couple of years in the '60s, and"
00:01:37,00:01:42,"then, again later, which we might come to, they became very slightly popular."""
00:01:42,00:01:47,"""I wonder how many lives this guy saved cumulatively, how many packets were sold, how many"
00:01:47,00:01:51,"people smoked them, how many people didn't get addicted, because they were really quite,"
00:01:51,00:01:56,"it's not that cigarettes taste nice, but you know what I mean, these taste it even, not"
00:01:56,00:02:01,"people with different cigarettes, quite like the taste of it sometimes, but in this particular"
00:02:01,00:02:08,"case, I don't think they ever really caught on, they never caught fire, put it that way."
00:02:08,00:02:12,His idea was that you would get the physical and the psychological satisfaction that you
00:02:12,00:02:17,"would get from smoking, so you open the packet, you take off the little bit of plastic, you"
00:02:17,00:02:22,"take the cigarette out, you light it, you put it in your mouth, and then that kind of"
00:02:22,00:02:27,"is quite a lot of the stuff that people like, it's the habit. Yeah, definitely. But they"
00:02:27,00:02:32,"were not very popular. One researcher said that they were like smoking a potato, and another"
00:02:32,00:02:36,"said, ""If I had a choice of a punch in the head, or one of these cigarettes, I would take"
00:02:36,00:02:41,"a punch in the head."" What do we think to say about cabbage? It's like smoking a potato,"
00:02:41,00:02:45,"it's like, no, you've literally got the thing you can compare it to there. It's like smoking"
00:02:45,00:02:48,"a cabbage, actually. Well, lettuce. Yeah. Well, those supposed lettuce is more like"
00:02:48,00:02:53,cabbage than it is like potato. I think they probably resent being confused with it constantly.
00:02:53,00:02:59,"I would, if I were lettuce. Did you see why he chose lettuce? No. So this guy was working"
00:02:59,00:03:03,"for a cigarette company. Someone said, ""Why don't you come up with a new kind of cigarette"
00:03:03,00:03:07,"that people won't get addicted to?"" He said that he chose lettuce because it was the first"
00:03:07,00:03:12,thing he found in his fridge when he opened it. That's quite impulsive because the name
00:03:12,00:03:16,"bravo, that came up immediately as well, because he told his wife, who was Italian, about"
00:03:16,00:03:22,"the idea. She said, ""Oh, pussant, bravo, bravo!"" And he went, ""Yes!"" That's what we'll call"
00:03:22,00:03:26,"it. That could have all happened in one trip to the fridge, I'm guessing. He could have"
00:03:26,00:03:31,"invented a type of cigarettes that had eggs in them, and they were called, ""What a fucking"
00:03:31,00:03:39,"stupid idea!"" He did try a lot of different things, though. He filed a patent to turn any leafy"
00:03:39,00:03:43,"green into a cigarette, and it's mostly to do with drying the leaves and all of that."
00:03:43,00:03:48,"There is a leafy green that people do like to turn into cigarettes. Isn't that? No, no,"
00:03:48,00:03:54,handing them away with it. But he tried. He tried so many. He tried carrot tops. The leaves
00:03:54,00:03:59,"at the top of the carrot. Tomato tops. Can't get much out of that, I guess. He tried cabbage."
00:03:59,00:04:04,"He tried grape leaves, rode dendrons. Apparently most were awful and made him feel quite sick."
00:04:04,00:04:07,"Rode dendrons would make you feel really sick. They're poisonous, aren't they? Oh, yeah."
00:04:07,00:04:12,"They could make you, they're Romans. Are the Greeks made rode dendron honey, which would"
00:04:12,00:04:18,"make you go crazy? Yes, of course, mad honey. Yeah, right. Maybe it's a different bit, or maybe"
00:04:18,00:04:22,"no one ever tried enough of these to make it at all dangerous. I think so, brother's lost"
00:04:22,00:04:26,"until 2010. It's stunning. Yeah, so they went out business, actually. So they went out business"
00:04:26,00:04:32,"in the late '60s. There was like, this guy borrowed some money from a company called General"
00:04:32,00:04:37,"Nutrition, and there was quite a big acrimonious lawsuit because they said, ""Well, you always"
00:04:37,00:04:42,"saw this money, you've got to give it us back now,"" and he said, ""No way, I'll give it back when I can."""
00:04:42,00:04:46,"And I said, ""Well, we'll give us a patent, then."" And he said, ""No way."" And in the end,"
00:04:46,00:04:52,everything just closed down because they kind of got stuck. But then he relaunched them in 1997
00:04:52,00:04:59,using enzyme-treated lettuce. And it was these ones that carried on until the 21st century.
00:04:59,00:05:03,"Yeah, right. Carried on limping, presumably, into the 21st century."
00:05:03,00:05:09,"But his motives, I think, were really nice because he wasn't trying to become a multi-millionaire"
00:05:09,00:05:14,of his new cigarette empire. He wanted people to get off cigarettes and then stop smoking bravo
00:05:14,00:05:19,"as well. He had no interest in them because he wasn't quite sure if that had long-term effects,"
00:05:19,00:05:24,"you know, of inhaling lettuce that we don't get. No, that might come down the line."
00:05:24,00:05:28,"Well, I think that creates smoke. You're inhaling the bad, you know, things like tartar and stuff like that."
00:05:28,00:05:32,"So it's going to be bad for you. It's going to give you a cuff to start off with, but that's just"
00:05:32,00:05:36,"a tip of the iceberg. Oh, it took longer than I thought, actually. It's true."
00:05:36,00:05:44,"But it happened to still caught me by surprise. He lived till '99. So clearly, he was doing something"
00:05:44,00:05:53,"right. The age of or the year of? Yes. At age 36. Yeah, age of 2021, he made it too."
00:05:53,00:05:59,"Did he? Good. One other thing about him is I read a newspaper interview with him and they asked him,"
00:05:59,00:06:03,"you know, what is this like? And he said, oh, it tastes just as good as normal cigarettes."
00:06:03,00:06:07,"And to prove it, he broke one in half and ate it."
00:06:07,00:06:15,I love that. So they did recommend that you smoke an entire carton before you decide you don't
00:06:15,00:06:22,"like it. That was part of its publicity. So just give it a chance, give it 20 tons, 20 full bags."
00:06:22,00:06:27,"We should do that for our podcast, shouldn't we? Yes. Listen to 600 and 40 episodes before you stop,"
00:06:27,00:06:33,"guys. It doesn't get as good about 600. I mean, people say that about quitting smoking. I think"
00:06:33,00:06:37,"the most common advice I read online about people who have successfully quit smoking is them saying,"
00:06:37,00:06:42,just smoke as many cigarettes as you possibly can one after the other for hours and hours until
00:06:42,00:06:46,you regress it. And that seems to be the only way that reliably works because you feel so sick
00:06:46,00:06:50,and comfortable. Interesting advice. Yeah. But you won't go on forever. That's the thing.
00:06:50,00:06:54,You'll stop after a couple of hours. And I'm not necessarily advising this. Take it up with people
00:06:54,00:07:00,"have read it. Well, E cigarettes were invented slightly as a way to help people as a kind of"
00:07:00,00:07:04,"bridge off smoking. Obviously, it's now an enormous vaping industry, which might have some effects"
00:07:04,00:07:08,"that we don't know about yet. But, you know, certainly they seem to be not as bad viewers cigarette"
00:07:08,00:07:13,cigarettes. But the man who invented the modern E cigarette is a guy from China called Honlick.
00:07:13,00:07:19,And he invented it to quit smoking only to find that he was then both vaping and smoking at the
00:07:19,00:07:25,same time. I read an interview with him and he said he claimed that the only reason he smokes is so
00:07:25,00:07:31,"that he can taste the cigarettes and that when he's making new E cigarettes, he can compare and"
00:07:31,00:07:36,"contrast them. That's why he said. That's why he claims constantly having to test them, isn't he?"
00:07:36,00:07:42,Every day I would have checked. I forget what it tastes like. But I think there are a lot of people
00:07:42,00:07:46,"and not that happy with him because he sold the patent to like a big tobacco company, didn't he?"
00:07:46,00:07:52,Oh really? And the idea is that the big tobacco companies are quite happy with vaping because it
00:07:52,00:07:57,"keeps people still hooked. I'm kind of, I'm with him and I'm fine with that. I'm just putting my"
00:07:57,00:08:02,"cars on the table. Big tobacco companies have the infrastructure, don't they, to suddenly market"
00:08:02,00:08:06,and all the places they used to market before. Whatever gets people off smoking feels like a good thing.
00:08:06,00:08:11,Okay. That's just my opinion. And it's not as good. It's certainly more effective than the advice
00:08:11,00:08:17,"I kept reading, researching this when you type in online. Vegetables, cigarettes, quits, smoking,"
00:08:17,00:08:22,you get this constant AI advice saying it is a common method to try and quit smoking to replace
00:08:22,00:08:26,a cigarette with raw vegetables like carrots or cucumbers because it replaces the cigarette in
00:08:26,00:08:31,your hand and you can munch on them. And I just want to imagine suggesting to a real addict that
00:08:31,00:08:36,they try replacing their cigarette with a raw carrot. Yeah. I'm like 20 cucumbers a day at a moment.
00:08:36,00:08:43,"Bugs Bunny was actually, he was just desperately trying to quit. Can I tell you one, my favourite"
00:08:43,00:08:47,"method to quit smoking? Oh yeah. And you'll hate this because you're a shill for big tobacco,"
00:08:47,00:08:53,clearly. But this was an invention in 1972. It was patented by a guy called Lewis Topple.
00:08:53,00:08:58,"He patented not a kind of cigarette to help people stop smoking, but a cigarette case. But it had"
00:08:58,00:09:05,"a mini record player inside it. And whenever you move the case to open a cigarette, it plays the"
00:09:05,00:09:11,sound of someone coughing desperately. And it's to remind you that these are really bad for you.
00:09:11,00:09:15,Wow. I don't think you ever produced it. You had the idea and patented it.
00:09:15,00:09:17,It's the audio version of the pictures you need to get on cigarettes.
00:09:17,00:09:21,"It feels like someone definitely saw that and went, do you know what might be easier than this?"
00:09:21,00:09:27,"Might be. Topple. Is as if we drew something. And then when you opened the case, did like a load"
00:09:27,00:09:38,of horrible flammissol. It's like that 40s cinema experience. Yeah. I found there's been some
00:09:38,00:09:43,very creative methods to get people to quit smoking. This is a nice one that was developed by a
00:09:43,00:09:50,"Turkish man called Ibrahim Yusel, which is every day he would wake up and put a big cage around his head,"
00:09:50,00:09:56,lock it up and give the keys to his wife and daughter. So he was only ever allowed the
00:09:56,00:10:02,cageless head at meals when they would unlock the cage and he would sit there under their supervision.
00:10:02,00:10:06,"And then once the meal was done, they put this big cage back over his head and that was his day."
00:10:06,00:10:09,"It's the cage. It kind of looks like an astronaut's helmet, but it's a"
00:10:09,00:10:15,wiring cage so you can see like a like a cage in fact. What about those like really long cigarette
00:10:15,00:10:22,holders? Yeah. Flappers would have in the 20s. You think you could insert it between the bars? Yeah. Yeah. That's a really good idea.
00:10:22,00:10:27,"That's a good term and mind. It's possible to get out. Yeah. Oh, that's great. Yeah."
00:10:27,00:10:31,I don't know. I think his wife and daughter left him and the only consolation is that he formed the
00:10:31,00:10:38,banddorf punk. And so at least made something out of it. All right. Have an ad campaign. Yep.
00:10:38,00:10:44,Just stop people smoking. Have you heard about Nick O'teen? Nick O'teen. I feel like I have heard of him. Was it in Britain?
00:10:44,00:10:53,"Yeah, it was. Yeah. This campaign in the 1980s, maybe? In 1980s. It was Nick O'teen was the arch enemy"
00:10:53,00:11:00,of Superman and there was a campaign to stop children getting into smoking. Yeah. Saying Nick O'teen
00:11:00,00:11:05,"is trying to recruit children to his army of smokers. Uncle what this army is going to do. Well,"
00:11:05,00:11:12,"they make that for a while, but they're going to need quite a lot of breaks up. Basically,"
00:11:12,00:11:17,that children want to sign an anti-smoking pledge and you get some badges and you get some poster and
00:11:17,00:11:20,"that kind of stuff. I wouldn't be surprised if I did that. That's also, well, you might have been one of"
00:11:20,00:11:26,"the 800,000 children in Britain who requested one of these packs. Yeah. It's quite impressive. No."
00:11:26,00:11:30,"I don't think it affected smoking rates long run though. Unfortunately. No, because every single child"
00:11:30,00:11:35,"age 10 says smoking is disgusting. I hate that my parents do it. I'll never do it. And age 14, they're"
00:11:35,00:11:43,smoking. Sadly. I think that's quite true anymore. That's own smoking is much less common than it used to
00:11:43,00:11:50,"be. Oh, I wonder if that's a legacy of Nick O'teen. It's a long thing. And it explains why does"
00:11:50,00:11:54,Superman not smoke? You can get this. This is gettable. Because this is how the campaign explained
00:11:54,00:11:59,"why Superman would never touch cigarette. He has super breath. So if he breathes in really quick,"
00:11:59,00:12:06,"the cigarette will fire through his skull backwards. No, it's boring playing these games with James. He"
00:12:06,00:12:11,"always just gets it right. No, there is a famous thing you can't do. You can't smoke when you're"
00:12:11,00:12:18,"flying, famously. This was the 80s. You could do anything while flying. No, there's a thing. What a"
00:12:18,00:12:25,Superman got that would deter him from smoking. Lois Lane didn't like it. The idea to get changed
00:12:25,00:12:32,really quickly. He needs both hands for that. He's got underpants on the outside of his. A dog? A dog
00:12:32,00:12:39,"is a dog. One of his powers. No, I was saying that as you said that. He can fly. He can fly. He can see"
00:12:39,00:12:48,"through things. Thank you. Oh, that's either a lung. He can see the adverts, the lungs. That's the"
00:12:48,00:12:54,longest minute of my life. And he's got super hearing. So presumably when he opens up his vinyl
00:12:54,00:13:06,"cigarette case, it's blasting into him. Okay, there's time for fact number two and that is Andy. My"
00:13:06,00:13:16,fact is that the longest traffic jam in history lasted eight years. That's a biggie. How much longer
00:13:16,00:13:24,than the second place traffic jam? I think about seven years. Seven and a half years. I've known traffic
00:13:24,00:13:31,jam so bad where people just get out of their cars and then go home and then come back a few days
00:13:31,00:13:35,later and have to pick up their cars. And that makes a traffic jam worse. So is that what happened here?
00:13:35,00:13:41,It's about something that happened in 1967. There was a very brief but very lively war between
00:13:41,00:13:48,"Israel and Egypt called the Six Day War. And when the war broke out, Egypt's first move was to close off"
00:13:48,00:13:54,the Suez Canal. So running tops of one from the med to the red. That's how you can remember where
00:13:54,00:13:59,the Suez Canal is. It goes from the Mediterranean to the Red Sea. And it's a canal. And there's a bit
00:13:59,00:14:04,"in the Suez Canal, which is called the Great Bitter Lake, which is basically like you know when"
00:14:04,00:14:08,you're driving along a very narrow country road and there's one of those passing places. It's like
00:14:08,00:14:13,that but it's a hundred square miles. And then basically so the war broke out and all the ships that
00:14:13,00:14:20,were sailing are halfway through. They got stuck in the Great Bitter Lake about I think it's 14 or 15
00:14:20,00:14:25,ships. And there were like hundreds of thousands of explosive devices in the water and there were
00:14:25,00:14:30,bits of bridge and there were sunken ships like there was no way through. So these ships were just
00:14:30,00:14:38,"stuck there for weeks, months, and then eventually eight years. And it was only after another"
00:14:38,00:14:46,war in 1975 and a load of demining and all of this and you know like peace breaking out that
00:14:46,00:14:50,finally they got to go home. By the time they got out only two of them could actually sail anymore.
00:14:50,00:14:55,All the rest had to be just tugged to be broken up for scrap and things. Please let's not advertise
00:14:55,00:15:01,that it takes another war to reopen an endlessly close straight. I'm sure there are other methods.
00:15:01,00:15:05,It's the second bomb come ahead. That's it restores your memory to you. I just imagine the meetings.
00:15:05,00:15:15,It's like have we tried another war guys. It feels like the mood really took some peaks and troughs
00:15:15,00:15:20,didn't it along the way because all these crews just trapped there. And the first month it was
00:15:20,00:15:24,described as a little bit like a holiday. Suddenly these people are you know you don't have to get to
00:15:24,00:15:29,work anymore. You're stuck. And then the second month it was really really bad. The third month was
00:15:29,00:15:33,terrible. And then all the crews of the ships I think kind of started getting together and they
00:15:33,00:15:38,realized that with teamwork they could do things like create their own social events. Have card games
00:15:38,00:15:43,together. Have their own mini Olympics. It's really cool. It was eight different nations as well.
00:15:43,00:15:48,"These boats. It's not like it was one fleet. You had the UK. You had West Germany, Sweden, France,"
00:15:48,00:15:54,"the United States, Poland, Bulgaria. There was more. And they became the great bit of lake association."
00:15:54,00:15:58,They had a swimming pool on one of the boats that they'd go and do races on there. It sounds
00:15:58,00:16:03,"terrible. And the idea is that all these boats were carrying different cargo. And so they were like,"
00:16:03,00:16:08,"okay, we're hungry. Which of the ships got the sandwiches. And they're like, okay, well we'll give"
00:16:08,00:16:13,"you some of our sandwiches and you can have some of our pula hoops. And then the other ones like,"
00:16:13,00:16:17,"well, we've got some orange collier here. And then between them they could all have everything they"
00:16:17,00:16:21,need. And one of the ships had a refrigerated bit because it was transporting food. It was transporting
00:16:21,00:16:29,"300 tons of pears and 8 million eggs. Right. You don't want to be devouring them on the eighth year, do you?"
00:16:29,00:16:35,"Just check that out. It's fine. It's fine. No one's not being a fuss, but no, one of the sailors"
00:16:35,00:16:40,"said after a few weeks, I can't bear to see another pair. I think they'd just date pears for several weeks."
00:16:40,00:16:46,Oh my god. We've run out of cigarettes. It's okay. West Germany's got 20 tons of lettuce.
00:16:47,00:16:52,"It's like the outbreak of civilization in a way, isn't it? Is it? Barter economy, like they've"
00:16:52,00:16:57,developed their own stamps and they developed their own postal system and all this. These stamps
00:16:57,00:17:02,"were drawn by this, by the crew. So cool. And they were used as legit stamps as if they were"
00:17:02,00:17:09,"from a country, which is really cool. I went on eBay and there were some stamps from the collection"
00:17:09,00:17:15,of one of the guys who was on the boat. How much? 30 quid a stamp. I couldn't tell if it was a
00:17:15,00:17:19,"collection of four or a singular stamp. What you'll find out when they arrive? Yeah, exactly."
00:17:19,00:17:24,"So they sent letters out with the stamps on. Did the envelopes contain letters saying,"
00:17:24,00:17:29,""" also please get us the fuck out of it."" So they started rotating after the first difficult"
00:17:29,00:17:33,bit where they were all stuck. It wasn't like the same crews were eight years old at the end.
00:17:33,00:17:37,They were able to circulate in and out. So you'd go and do like however many months on board
00:17:37,00:17:41,ship and then thankfully you'd get a break. And then slowly there will be fewer and fewer people
00:17:41,00:17:46,because they realised actually we don't need the guy who looks after the eggs anymore because they're
00:17:46,00:17:50,just going to go and like there was many hundreds of people to start. Oh there was hundreds of people
00:17:50,00:17:55,to start off with and by the end there was like a few dozen people. Yeah. I mean why do you need
00:17:55,00:18:00,people to be there in large numbers? After a while when it becomes apparent that the ship is
00:18:00,00:18:03,going to fall apart? Is it in the hope that you'll be able to maintain the ship? There's some
00:18:03,00:18:08,maintenance because it is a hostile environment with all the sand and all of that. Definitely
00:18:08,00:18:14,guarding as well because people strip those ships. I remember I read about this when that big ship
00:18:14,00:18:20,got lodged in the Suez Canal a few years ago. The ever given was it cool? Such a bad name for a ship.
00:18:20,00:18:25,"So when that happened basically all the historians went, ""Oh this has happened before guys."
00:18:25,00:18:30,"We could do our little thing."" Yes maybe that's when I read about it yeah. I'm sure that's when I did."
00:18:30,00:18:36,But I was reading back about the ever given 10% of the world's trade was blocked and God never
00:18:36,00:18:42,happened together with any straits in the Middle East and people went onto the internet because you
00:18:42,00:18:46,know you can follow all the ships like you can do it with airplanes as well and see where all the
00:18:46,00:18:50,different ones are going in the world. Well they followed they looked at where the ship had been
00:18:50,00:18:57,and the week before it had gotten stuck it had drawn the image of a penis in the Red Sea.
00:18:57,00:19:02,Amazing. Like it had done a few sort of like turns back and forward to kind of work out which
00:19:02,00:19:08,way it was going to go. It wasn't deliberate. It wasn't deliberate. A lot of people thought well
00:19:08,00:19:13,these guys are taking the mickey. They draw a penis then they deliberately get stuck.
00:19:13,00:19:19,I am always upset on behalf of pilots who draw penises in the sky sometimes on training exercises
00:19:19,00:19:23,that they always get in real trouble. There's a real sense of humour failing I think in the RAF
00:19:23,00:19:28,and the Navy. I think unless you're actually firing smoke out of the back of your air plane to make
00:19:28,00:19:33,an actual penis in the sky. You should be the last to do what you want. Do you know when the Suez
00:19:33,00:19:43,"Canal was built? Approximately. Early 20th century? Yeah, you're close. I would say. Seventh"
00:19:43,00:19:50,century BC. Okay. Okay. So this is the Canal of the Pharaohs also called the ancient Suez Canal
00:19:50,00:19:56,and it was we're not sure exactly when it was first cut but it was probably by Necho the second
00:19:56,00:20:05,around 600 BC and then it was redug or maybe completed by Darius the Great in around 500 BC.
00:20:05,00:20:10,All the way. It went all the way so you could that was navigable by small boats obviously.
00:20:10,00:20:14,The Suez Canal could send big tankers through because one was just like little boats. That's amazing.
00:20:14,00:20:22,1869 the actual big Suez Canal. Yeah. And it was built mostly by the French who were having a
00:20:22,00:20:28,lot of time in North Africa around then and the idea was this is quite a famous story again but
00:20:28,00:20:33,everyone was ready to go through. It was this opening of the Suez Canal. Someone was going to cut
00:20:33,00:20:37,the ribbon and all the ships were going to go through but because it's a canal you can only really
00:20:37,00:20:44,get one ship at a time. So there's a French yacht called Legel which means the eagle which is right
00:20:44,00:20:50,at the front and at dawn that's going to go but at the same time there was a British commander George
00:20:50,00:20:56,Nez who was in command of HMS Newport who wasn't very happy about being at the back of the queue.
00:20:56,00:21:01,"So when it went dark at night he kind of sneaked his boat right down to the front,"
00:21:01,00:21:07,"put it in front of this French yacht and then everyone was like ""sacrableur! What is that gonna happen"
