start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[music]
00:00:13,00:00:16,Hello and welcome to another episode of Little Fish.
00:00:16,00:00:19,"My name is James Harkin, I am joined by Daniel Schreiber."
00:00:19,00:00:24,"Hello, Andrew Hunter Murray, and we are here with a whole load of your facts."
00:00:24,00:00:29,You've been sending them in to podcast@QI.com and he has whittled them down to the
00:00:29,00:00:30,"very, very best."
00:00:30,00:00:34,We're going to choose the ones to read out and then we're going to chat about them.
00:00:34,00:00:35,Then we'll do some more stuff at the end.
00:00:35,00:00:37,Then we'll all go home.
00:00:37,00:00:39,You guys are probably already at home.
00:00:39,00:00:40,Never mind.
00:00:40,00:00:41,Let's go.
00:00:41,00:00:42,He's got a fact.
00:00:42,00:00:43,I've got one.
00:00:43,00:00:44,Go for it.
00:00:44,00:00:45,All right.
00:00:45,00:00:52,"This one comes in from Furgle Finley and Furgle says, ""My fact is that sliced bread was invented"
00:00:52,00:00:59,"on the 7th of July, 1928, whereas National Treasure David Attenborough was born on the 8th"
00:00:59,00:01:01,of May 1926.
00:01:01,00:01:07,"Therefore sliced bread is, in fact, the best thing since David Attenborough."""
00:01:07,00:01:10,And we're off the blocks.
00:01:10,00:01:14,So that's a very small window of David Attenborough being the best thing.
00:01:14,00:01:15,Yeah.
00:01:15,00:01:16,"And he was only a baby at the time, actually."
00:01:16,00:01:18,And really achieved too much at that point.
00:01:18,00:01:19,At that point.
00:01:19,00:01:20,That's all.
00:01:20,00:01:21,Yeah.
00:01:21,00:01:24,He probably crawled around sort of pointing at his pet tortoise.
00:01:24,00:01:26,He will.
00:01:26,00:01:29,Just a nice fact about sliced bread and David Attenborough being about the same age.
00:01:29,00:01:30,Yeah.
00:01:30,00:01:32,I think it's always surprising how new sliced bread is.
00:01:32,00:01:33,Yeah.
00:01:33,00:01:38,And the famous fact is that it was advertised as the best thing since it's wrapped bread.
00:01:38,00:01:39,Yes.
00:01:39,00:01:40,That's so good.
00:01:40,00:01:42,"And the idea being that you would slice your own bread, obviously."
00:01:42,00:01:45,But wrap bread was good because it would keep it fresh.
00:01:45,00:01:46,And it would take softer.
00:01:46,00:01:47,And it would say softer.
00:01:47,00:01:51,You wouldn't want to have sliced bread before that because it would just go stale really
00:01:51,00:01:52,quickly.
00:01:52,00:01:55,"So once wrap bread came in, then you could start slicing it."
00:01:55,00:01:56,There was no point having it before then.
00:01:56,00:01:59,"And thankfully, no one has ever sliced David Attenborough."
00:01:59,00:02:00,At time of recording.
00:02:00,00:02:01,That's recording.
00:02:01,00:02:02,Very nice.
00:02:02,00:02:06,I've got one here from David Byrne.
00:02:06,00:02:09,Now I'm hoping this is David Byrne leasing her the talking heads.
00:02:09,00:02:10,Maybe.
00:02:10,00:02:13,"I mean, he would listen to something like this to be fair."
00:02:13,00:02:14,Yeah.
00:02:14,00:02:15,He's a real nerd.
00:02:15,00:02:16,Is he?
00:02:16,00:02:17,"Oh, he's wonderful."
00:02:17,00:02:18,Wow.
00:02:18,00:02:19,Yeah.
00:02:19,00:02:22,"But other David, who this might be, I'm sure you're all some too."
00:02:22,00:02:24,So David's had been talking.
00:02:24,00:02:26,It's been saying.
00:02:26,00:02:35,"He says, my fact is for the original predator film, the studio had to hire a bodyguard to follow"
00:02:35,00:02:40,sunny land around to protect other people from sunny as he'd been getting into too many fights
00:02:40,00:02:41,on the set.
00:02:41,00:02:42,"Oh, who does he play?"
00:02:42,00:02:45,"Is he like one of the, he's one of the main judges."
00:02:45,00:02:46,Yeah.
00:02:46,00:02:47,He's one of the main guys.
00:02:47,00:02:48,So you've got Arnold Schwarzenegger.
00:02:48,00:02:49,You've got Jesse Jackson.
00:02:49,00:02:52,"Well, he didn't play the predator."
00:02:52,00:02:53,"No, he didn't."
00:02:53,00:02:54,Jesse Jackson.
00:02:54,00:02:55,"Sorry, guys."
00:02:55,00:02:57,"No, he's here."
00:02:57,00:03:00,"Yeah, he had Jesse Jackson."
00:03:00,00:03:01,Wow.
00:03:01,00:03:03,"MLK has a cameo, doesn't he?"
00:03:03,00:03:04,He does.
00:03:04,00:03:09,"And playing the role of predator in the suit, Mother Teresa, so it's a real, it's a real"
00:03:09,00:03:10,hell of a cast.
00:03:10,00:03:12,"No, Jesse Ventura is who I meant to say."
00:03:12,00:03:13,Okay.
00:03:13,00:03:20,"What's interesting is that this guy, Sonny, he actually ran for governor in Kentucky and"
00:03:20,00:03:24,"had he got that, he would have been the third cast member who made it into politics as"
00:03:24,00:03:25,a governor in America.
00:03:25,00:03:29,"Oh, because Schwarzenegger did and Jesse Ventura did as well."
00:03:29,00:03:30,Yeah.
00:03:30,00:03:32,"So he didn't, he didn't make it, unfortunately."
00:03:32,00:03:34,And he was just very fighting and aggressive.
00:03:34,00:03:38,He was very aggressive and he was a big guy and he was totally fine on the set.
00:03:38,00:03:43,"It turned out it wasn't needed, but the studio for insurance purposes thought we'd better"
00:03:43,00:03:48,protect this guy from killing everyone else in set.
00:03:48,00:03:52,What's interesting as well is someone famous was meant to be the predator.
00:03:52,00:03:56,"So if you don't know this movie, it was like an 80s action film, Arnold Schwarzenegger and"
00:03:56,00:04:01,"there was this monster, it looks a bit like alien, but it's kind of mostly invisible."
00:04:01,00:04:02,Yeah.
00:04:02,00:04:03,Yes.
00:04:03,00:04:05,It was always a bit of a problem for the film that the baddie is mostly not.
00:04:05,00:04:08,But then he kind of comes visible sometimes.
00:04:08,00:04:09,Yeah.
00:04:09,00:04:10,Yes.
00:04:10,00:04:11,Yeah.
00:04:11,00:04:12,He can tell it on and off.
00:04:12,00:04:13,"And they use, I think, infrared to see him."
00:04:13,00:04:15,"The body, or is that how he saw that?"
00:04:15,00:04:19,"No, he sees that, because they get in the mud and they get really cold and he can't"
00:04:19,00:04:20,see them anymore.
00:04:20,00:04:21,That's right.
00:04:21,00:04:23,It's right at the ending.
00:04:23,00:04:24,That's when Arnie's the only one left.
00:04:24,00:04:25,Yeah.
00:04:25,00:04:26,Right.
00:04:26,00:04:27,"So the original person, though, who was inside the predator suit, that you do get to see"
00:04:27,00:04:30,"at some point, was John Claude Van Damne."
00:04:30,00:04:31,No.
00:04:31,00:04:32,Yeah.
00:04:32,00:04:33,Was it?
00:04:33,00:04:34,Yeah.
00:04:34,00:04:35,And he got fired from the set.
00:04:35,00:04:37,And there's a lot of reasons that that might have happened.
00:04:37,00:04:42,"Well, he had an argument on set with Rosa Parks, I believe, who was picking one of the other"
00:04:42,00:04:43,Marines.
00:04:43,00:04:44,Yeah.
00:04:44,00:04:47,Get to the bus.
00:04:47,00:04:48,That's from that film.
