start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,"- Hey everyone, welcome to another episode of Little Fish."
00:00:16,00:00:18,This is the bonus Monday episode
00:00:18,00:00:20,where we put down our favorite facts
00:00:20,00:00:23,from the last seven days and we go through all of yours.
00:00:23,00:00:25,We get to sit back and enjoy them.
00:00:25,00:00:26,Thank you for sending them in.
00:00:26,00:00:27,My name is Dan Schreiber.
00:00:27,00:00:29,I'm sitting here with Andrew Hunter Murray
00:00:29,00:00:30,and James Harkin.
00:00:30,00:00:32,We've got a great batch this week.
00:00:32,00:00:33,So why don't we get straight into it?
00:00:33,00:00:34,Who wants to go first?
00:00:34,00:00:35,- I will.
00:00:35,00:00:37,I've got one here from Sort.
00:00:37,00:00:40,"And it is about the FIFA World Cup,"
00:00:40,00:00:43,which is now all over.
00:00:43,00:00:45,But I think we might have a few sort of stragglers
00:00:45,00:00:47,in the FIFA World Cup facts.
00:00:47,00:00:48,- This is to wean people off
00:00:48,00:00:50,your excitement of what we've gone through.
00:00:50,00:00:53,- Just to give people a bit of inside knowledge.
00:00:53,00:00:55,"When you email in, if it's a good fact"
00:00:55,00:00:57,"and it's going to be in Little Fish, hopefully,"
00:00:57,00:00:59,that will be in about eight weeks' time.
00:00:59,00:01:01,"Actually, this is about the FIFA World Cup 2002."
00:01:01,00:01:04,So it must be that's when they sent it.
00:01:04,00:01:07,"Now, actually, it's about all of the World Cups,"
00:01:07,00:01:09,"I would say, certainly the more recent ones."
00:01:09,00:01:12,And it is about the hometown of this person
00:01:12,00:01:15,called CLCOT in Pakistan.
00:01:15,00:01:19,And CLCOT manufactures all the balls used in the World Cup.
00:01:19,00:01:22,So Pakistan is always represented at the tournament
00:01:22,00:01:26,even though the men's team is ranked 198th in the world.
00:01:26,00:01:27,- Oh.
00:01:27,00:01:32,- And CLCOT also manufactures the most bagpipes in the world
00:01:32,00:01:34,outside of the United Kingdom.
00:01:34,00:01:36,So it's all pipes and pipes and balls.
00:01:36,00:01:38,- Lethery containers.
00:01:38,00:01:39,"- I guess they are, yeah."
00:01:39,00:01:43,"- You could, in extremists, use a squished football"
00:01:43,00:01:46,to be the bag for a bagpipe.
00:01:46,00:01:46,You know what I mean?
00:01:46,00:01:48,"Like Jam, do a sort of trakiotomy on it."
00:01:48,00:01:49,Jam in the pipes.
00:01:49,00:01:50,- Very true.
00:01:50,00:01:51,- That would be exciting.
00:01:51,00:01:52,- Bice versa.
00:01:52,00:01:52,- Absolutely.
00:01:52,00:01:54,It's Scotland's first ever World Cup final.
00:01:54,00:01:57,"But oh no, there's been a mix up with the delivery"
00:01:57,00:01:58,from Pakistan.
00:01:58,00:02:00,So you're going to have to play with the bagpipe.
00:02:00,00:02:01,"Guys, yes."
00:02:01,00:02:03,"- No, I like, you know, it's a really good concept."
00:02:03,00:02:06,But I think you have to suspend belief a little bit
00:02:06,00:02:08,for Scotland getting to the final World Cup.
00:02:08,00:02:09,(laughing)
00:02:09,00:02:11,"- Sorry, Scotland."
00:02:11,00:02:15,"So yeah, this place, the industry began in 1889"
00:02:15,00:02:16,in this Pakistani town.
00:02:16,00:02:19,When a British sergeant asked a local saddlemaker
00:02:19,00:02:21,to repair a damaged football.
00:02:21,00:02:24,It's kind of been an industrial town for a long time
00:02:24,00:02:25,"and they just have really good artisans,"
00:02:25,00:02:27,really good sewers and stuff.
00:02:27,00:02:29,And because handsome balls are way better
00:02:29,00:02:30,than machine sewn ones.
00:02:30,00:02:31,- Are they?
00:02:31,00:02:32,- Yeah.
00:02:32,00:02:33,"- Okay, Andy, if you go on."
00:02:33,00:02:35,"- Yes, this is a fantastic one."
00:02:35,00:02:36,"Okay, so it's from Elise Liu."
00:02:36,00:02:41,And I'm going to give it to you in the form of a riddle.
00:02:41,00:02:43,- Okay. - Okay.
00:02:43,00:02:45,- So I'm standing on black-fronted bridge
00:02:45,00:02:46,overlooking the river Thames.
00:02:46,00:02:47,- Yes.
00:02:47,00:02:48,- And I'm in London.
00:02:48,00:02:49,- Okay.
00:02:49,00:02:52,- What country am I in?
00:02:52,00:02:53,- Oh.
00:02:53,00:02:55,"- The United Kingdom of Great Britain,"
00:02:55,00:02:55,Northern Ireland.
00:02:55,00:02:56,(burps)
00:02:56,00:02:59,- You're in those places that rebuild the world
00:02:59,00:03:01,in a small little town.
00:03:01,00:03:04,"- Are you in London, Manitoba or wherever it is?"
00:03:04,00:03:06,- Ontario. - Ontario.
00:03:06,00:03:10,- London Ontario is a town of about half a million people
00:03:10,00:03:11,between Toronto and Detroit
