start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:05,(speaking in foreign language)
00:00:05,00:00:08,(upbeat music)
00:00:08,00:00:14,- Hello and welcome to another episode
00:00:14,00:00:17,"of ""No Such Thing as a Fish,"" a weekly podcast"
00:00:17,00:00:19,this week coming to you live
00:00:19,00:00:21,from the Royal Institution in London.
00:00:21,00:00:24,(audience cheering)
00:00:24,00:00:28,My name is Dan Schreiber.
00:00:28,00:00:30,"I am sitting here with Anna Toshinsky,"
00:00:30,00:00:32,"Andrew Hunter Murray, and James Harkin."
00:00:32,00:00:35,"And once again, we have gathered around the microphones"
00:00:35,00:00:37,with our four favorite facts from the last seven days
00:00:37,00:00:41,"and in a particular order, here we go."
00:00:41,00:00:44,"Starting with fact number one, and that is Andy."
00:00:44,00:00:48,"- Myfactiz, the first ever megawatt scale wind turbine"
00:00:48,00:00:52,was erected at a Vermont mountain called Grandpas Nob.
00:00:52,00:00:54,(audience laughing)
00:00:54,00:00:57,"- Okay, so this is wind turbine"
00:00:57,00:00:59,"and it's a megawatt scale, you know,"
00:00:59,00:01:01,it could generate a megawatt of electricity at any one time.
00:01:01,00:01:03,That was the capacity.
00:01:03,00:01:08,"We're in 1941, October 1941, just before Pearl Harbor,"
00:01:08,00:01:09,coincidence.
00:01:09,00:01:10,- So America had nothing to do at that time again.
00:01:10,00:01:12,"- I know, it was easy breezy times,"
00:01:12,00:01:15,"but no, that's just a setting the scene for you."
00:01:15,00:01:17,"And there was a guy called Palmer Putnam,"
00:01:17,00:01:19,who was both a sailor and an engineer.
00:01:19,00:01:22,He lived a very near Grandpas Nob.
00:01:22,00:01:26,"He kept cod, and he had two problems."
00:01:26,00:01:28,"One was constantly windy,"
00:01:28,00:01:30,"just constantly the wind blowing in off the Atlantic,"
00:01:30,00:01:33,"just constantly, his electricity bills were too high."
00:01:33,00:01:35,"And he thought, I wonder if I could combine"
00:01:35,00:01:37,these problems into one solution.
00:01:37,00:01:39,"And he had a bit of expertise in the field,"
00:01:39,00:01:41,and he built this wind turbine.
00:01:41,00:01:44,"It lasted about, not very long, sadly, about two years,"
00:01:44,00:01:46,but it was groundbreaking because there had been turbines
00:01:46,00:01:48,"before they could generate electricity,"
00:01:48,00:01:50,"but this was the biggest that had ever been built,"
00:01:50,00:01:53,"you know, megawatt is sort of a symbolic threshold,"
00:01:53,00:01:54,"I guess, to get over."
00:01:54,00:01:57,"- Yeah, only lasted two years because it got blown over."
00:01:57,00:01:58,- Yes.
00:01:58,00:01:59,- Did it.
00:01:59,00:02:01,"- Which I think is sometimes a problem with wind turbines,"
00:02:01,00:02:01,isn't it?
00:02:01,00:02:02,"- Occasionally, yeah."
00:02:02,00:02:04,You do need to build them to withstand that.
00:02:04,00:02:07,"- I know in Denmark, if it gets too windy, they turn off."
00:02:07,00:02:08,- That's true.
00:02:08,00:02:10,"That kind of, yeah, if it's sort of very stormy conditions."
00:02:10,00:02:13,"- But this guy was like, he was really famous in his time,"
00:02:13,00:02:14,wasn't he?
00:02:14,00:02:18,"I read that he went to, he did a lecture at NASA"
00:02:18,00:02:20,"about wind power, and then he signed autographs"
00:02:20,00:02:22,for 45 minutes afterwards.
00:02:22,00:02:23,- Really?
00:02:23,00:02:25,- That's because they all thought he was going to be like
00:02:25,00:02:27,"the Edison of wind power, and they thought wind power"
00:02:27,00:02:29,"is going to be the next big thing, so we're going to get"
