start_hhmmss,end_hhmmss,text
00:00:00,00:00:16,Hey everyone and welcome to another episode of Let's All Fish.
00:00:16,00:00:21,"This is the podcast from the makers of No Switch Things A Fish, where we put down our"
00:00:21,00:00:28,facts and we look at the incredible facts that you guys have been sending to podcast@QI.com.
00:00:28,00:00:34,"I am sat here in an undisclosed location, no, not only to me and my family because it's"
00:00:34,00:00:41,my house and Dan Schreiber is in his house and Anna Toshiski is in her house and we will
00:00:41,00:00:42,be talking facts.
00:00:42,00:00:46,So which of you would like to go first with an amazing audience fact?
00:00:46,00:00:54,"I've got a good one from a well-named chap called Benjamin Snitkoff, and I know really"
00:00:54,00:00:59,"strong, and he says I'm reading a terrific book called Gesture, which does it like a really"
00:00:59,00:01:05,"good book actually, by Lauren Gorn, and he came across this fact that the cadang people"
00:01:05,00:01:13,"of Indonesia have a prohibition on pointing at rainbows, Ursa Major and small young pumpkins."
00:01:13,00:01:19,"I know they connected for the same reason, did the three of them have like a night out,"
00:01:19,00:01:24,"the pumpkins, the rainbows, Ursa Minor, and they're just banished."
00:01:24,00:01:28,"God, I'd love to see what that night out would look like, but I do not know, it does seem"
00:01:28,00:01:31,"pretty arbitrary, like you're getting to the end of the rulebook and you've got pages"
00:01:31,00:01:32,to fill.
00:01:32,00:01:35,I've heard of people not pints in a rainbows before actually.
00:01:35,00:01:39,"I think that one might be, I mean none of these are particularly common, but I think that"
00:01:39,00:01:41,one's a little bit more common than the other.
00:01:41,00:01:42,Okay.
00:01:42,00:01:43,Okay.
00:01:43,00:01:44,I can sort of see that.
00:01:44,00:01:46,"If you, you know, they've got a magical quality to them."
00:01:46,00:01:49,"Are you allowed to acknowledge them? Are you allowed to be like, ""Psss, hey, go."""
00:01:49,00:01:52,I think as long as you do whisper like that.
00:01:52,00:01:53,"Yeah, right."
00:01:53,00:01:55,And they're high behind a bush immediately.
00:01:55,00:01:57,It's a nice rainbows.
00:01:57,00:02:00,"I looked them up in their main prohibition, seems to be about weaving."
00:02:00,00:02:02,That's the main thing that always comes up is that they're not allowed to make their own
00:02:02,00:02:05,"clothes, which sounds like it was just really inconvenient back in the day."
00:02:05,00:02:09,So you just always have to buy clothes from a different tribe.
00:02:09,00:02:12,"Promotes social life, if you get to meet others, you know."
00:02:12,00:02:17,"Do you know what, Dan? You have hit the nail on the head of why people say that they used"
00:02:17,00:02:18,to do it.
00:02:18,00:02:19,There you go.
00:02:19,00:02:24,"Part of like agreements, you know, back and forth agreements with other trading groups,"
00:02:24,00:02:25,other people.
00:02:25,00:02:30,"So you should be an anthropologist, because I just thought, ""What a stupid ban."""
00:02:30,00:02:34,But what happens when they go to market and they're trying to buy some clothes and then
00:02:34,00:02:38,the person they're buying them off points at a small baby pumpkin?
00:02:38,00:02:42,"And then they get to a huge argument and then you, that's how war start, isn't it?"
00:02:42,00:02:43,"Yeah, right."
00:02:43,00:02:44,Yeah.
00:02:44,00:02:45,Yeah.
00:02:45,00:02:46,That's great.
00:02:46,00:02:52,"I got one here from Christopher McKay, who says, ""Four moose were brought to Newfoundland"
00:02:52,00:03:00,"from Miramushi, New Bronzwick, in 1904, 45 years before Newfoundland joined Confederation."
00:03:00,00:03:08,"Today, there's roughly 125,000 moose, one for every four Newfoundlanders."""
00:03:08,00:03:09,Cool.
00:03:09,00:03:10,Cool.
00:03:10,00:03:17,"And I've been given a handy pronunciation guide by Christopher, who says Newfoundland is"
00:03:17,00:03:20,"Newfoundland, not Newfoundland."
00:03:20,00:03:22,I thought it was Newfoundland.
00:03:22,00:03:23,Yeah.
00:03:23,00:03:24,"Well, my goodness."
00:03:24,00:03:26,This is a hot potato.
00:03:26,00:03:34,"This is a young pumpkin being pointed out, because it doesn't seem to have a consensus amongst"
00:03:34,00:03:35,anyone.
00:03:35,00:03:43,"Currently, Christopher says, ""As non-Atlantic Canadians, I want to say about Newfoundland."""
00:03:43,00:03:51,"But I found a story where it got so chaotic that in 1876, a man was shot dead over his pronunciation"
00:03:51,00:03:52,of Newfoundland.
00:03:52,00:03:53,"Oh, my God."
00:03:53,00:03:55,How does he pronounce it?
00:03:55,00:04:01,We don't know which of the two who got in the fight was pronouncing it either way.
00:04:01,00:04:07,"But it was either Newfoundland or Newfoundland, the pronunciation was onfoundland at the time."
00:04:07,00:04:12,"And so it says, ""Millworkers in the frontier town of Larksburg, Colorado saw two men enter"
00:04:12,00:04:14,a cabin in search of a dictionary.
00:04:14,00:04:17,"Seconds later, they heard a gunshot."""
00:04:17,00:04:20,"And so it was Millworker, William Atchison."
00:04:20,00:04:26,"He first off threw a punch at John P. Davis, John P. Davis, then pulled out a gun and shot"
00:04:26,00:04:27,him in the stomach.
00:04:27,00:04:28,And he died.
00:04:28,00:04:31,And how do we know what happened there?
00:04:31,00:04:32,"Because they've gone into the house, right?"
00:04:32,00:04:37,We only have the say so of the person who came out.
00:04:37,00:04:38,Yes.
00:04:38,00:04:41,"And not even quite that James for a very long time, because John P. Davis, who came out immediately"
00:04:41,00:04:45,"went on the run, just immediately fled town."
00:04:45,00:04:52,"And no one heard from him for years and years and years until 1912, when he was on his deathbed,"
00:04:52,00:04:57,and he made a deathbed confession to say that we got in a fight about the pronunciation
00:04:57,00:04:58,of this word.
00:04:58,00:05:00,And I shot him to death.
