start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(Bell)
00:00:02,00:00:04,(Bell)
00:00:04,00:00:06,(Bell)
00:00:06,00:00:08,(Bell)
00:00:08,00:00:10,(Bell)
00:00:10,00:00:16,"Hello and welcome to another episode of ""No Such Thing as a Fish"""
00:00:16,00:00:22,a weekly podcast this week coming to life from the Royal Institution in London!
00:00:22,00:00:26,(Cheering & Applause)
00:00:26,00:00:33,"My name is Dan Schreiber, I am sitting here with Anna Toshinsky and Drew Hunter Murray and James Harkin."
00:00:33,00:00:42,"And once again we have gathered around the microphones with our four favourite facts from the last seven days and in no particular order, here we go."
00:00:42,00:00:46,Starting with fact number one and that is Anna.
00:00:46,00:00:53,My fact this week is that the spacecraft that's about to orbit Mercury is wearing a hand stitched blanket for warm.
00:00:53,00:00:55,(Bell)
00:00:55,00:00:57,"It's adorable, so nice."
00:00:57,00:00:59,(Bell)
00:00:59,00:01:11,This is this really cool blanket which is necessary because at its hottest Mercury gets to about 400 degrees centigrade and it's cold as about minus 190.
00:01:11,00:01:21,And so there's this space blanket and I saw some pictures of it getting hand stitched on and they sort of draped the blanket over the vessel and then they stitched it while it's on.
00:01:21,00:01:28,You know like if you're getting a dress fitting or people in films when they get dressed fitting they wear the material and then they get it stitched on while they're standing there.
00:01:28,00:01:31,And what side deserves antennae dress?
00:01:31,00:01:33,Indeed.
00:01:33,00:01:35,(Laughter)
00:01:35,00:01:38,That was such a male laugh that came out and that was it.
00:01:38,00:01:40,Just about 10 people in the audience.
00:01:40,00:01:42,(Laughter)
00:01:42,00:01:49,"Anyway it really is weaving and because like a lot of fabrics it can get really static because it's wearing this blanket,"
00:01:49,00:01:57,then there are also threads of conducting metal that have been woven through the blanket to conduct the static electricity away.
00:01:57,00:02:07,"And in fact blood was shed in the weaving process, someone pricked their needle, pricked their finger with the needle and stabbed themselves with the needle because they were up late stitching this blanket."
00:02:07,00:02:11,Does that mean some of the blood might have gone into the blanket and that might now be in space?
00:02:11,00:02:12,Yes.
00:02:12,00:02:14,"Oh god, I think so. They're going to clone us."
00:02:14,00:02:15,"Yeah, who?"
00:02:15,00:02:16,The Mercurious.
00:02:16,00:02:18,(Laughter)
00:02:18,00:02:26,And this isn't the first ever satellite to go to Mercury as it so there was one quite a long time ago called Mariner 10.
00:02:26,00:02:30,"And they used also a cloth, but it wasn't hand stitched, it was called beta cloth."
00:02:30,00:02:33,There was like a super strong heat resistant fabric.
00:02:33,00:02:40,And that kind of cloth can be seen on EastEnders very regularly.
00:02:40,00:02:41,Really?
00:02:41,00:02:42,Riddle me this.
00:02:42,00:02:45,"Oh, it can be seen on EastEnders."
00:02:45,00:02:47,The old Vic pub.
00:02:47,00:02:49,"Yeah, that's the only thing you know about EastEnders."
00:02:49,00:02:51,(Laughter)
00:02:51,00:02:53,I guess they've got posters.
00:02:53,00:02:55,"Yeah, made of this cloth."
00:02:55,00:02:58,Is it in the opening credits somewhere?
00:02:58,00:02:59,It's in the credits.
00:02:59,00:03:01,Is it on the London eye?
00:03:01,00:03:03,"No, it's not the millennium dome."
00:03:03,00:03:06,"Is it when you stretch it, is it what they do the drum sound on?"
00:03:06,00:03:11,One of you has got it right and it is the millennium dome.
00:03:11,00:03:13,"The O2, it's what covers that though."
00:03:13,00:03:17,"Can I just say when I said the London eye, I meant the millennium dome."
00:03:17,00:03:20,"When I said the stretch, John, that's what I meant."
00:03:20,00:03:21,"Yeah, as well."
00:03:21,00:03:22,That's so cool.
00:03:22,00:03:23,That's very cool.
00:03:23,00:03:24,"Wait, is it the same, just the same material?"
00:03:24,00:03:25,"It's the same material, yeah."
00:03:25,00:03:26,It's very cool.
00:03:26,00:03:31,I'm a bit confused because you're saying it's for warmth for this blanket.
00:03:31,00:03:34,"You're saying it's for cool, because it's very hot there."
00:03:34,00:03:37,"Yeah, well, it's insulating, isn't it?"
00:03:37,00:03:38,"So it's both, in fact."
00:03:38,00:03:41,So it's just to protect the spacecraft from whatever.
00:03:41,00:03:43,From hot and cold.
00:03:43,00:03:44,From hot and cold.
00:03:44,00:03:45,It's a very hot thing.
00:03:45,00:03:49,We should say that this is part of a mission that was launched in 2018
00:03:49,00:03:52,and it still has not arrived at Mercury.
00:03:52,00:03:56,It will be in September of this year and it's called the Bepi Colombo mission.
00:03:56,00:03:58,And this is from Giuseppe Bepi Colombo.
00:03:58,00:04:03,"He's a man who worked out the way that you could get to Mercury,"
00:04:03,00:04:05,"which is not to go to Mercury, weirdly."
00:04:05,00:04:08,The way to get to Mercury is to go away from Mercury
00:04:08,00:04:12,and you need to get passbives of planets so that you can slow yourself down enough
00:04:12,00:04:14,to then orbit Mercury.
00:04:14,00:04:15,It's the weirdest thing.
00:04:15,00:04:16,So it's like a slingshot.
00:04:16,00:04:17,It's a slingshot.
00:04:17,00:04:21,"If you've seen the Martian, the movie, where they need to get the astronauts back to Mars,"
00:04:21,00:04:23,that's kind of what they do around the Earth.
00:04:23,00:04:24,It's so weird.
00:04:24,00:04:27,"It's easier to get to Pluto than it is to get to Mercury,"
00:04:27,00:04:31,because it's moving so fast around the Sun that you just need to get the timing exactly right.
00:04:31,00:04:35,It's like going into the center of town is harder than just heading out into the suburb.
00:04:35,00:04:36,Yes.
00:04:36,00:04:37,That's basically it.
00:04:37,00:04:38,"No, you're right."
00:04:38,00:04:41,"Sometimes you need to go around the one-way system, which is a pain in the ass."
00:04:41,00:04:42,It's a bit like that.
00:04:42,00:04:43,It's exactly like that.
00:04:43,00:04:45,"It's just thought of that, and I'm sticking."
00:04:45,00:04:50,It's more like that it's just as hard to get up a mountain to ski down a mountain
00:04:50,00:04:52,because you have to stop when you get to the bottom of the mountain.
00:04:52,00:04:53,That's the problem.
00:04:53,00:04:57,"It's quite easy to get a spaceship to go towards Mercury,"
00:04:57,00:05:00,but it's pretty hard to stop it from going into the Sun afterwards.
00:05:00,00:05:01,Yes.
00:05:01,00:05:03,The whole trip is basically trying to slow it down.
00:05:03,00:05:08,"They launched it in 2013, and the first planet they slingshot around was Earth two years later."
00:05:08,00:05:10,It just feels so weirdly...
00:05:10,00:05:12,"Well, they've been there like that."
00:05:12,00:05:14,It feels like you've gone around the one-way system.
00:05:14,00:05:16,"Oh, hang on, we've done this, but you know."
00:05:16,00:05:18,Stop trying to make it work.
00:05:18,00:05:19,Cool.
00:05:19,00:05:21,They had gums there and back where that point.
00:05:21,00:05:23,"It's actually been to Mercury, I think, three times now."
00:05:23,00:05:26,"Because it's not going at the right speed, it just has to go..."
00:05:26,00:05:27,"Oh, I'll just try again."
00:05:27,00:05:28,Sorry.
00:05:28,00:05:29,Yes.
00:05:29,00:05:34,"It's like going to the London Eye, but going around the Millennium Dome before you get to the lake."
00:05:34,00:05:41,"So, the Bepe Colombo was the guy who kind of came up with the idea of going around Venus to get to Mercury."
00:05:41,00:05:47,But the person who first came up with the idea of sling-shotting was a guy called Yuri Kondolachuk.
00:05:47,00:05:48,He was a Russian guy.
00:05:48,00:05:52,"And what's really interesting about this guy is he was around at the start of the 20th century,"
00:05:52,00:05:54,and everything was going wrong in Russia at the time.
00:05:54,00:06:00,"And he was in Siberia, and he decided he wanted to build an enormous grain elevator."
00:06:00,00:06:01,"Okay, in Siberia."
00:06:01,00:06:06,"But they didn't have very much stuff, so he managed to build it out of wood without a single nail."
00:06:06,00:06:07,Ooh.
00:06:07,00:06:08,"His grain elevator, right?"
00:06:08,00:06:12,"And then, a bit later on, he got on the wrong side of the Soviets."
