start_hhmmss,end_hhmmss,text
00:00:00,00:00:17,"""Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming"
00:00:17,00:00:21,"to you this week, from four undisclosed locations."
00:00:21,00:00:25,"My name is Dan Schreiber, I'm sitting here with Anna Toshinsky, James Harkin and Reese"
00:00:25,00:00:26,Darby.
00:00:26,00:00:31,Once again we have gathered around the microphones with our four favorite facts from the last seven
00:00:31,00:00:35,"days and in no particular order, here we go."
00:00:35,00:00:38,"Starting with fact number one, and that is Reese."
00:00:38,00:00:49,A charismatic adventurer discovers a cable car in Atlantis and that's the quickest time
00:00:49,00:01:01,"to breaking our format and show, we've ever experienced."
00:01:01,00:01:17,"Yes, oh gosh, it's been to Atlantis, has he?"
00:01:17,00:01:23,"Well, for those of you that may know anything about Atlantis and where it is, one of the"
00:01:23,00:01:33,"main spots of contention is Santorini, the Greek island and said person adventurer, he discovered"
00:01:33,00:01:36,a cable car in Santorini.
00:01:36,00:01:40,"Now, he'd been twice, this is a second visit to Santorini."
00:01:40,00:01:45,"And was it a mysteriously lost, a fabled Atlantean cable car?"
00:01:45,00:01:55,"Well, he never saw it the first time he went, he went to his 20s with his then wife Rosie."
00:01:55,00:01:59,"Actually, oh, they're still married, hang on."
00:01:59,00:02:03,"And actually, I don't know if they were married back then, I have to check on, when you're"
00:02:03,00:02:10,"married a long time you do forget how long and when the actual, you know, I imagine Rosie"
00:02:10,00:02:13,fix it's been quite a long time.
00:02:13,00:02:18,"Right, you're in Santorini at Atlantis, that same place."
00:02:18,00:02:24,"Yes, yes, yes, for me, it's probably the most Atlantean place."
00:02:24,00:02:33,"If you go back to the Plato readings, you know, Athens is just around the corner, yes."
00:02:33,00:02:42,The whole place volcanic erupted about 3600 years ago and so all the islands are created
00:02:42,00:02:48,"from the whole thing falling through into the sea, big hint there, that's what happened"
00:02:48,00:02:49,to Atlantis.
00:02:49,00:02:53,"So it used to be just a normal round blob of an island, like an island, huge volcano comes"
00:02:53,00:02:56,and collapses in on itself and now it's got a big hole in it.
00:02:56,00:03:01,"And that was like 1,600 BC, it used to be called Stroghili and then it got renamed Santorini"
