start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,[MUSIC]
00:00:07,00:00:14,">> Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:14,00:00:19,a weekly podcast this week coming to you live from the Long Comedy Festival in Sweden.
00:00:19,00:00:23,[APPLAUSE]
00:00:23,00:00:25,>> My name is Dan Schreiber.
00:00:25,00:00:29,"I am sitting here with Anna Toshinsky, Andrew Huntson Murray, and James Harkin."
00:00:29,00:00:32,And once again we have gathered around the microphones with our four favorite facts
00:00:32,00:00:38,"from the last seven days, and in no particular order, here we go."
00:00:38,00:00:41,"Starting with fact number one, and that is my fact."
00:00:41,00:00:45,"My fact this week is that in many Indian languages,"
00:00:45,00:00:48,Lund University means penis university.
00:00:48,00:00:50,[LAUGHTER]
00:00:50,00:00:53,>> Does that make it popular?
00:00:53,00:00:55,">> Well, yes and no."
00:00:55,00:00:55,>> Okay.
00:00:55,00:00:59,">> Well, okay, so we are in London, Sweden, and we're a five minute walk"
00:00:59,00:01:00,from the university.
00:01:00,00:01:02,And it's an extraordinary university.
00:01:02,00:01:08,"It was established in 1666, often ranked as one of the top 100 universities globally."
00:01:08,00:01:09,>> In Sweden.
00:01:09,00:01:10,>> In Sweden.
00:01:10,00:01:13,[LAUGHTER]
00:01:13,00:01:19,"And there was a moment where it sort of became a meme because the Facebook page,"
00:01:19,00:01:24,"that was the official Lund University Facebook page, put out a statement saying,"
00:01:24,00:01:29,could everyone stop tagging their friends who were nothing to do with this university
00:01:29,00:01:31,"because everyone was just doing it so that they could go,"
00:01:31,00:01:36,"look, it's penis university because in Hindi and a few other languages in India,"
00:01:36,00:01:38,that is the translation in the written word of it.
00:01:38,00:01:43,">> So I suppose actually the Lund comedy festival that we're here at right now,"
00:01:43,00:01:45,is the penis comedy festival.
00:01:45,00:01:47,That's why I thought we'd signed up here.
00:01:47,00:01:49,[LAUGHTER]
00:01:49,00:01:53,>> It's hugely disappointing to put in the reality.
00:01:53,00:01:55,">> So this, as Andy was asking, was this a problem at all?"
00:01:55,00:02:00,It was actually for students who were applying from India because they did feel a bit embarrassed
00:02:00,00:02:03,that they would be going to a somewhere called penis university.
00:02:03,00:02:07,And there was a person who had to deal with this a lot and they were interviewing her about it.
00:02:07,00:02:10,"And they said, how do you deal with it trying to get these students from overseas?"
00:02:10,00:02:14,"And she said, we like to do it by word of mouth."
00:02:14,00:02:16,[LAUGHTER]
00:02:16,00:02:20,"And she says that because the pronunciation is different, the word is the same written,"
00:02:20,00:02:24,"but it's more like land when you pronounce it in, say, Hindi."
00:02:24,00:02:25,>> Okay.
00:02:25,00:02:26,>> Yeah.
00:02:26,00:02:28,>> So word of mouth is the way to do it.
00:02:28,00:02:29,>> Right.
00:02:29,00:02:33,">> And then if you are a student from India, you might just say, I go to a university in Sweden"
00:02:33,00:02:35,and not specify the details of where you are.
00:02:35,00:02:42,>> It is a great city about which I knew nothing before coming here and researching for this fact.
00:02:42,00:02:47,I like the fact that you can do a walk of Lund's most amusing attractions.
00:02:47,00:02:49,What's on the walk?
00:02:49,00:02:50,">> Oh, all sorts."
00:02:50,00:02:55,"There's a monument to nothing, which is a monument to administrative inability to decide what"
00:02:55,00:02:56,statue should go.
00:02:56,00:02:57,[LAUGHTER]
00:02:57,00:02:58,">> Ah, in the spot for the statue."
00:02:58,00:03:03,"They had a really long debate and eventually they just put up a plaque saying, this is to nothingness."
00:03:03,00:03:05,"I believe the plaque was then stolen, is that correct?"
00:03:05,00:03:06,>> It was there.
00:03:06,00:03:12,">> So then it was missing and missing monument to nothingness, which they had to replace, yeah."
00:03:12,00:03:13,[LAUGHTER]
00:03:13,00:03:15,">> You lost me quite a long time, yeah."
00:03:15,00:03:16,[LAUGHTER]
00:03:16,00:03:17,>> But that is amusing.
00:03:17,00:03:18,There's no question about it.
00:03:18,00:03:22,"The university, I think, is pretty cool."
00:03:22,00:03:24,"Like you say, it's very old, Dan."
00:03:24,00:03:25,Founded in 16.
00:03:25,00:03:26,>> 16.
00:03:26,00:03:27,>> 16.
00:03:27,00:03:28,66.
00:03:28,00:03:33,"And I believe it was, and people here will know this, but I believe it was founded to sort of"
00:03:33,00:03:40,"suedify the area because there was a lot of those dastardly daines, any dastardly daines"
00:03:40,00:03:41,in the audience.
00:03:41,00:03:42,>> That's it?
00:03:42,00:03:43,>> I don't know.
00:03:43,00:03:44,>> Wow.
00:03:44,00:03:45,>> I just want to restart the walk.
00:03:45,00:03:46,[LAUGHTER]
00:03:46,00:03:51,">> Yeah, so this area was kind of owned by Denmark, and then sued and took it over."
00:03:51,00:03:57,"And they thought, well, one way to make sure it's definitely Swedish is to start a university"
00:03:57,00:03:58,here.
00:03:58,00:03:59,>> Right.
00:03:59,00:04:00,>> Yeah.
00:04:00,00:04:05,">> And it was someone called Hedvik Ilanora, who was the Queen Dowager, I think, at the time,"
00:04:05,00:04:08,who signed the founding documents.
00:04:08,00:04:09,And she's famous.
00:04:09,00:04:10,You guys here?
00:04:10,00:04:13,Do you guys know about the Gotop Fury?
00:04:13,00:04:14,"No, maybe not."
00:04:14,00:04:15,Okay.
00:04:15,00:04:22,"So Charles XII of Sweden, he became King when he was 16 years old, and like anyone who becomes"
00:04:22,00:04:28,"King when they're 16 years old, probably, just went on a massive drunken rampage, I ran"
00:04:28,00:04:32,"the whole country, and especially in Stockholm."
00:04:32,00:04:33,He did loads of crazy stuff.
00:04:33,00:04:38,"I think some of the stories, maybe not true, like they were exaggerated later, but one of"
00:04:38,00:04:44,"the stories is that somehow he got really, really drunk and a bear fell out of a window."
00:04:44,00:04:48,"And we're not sure how the bear got up there in the first place, or exactly what happened"
00:04:48,00:04:50,that the bear fell out of the window.
00:04:50,00:04:54,"But everyone was so astonished that he'd done this and got really drunk, that his mother,"
00:04:54,00:05:00,"who was Hedvik, kind of went over to him, and she just looked at him, just looked at him"
00:05:00,00:05:05,"in the eye, and he felt so ashamed that he never drank again for the rest of his life."
00:05:05,00:05:06,>> Really?
00:05:06,00:05:07,>> Yeah.
00:05:07,00:05:10,">> I actually didn't know, but didn't want to interrupt and ask during that story,"
